empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
AIA|0|NASDAQ|2020|03|06|15|30|46300|62.049999|61.259998|61.810001|61.610001|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|1|NASDAQ|2020|03|05|15|30|63700|63.529999|62.66|62.830002|63.200001|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|2|NASDAQ|2020|03|04|15|30|38400|63.59|62.900002|63.439999|63.139999|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|3|NASDAQ|2020|03|03|15|30|54500|63.470001|62.150002|62.360001|62.84|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|4|NASDAQ|2020|03|02|15|30|222100|62.709999|61.630001|62.59|61.82|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|5|NASDAQ|2020|02|28|15|30|98100|61.900002|60.040001|61.900002|60.419998|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|6|NASDAQ|2020|02|27|15|30|75300|62.860001|61.82|61.98|62.66|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|7|NASDAQ|2020|02|26|15|30|69000|63.560001|62.91|62.91|63.049999|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|8|NASDAQ|2020|02|25|15|30|43800|63.52|62.259998|62.259998|63.470001|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|9|NASDAQ|2020|02|24|15|30|37100|62.509998|61.849998|62.34|61.849998|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|10|NASDAQ|2020|02|21|15|30|32200|64.860001|64.480003|64.519997|64.779999|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|11|NASDAQ|2020|02|20|15|30|32000|65.480003|64.690002|64.900002|65.379997|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|12|NASDAQ|2020|02|19|15|30|14600|66.260002|66.099998|66.169998|66.099998|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|13|NASDAQ|2020|02|18|15|30|39900|65.949997|65.639999|65.660004|65.639999|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|14|NASDAQ|2020|02|14|15|30|18000|66.919998|66.470001|66.660004|66.919998|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|15|NASDAQ|2020|02|13|15|30|19600|66.809998|66.440002|66.639999|66.559998|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|16|NASDAQ|2020|02|12|15|30|41500|67.370003|66.839996|67.190002|66.889999|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|17|NASDAQ|2020|02|11|15|30|315600|66.540001|66.07|66.279999|66.07|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|18|NASDAQ|2020|02|10|15|30|42100|65.330002|64.830002|65.25|64.830002|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|19|NASDAQ|2020|02|07|15|30|38400|65.07|64.68|64.760002|64.940002|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|20|NASDAQ|2020|02|06|15|30|31000|65.989998|65.669998|65.75|65.989998|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|21|NASDAQ|2020|02|05|15|30|34700|65.830002|65.010002|65.279999|65.830002|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|22|NASDAQ|2020|02|04|15|30|96400|65.360001|64.889999|65.059998|64.910004|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|23|NASDAQ|2020|02|03|15|30|240000|63.52|63.09|63.09|63.139999|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|24|NASDAQ|2020|01|31|15|30|128200|62.82|62.049999|62.150002|62.82|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|25|NASDAQ|2020|01|30|15|30|64500|63.970001|63.049999|63.889999|63.419998|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|26|NASDAQ|2020|01|29|15|30|74400|65.389999|65.019997|65.080002|65.309998|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|27|NASDAQ|2020|01|28|15|30|116300|64.75|64.029999|64.699997|64.18|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|28|NASDAQ|2020|01|27|15|30|223500|64.559998|63.27|64.190002|63.27|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|29|NASDAQ|2020|01|24|15|30|100400|67.160004|66.139999|66.559998|67.160004|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|30|NASDAQ|2020|01|23|15|30|32800|67.160004|66.300003|67.150002|66.690002|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|31|NASDAQ|2020|01|22|15|30|86000|67.949997|67.510002|67.699997|67.870003|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|32|NASDAQ|2020|01|21|15|30|522700|67.32|66.93|67.089996|67.32|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|33|NASDAQ|2020|01|17|15|30|49800|69.099998|68.809998|69.099998|68.830002|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|34|NASDAQ|2020|01|16|15|30|77100|68.93|68.639999|68.830002|68.660004|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|35|NASDAQ|2020|01|15|15|30|69000|68.389999|68.040001|68.199997|68.309998|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|36|NASDAQ|2020|01|14|15|30|102100|68.940002|68.580002|68.940002|68.690002|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|37|NASDAQ|2020|01|13|15|30|120100|69.349998|68.519997|69.349998|68.540001|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|38|NASDAQ|2020|01|10|15|30|14700|68.18|67.860001|67.989998|68.010002|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|39|NASDAQ|2020|01|09|15|30|35200|67.519997|67.230003|67.410004|67.519997|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|40|NASDAQ|2020|01|08|15|30|120100|67.080002|66.290001|66.830002|66.400002|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|41|NASDAQ|2020|01|07|15|30|32400|66.5|66.129997|66.43|66.220001|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|42|NASDAQ|2020|01|06|15|30|23800|66.279999|65.790001|66.230003|65.93|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|43|NASDAQ|2020|01|03|15|30|631900|66.57|66.089996|66.209999|66.25|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|44|NASDAQ|2020|01|02|15|30|252200|67.459999|66.650002|67.459999|66.650002|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|45|NASDAQ|2019|12|31|15|30|13700|66|65.629997|66|65.739998|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|46|NASDAQ|2019|12|30|15|30|20300|66.349998|65.769997|65.769997|66.349998|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|47|NASDAQ|2019|12|27|15|30|13700|66.449997|66.239998|66.349998|66.300003|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|48|NASDAQ|2019|12|26|15|30|7700|65.75|65.57|65.669998|65.57|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|49|NASDAQ|2019|12|24|15|30|13300|65.309998|65.18|65.209999|65.209999|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|50|NASDAQ|2019|12|23|15|30|23600|65.5|65.330002|65.419998|65.339996|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|51|NASDAQ|2019|12|20|15|30|18600|65.660004|65.519997|65.519997|65.660004|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|52|NASDAQ|2019|12|19|15|30|92300|65.459999|65.230003|65.400002|65.410004|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|53|NASDAQ|2019|12|18|15|30|31800|65.860001|65.669998|65.800003|65.720001|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|54|NASDAQ|2019|12|17|15|30|20500|65.68|65.349998|65.599998|65.349998|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
AIA|55|NASDAQ|2019|12|16|15|30|46800|64.75|64.470001|64.629997|64.620003|exchangetradedfund|-|-|-|-|2.35|-|usa|-|-|-|-|financial|-|-
