empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
AMCA|0|NASDAQ|2020|03|06|15|30|4200|27.962999|27.379999|27.962999|27.379999|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|1|NASDAQ|2020|03|05|15|30|400|28.48|28.370001|28.48|28.370001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|2|NASDAQ|2020|03|04|15|30|0|28.17|28.17|28.17|28.17|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|3|NASDAQ|2020|03|03|15|30|2400|29.049999|27.530001|28.17|28.98|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|4|NASDAQ|2020|03|02|15|30|1400|28.809999|28.169001|28.809999|28.169001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|5|NASDAQ|2020|02|28|15|30|3400|27.65|26.989|27.200001|27.65|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|6|NASDAQ|2020|02|27|15|30|1000|28.9|28.174999|28.174999|28.646|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|7|NASDAQ|2020|02|26|15|30|1700|29.966999|29.379|29.379|29.966999|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|8|NASDAQ|2020|02|25|15|30|3500|30.275|29.65|29.698|30.25|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|9|NASDAQ|2020|02|24|15|30|1900|30.802|30.621|30.621|30.733999|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|10|NASDAQ|2020|02|21|15|30|600|31.485001|31.433001|31.433001|31.483999|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|11|NASDAQ|2020|02|20|15|30|100|31.448999|31.448999|31.448999|31.448999|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|12|NASDAQ|2020|02|19|15|30|0|31.448999|31.448999|31.448999|31.448999|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|13|NASDAQ|2020|02|18|15|30|700|31.448999|31.43|31.448999|31.43|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|14|NASDAQ|2020|02|14|15|30|1300|31.492001|31.436001|31.492001|31.441999|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|15|NASDAQ|2020|02|13|15|30|0|31.163|31.163|31.163|31.163|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|16|NASDAQ|2020|02|12|15|30|0|31.163|31.163|31.163|31.163|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|17|NASDAQ|2020|02|11|15|30|300|31.163|31.16|31.163|31.16|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|18|NASDAQ|2020|02|10|15|30|600|31.028|30.959999|31.028|30.959999|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|19|NASDAQ|2020|02|07|15|30|0|31.040001|31.040001|31.040001|31.040001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|20|NASDAQ|2020|02|06|15|30|300|31.299999|31.040001|31.040001|31.299999|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|21|NASDAQ|2020|02|05|15|30|1000|31.030001|30.948999|31.011|30.948999|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|22|NASDAQ|2020|02|04|15|30|100|30.66|30.66|30.66|30.66|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|23|NASDAQ|2020|02|03|15|30|400|30.421|30.290001|30.290001|30.421|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|24|NASDAQ|2020|01|31|15|30|900|30.23|30.16|30.176001|30.23|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|25|NASDAQ|2020|01|30|15|30|400|30.614|30.280001|30.614|30.280001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|26|NASDAQ|2020|01|29|15|30|100|30.67|30.67|30.67|30.67|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|27|NASDAQ|2020|01|28|15|30|2400|30.73|30.379999|30.683001|30.379999|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|28|NASDAQ|2020|01|27|15|30|3600|30.57|30.415001|30.415001|30.57|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|29|NASDAQ|2020|01|24|15|30|200|30.700001|30.700001|30.700001|30.700001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|30|NASDAQ|2020|01|23|15|30|400|31.110001|31.110001|31.110001|31.110001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|31|NASDAQ|2020|01|22|15|30|700|31.164|31.048|31.048|31.155001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|32|NASDAQ|2020|01|21|15|30|700|31.048|31.002001|31.002001|31.031|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|33|NASDAQ|2020|01|17|15|30|0|30.944|30.944|30.944|30.944|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|34|NASDAQ|2020|01|16|15|30|300|30.944|30.858999|30.944|30.858999|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|35|NASDAQ|2020|01|15|15|30|0|30.527|30.527|30.527|30.527|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|36|NASDAQ|2020|01|14|15|30|0|30.527|30.527|30.527|30.527|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|37|NASDAQ|2020|01|13|15|30|0|30.527|30.527|30.527|30.527|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|38|NASDAQ|2020|01|10|15|30|500|30.613001|30.527|30.527|30.613001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|39|NASDAQ|2020|01|09|15|30|0|30.59|30.59|30.59|30.59|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|40|NASDAQ|2020|01|08|15|30|100|30.59|30.59|30.59|30.59|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|41|NASDAQ|2020|01|07|15|30|300|30.365|30.333|30.365|30.333|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|42|NASDAQ|2020|01|06|15|30|600|30.455999|30.389|30.455999|30.389|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|43|NASDAQ|2020|01|03|15|30|0|30.499001|30.499001|30.499001|30.499001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|44|NASDAQ|2020|01|02|15|30|3000|30.58|30.455999|30.499001|30.57|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|45|NASDAQ|2019|12|31|15|30|900|30.5|30.41|30.459999|30.41|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|46|NASDAQ|2019|12|30|15|30|0|30.523001|30.523001|30.523001|30.523001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|47|NASDAQ|2019|12|27|15|30|0|30.523001|30.523001|30.523001|30.523001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|48|NASDAQ|2019|12|26|15|30|1200|30.523001|30.51|30.523001|30.51|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|49|NASDAQ|2019|12|24|15|30|300|30.485001|30.469999|30.485001|30.469999|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|50|NASDAQ|2019|12|23|15|30|300|30.509001|30.437|30.437|30.509001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|51|NASDAQ|2019|12|20|15|30|100|30.532|30.48|30.532|30.48|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|52|NASDAQ|2019|12|19|15|30|1100|30.35|30.323|30.323|30.33|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|53|NASDAQ|2019|12|18|15|30|0|30.214001|30.214001|30.214001|30.214001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|54|NASDAQ|2019|12|17|15|30|0|30.214001|30.214001|30.214001|30.214001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|55|NASDAQ|2019|12|16|15|30|0|30.214001|30.214001|30.214001|30.214001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|56|NASDAQ|2019|12|13|15|30|500|30.214001|30.1|30.214001|30.1|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|57|NASDAQ|2019|12|12|15|30|100|30.219999|30.202999|30.202999|30.219999|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|58|NASDAQ|2019|12|11|15|30|5100|30.01|29.940001|29.989|30.01|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|59|NASDAQ|2019|12|10|15|30|3600|30.059999|30.01|30.01|30.049999|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|60|NASDAQ|2019|12|09|15|30|7000|30.35|30.096001|30.096001|30.35|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|61|NASDAQ|2019|12|06|15|30|2700|30.190001|30.15|30.153999|30.190001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
AMCA|62|NASDAQ|2019|12|05|15|30|2300|29.940001|29.870001|29.940001|29.870001|exchangetradedfund|-|-|-|-|2.4|-|usa|-|-|-|-|financial|-|-
