empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
AMD|0|NASDAQ|2020|03|06|15|30|124430600|49.540001|46.740002|48.59|49.439999|semiconductorbroadline|0.6|1.5|1.9|168.130005|-|11400|usa|0.17|0.17|37.599998|Jan 28 AMC|technology|76.5|55000
AMD|1|NASDAQ|2020|03|05|15|30|98302700|49.720001|47.509998|48.110001|48.68|semiconductorbroadline|0.6|1.5|1.9|168.130005|-|11400|usa|0.17|0.17|37.599998|Jan 28 AMC|technology|76.5|55000
AMD|2|NASDAQ|2020|03|04|15|30|93311800|50.139999|47.209999|50.110001|48.25|semiconductorbroadline|0.6|1.5|1.9|168.130005|-|11400|usa|0.17|0.17|37.599998|Jan 28 AMC|technology|76.5|55000
AMD|3|NASDAQ|2020|03|03|15|30|141972300|50.200001|45.669998|46.75|49.029999|semiconductorbroadline|0.6|1.5|1.9|168.130005|-|11400|usa|0.17|0.17|37.599998|Jan 28 AMC|technology|76.5|55000
AMD|4|NASDAQ|2020|03|02|15|30|102324700|47.68|44.66|47.459999|47.419998|semiconductorbroadline|0.6|1.5|1.9|168.130005|-|11400|usa|0.17|0.17|37.599998|Jan 28 AMC|technology|76.5|55000
AMD|5|NASDAQ|2020|02|28|15|30|100667700|46.150002|41.040001|45.48|41.360001|semiconductorbroadline|0.6|1.5|1.9|168.130005|-|11400|usa|0.17|0.17|37.599998|Jan 28 AMC|technology|76.5|55000
AMD|6|NASDAQ|2020|02|27|15|30|106416200|46.240002|42.209999|44.009998|45.380001|semiconductorbroadline|0.6|1.5|1.9|168.130005|-|11400|usa|0.17|0.17|37.599998|Jan 28 AMC|technology|76.5|55000
AMD|7|NASDAQ|2020|02|26|15|30|86378400|49.290001|47.07|47.490002|47.700001|semiconductorbroadline|0.6|1.5|1.9|168.130005|-|11400|usa|0.17|0.17|37.599998|Jan 28 AMC|technology|76.5|55000
AMD|8|NASDAQ|2020|02|25|15|30|88699400|51.240002|47.119999|47.57|51.139999|semiconductorbroadline|0.6|1.5|1.9|168.130005|-|11400|usa|0.17|0.17|37.599998|Jan 28 AMC|technology|76.5|55000
AMD|9|NASDAQ|2020|02|24|15|30|86624100|50.279999|47.490002|49.119999|48.18|semiconductorbroadline|0.6|1.5|1.9|168.130005|-|11400|usa|0.17|0.17|37.599998|Jan 28 AMC|technology|76.5|55000
AMD|10|NASDAQ|2020|02|21|15|30|88271100|56.799999|52.889999|53.279999|56.709999|semiconductorbroadline|0.6|1.5|1.9|168.130005|-|11400|usa|0.17|0.17|37.599998|Jan 28 AMC|technology|76.5|55000
AMD|11|NASDAQ|2020|02|20|15|30|74203400|59.02|56.150002|57.27|58.439999|semiconductorbroadline|0.6|1.5|1.9|168.130005|-|11400|usa|0.17|0.17|37.599998|Jan 28 AMC|technology|76.5|55000
AMD|12|NASDAQ|2020|02|19|15|30|58597300|59.27|57.509998|58.900002|57.990002|semiconductorbroadline|0.6|1.5|1.9|168.130005|-|11400|usa|0.17|0.17|37.599998|Jan 28 AMC|technology|76.5|55000
AMD|13|NASDAQ|2020|02|18|15|30|70133200|58.130001|54.84|56.889999|54.939999|semiconductorbroadline|0.6|1.5|1.9|168.130005|-|11400|usa|0.17|0.17|37.599998|Jan 28 AMC|technology|76.5|55000
