empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ANDAU|0|NASDAQ|2020|03|06|15|30|200|10.755|10.755|10.755|10.755|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
ANDAU|1|NASDAQ|2020|03|05|15|30|0|10.603|10.603|10.603|10.603|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
ANDAU|2|NASDAQ|2020|03|04|15|30|0|10.603|10.603|10.603|10.603|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
ANDAU|3|NASDAQ|2020|03|03|15|30|0|10.603|10.603|10.603|10.603|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
ANDAU|4|NASDAQ|2020|03|02|15|30|1000|10.603|10.603|10.603|10.603|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
ANDAU|5|NASDAQ|2020|02|28|15|30|0|10.603|10.603|10.603|10.603|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
ANDAU|6|NASDAQ|2020|02|27|15|30|7900|10.625|10.55|10.603|10.58|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
ANDAU|7|NASDAQ|2020|02|26|15|30|0|10.58|10.58|10.58|10.58|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
ANDAU|8|NASDAQ|2020|02|25|15|30|0|10.58|10.58|10.58|10.58|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
ANDAU|9|NASDAQ|2020|02|24|15|30|0|10.58|10.58|10.58|10.58|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
ANDAU|10|NASDAQ|2020|02|21|15|30|0|10.58|10.58|10.58|10.58|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
ANDAU|11|NASDAQ|2020|02|20|15|30|100|10.58|10.58|10.58|10.58|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
ANDAU|12|NASDAQ|2020|02|19|15|30|0|10.7|10.7|10.7|10.7|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
ANDAU|13|NASDAQ|2020|02|18|15|30|0|10.7|10.7|10.7|10.7|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
ANDAU|14|NASDAQ|2020|02|14|15|30|5700|10.7|10.7|10.7|10.7|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
ANDAU|15|NASDAQ|2020|02|13|15|30|0|10.7|10.7|10.7|10.7|conglomerates|-|-|-|-|-|-|colombia|-|-|-|-|conglomerates|5.03|30.92
