empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ANTE|0|NASDAQ|2020|03|06|15|30|500|0.92|0.92|0.92|0.92|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|1|NASDAQ|2020|03|05|15|30|1100|0.95|0.92|0.92|0.95|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|2|NASDAQ|2020|03|04|15|30|3900|0.96|0.92|0.96|0.96|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|3|NASDAQ|2020|03|03|15|30|13800|0.96|0.92|0.96|0.92|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|4|NASDAQ|2020|03|02|15|30|11800|0.94|0.88|0.92|0.94|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|5|NASDAQ|2020|02|28|15|30|54000|0.99|0.92|0.92|0.99|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|6|NASDAQ|2020|02|27|15|30|33500|1|0.96|0.96|0.97|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|7|NASDAQ|2020|02|26|15|30|10600|1.02|0.97|1|0.97|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|8|NASDAQ|2020|02|25|15|30|1200|1.02|1.02|1.02|1.02|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|9|NASDAQ|2020|02|24|15|30|15400|1.02|0.97|1.02|0.98|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|10|NASDAQ|2020|02|21|15|30|13700|1.02|0.98|1.01|0.98|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|11|NASDAQ|2020|02|20|15|30|1900|1.01|1|1|1|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|12|NASDAQ|2020|02|19|15|30|8300|1|0.98|1|0.99|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|13|NASDAQ|2020|02|18|15|30|13600|1.02|0.98|1.02|0.98|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|14|NASDAQ|2020|02|14|15|30|83500|1.02|0.98|1|1.02|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|15|NASDAQ|2020|02|13|15|30|29100|1.05|0.98|1.01|0.98|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|16|NASDAQ|2020|02|12|15|30|1800|1.02|0.98|0.98|1.02|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|17|NASDAQ|2020|02|11|15|30|11900|1.05|0.97|1.01|1.02|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|18|NASDAQ|2020|02|10|15|30|16100|1|0.97|0.97|1|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|19|NASDAQ|2020|02|07|15|30|15200|1.07|0.97|1|1.01|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|20|NASDAQ|2020|02|06|15|30|17900|1.13|1.01|1.03|1.05|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|21|NASDAQ|2020|02|05|15|30|128800|1.16|0.99|1.08|0.99|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|22|NASDAQ|2020|02|04|15|30|10500|1.04|0.97|0.97|0.98|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|23|NASDAQ|2020|02|03|15|30|11100|1.04|0.98|1.01|0.98|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|24|NASDAQ|2020|01|31|15|30|56900|1.11|0.95|0.97|1.06|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|25|NASDAQ|2020|01|30|15|30|29900|1.12|1.04|1.06|1.12|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|26|NASDAQ|2020|01|29|15|30|25900|1.17|1.06|1.07|1.17|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|27|NASDAQ|2020|01|28|15|30|193500|1.4|1.06|1.15|1.06|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|28|NASDAQ|2020|01|27|15|30|5000|1.08|1.06|1.07|1.06|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|29|NASDAQ|2020|01|24|15|30|4700|1.08|1.06|1.08|1.07|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|30|NASDAQ|2020|01|23|15|30|17200|1.08|1.04|1.05|1.05|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|31|NASDAQ|2020|01|22|15|30|34000|1.08|1.04|1.05|1.05|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|32|NASDAQ|2020|01|21|15|30|16600|1.08|1.04|1.06|1.06|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|33|NASDAQ|2020|01|17|15|30|34400|1.07|1.04|1.06|1.04|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|34|NASDAQ|2020|01|16|15|30|12900|1.09|1.04|1.07|1.09|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|35|NASDAQ|2020|01|15|15|30|13900|1.15|1.06|1.07|1.11|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
ANTE|36|NASDAQ|2020|01|14|15|30|27500|1.16|1.01|1.07|1.01|marketingservices|10|0.5|0.5|-|-|845|china|-|-|-|-|services|2.1|12.28
