empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
AUDC|0|NASDAQ|2020|03|06|15|30|722800|22|20.959999|21.790001|21.48|communicationequipment|40.5|1.2|1.5|184.660004|1.19|700|israel|0.04|0.01|15.15|Jan 28 BMO|technology|36.099998|632.349976
AUDC|1|NASDAQ|2020|03|05|15|30|386200|22.76|21.83|22.16|21.93|communicationequipment|40.5|1.2|1.5|184.660004|1.19|700|israel|0.04|0.01|15.15|Jan 28 BMO|technology|36.099998|632.349976
AUDC|2|NASDAQ|2020|03|04|15|30|285200|23.15|22.139999|23.08|22.83|communicationequipment|40.5|1.2|1.5|184.660004|1.19|700|israel|0.04|0.01|15.15|Jan 28 BMO|technology|36.099998|632.349976
AUDC|3|NASDAQ|2020|03|03|15|30|458900|23.23|22|22.49|22.950001|communicationequipment|40.5|1.2|1.5|184.660004|1.19|700|israel|0.04|0.01|15.15|Jan 28 BMO|technology|36.099998|632.349976
AUDC|4|NASDAQ|2020|03|02|15|30|402800|23.129999|21.83|22.950001|22.299999|communicationequipment|40.5|1.2|1.5|184.660004|1.19|700|israel|0.04|0.01|15.15|Jan 28 BMO|technology|36.099998|632.349976
AUDC|5|NASDAQ|2020|02|28|15|30|734200|22.540001|20.370001|22.41|21|communicationequipment|40.5|1.2|1.5|184.660004|1.19|700|israel|0.04|0.01|15.15|Jan 28 BMO|technology|36.099998|632.349976
AUDC|6|NASDAQ|2020|02|27|15|30|458400|23.18|22.040001|22.219999|23|communicationequipment|40.5|1.2|1.5|184.660004|1.19|700|israel|0.04|0.01|15.15|Jan 28 BMO|technology|36.099998|632.349976
AUDC|7|NASDAQ|2020|02|26|15|30|312900|24.74|23.92|24.02|24.18|communicationequipment|40.5|1.2|1.5|184.660004|1.19|700|israel|0.04|0.01|15.15|Jan 28 BMO|technology|36.099998|632.349976
AUDC|8|NASDAQ|2020|02|25|15|30|341500|24.85|24.02|24.23|24.68|communicationequipment|40.5|1.2|1.5|184.660004|1.19|700|israel|0.04|0.01|15.15|Jan 28 BMO|technology|36.099998|632.349976
AUDC|9|NASDAQ|2020|02|24|15|30|393100|24.58|23.379999|24.35|23.5|communicationequipment|40.5|1.2|1.5|184.660004|1.19|700|israel|0.04|0.01|15.15|Jan 28 BMO|technology|36.099998|632.349976
