empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
AXTI|0|NASDAQ|2020|03|06|15|30|185900|3.43|3.2|3.3|3.33|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|1|NASDAQ|2020|03|05|15|30|217300|3.62|3.44|3.5|3.55|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|2|NASDAQ|2020|03|04|15|30|158900|3.7|3.38|3.67|3.47|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|3|NASDAQ|2020|03|03|15|30|130400|3.52|3.37|3.42|3.45|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|4|NASDAQ|2020|03|02|15|30|153300|3.5|3.31|3.43|3.49|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|5|NASDAQ|2020|02|28|15|30|177200|3.49|3.25|3.48|3.25|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|6|NASDAQ|2020|02|27|15|30|157800|3.56|3.35|3.39|3.36|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|7|NASDAQ|2020|02|26|15|30|77200|3.56|3.42|3.49|3.51|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|8|NASDAQ|2020|02|25|15|30|209500|3.62|3.46|3.47|3.61|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|9|NASDAQ|2020|02|24|15|30|284200|3.65|3.43|3.59|3.6|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|10|NASDAQ|2020|02|21|15|30|286000|4.05|3.75|3.77|4.03|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|11|NASDAQ|2020|02|20|15|30|429700|4.2|3.94|4|4.15|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|12|NASDAQ|2020|02|19|15|30|230300|4.09|3.83|4.06|3.88|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|13|NASDAQ|2020|02|18|15|30|273600|4.12|3.85|3.86|4.04|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|14|NASDAQ|2020|02|14|15|30|84900|4.17|4|4.06|4.1|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|15|NASDAQ|2020|02|13|15|30|116900|4.23|4.06|4.09|4.19|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|16|NASDAQ|2020|02|12|15|30|141600|4.31|4.14|4.28|4.14|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|17|NASDAQ|2020|02|11|15|30|154400|4.22|4.1|4.16|4.11|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|18|NASDAQ|2020|02|10|15|30|96300|4.16|3.97|4.1|4.03|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|19|NASDAQ|2020|02|07|15|30|106900|4.12|3.95|4.05|4.08|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|20|NASDAQ|2020|02|06|15|30|97300|4.2|4.08|4.11|4.2|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|21|NASDAQ|2020|02|05|15|30|183800|4.19|4.05|4.17|4.08|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|22|NASDAQ|2020|02|04|15|30|158700|4.16|3.92|4|4.01|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|23|NASDAQ|2020|02|03|15|30|171800|3.95|3.84|3.91|3.9|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|24|NASDAQ|2020|01|31|15|30|471000|4.24|3.85|3.9|4.24|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|25|NASDAQ|2020|01|30|15|30|238200|4.42|4.24|4.29|4.38|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
AXTI|26|NASDAQ|2020|01|29|15|30|277200|4.44|4.34|4.41|4.37|semiconductorequipmentmaterials|2.5|2.6|4.7|44.59|-|781|usa|0.03|0|3233.330078|Feb 19 AMC|technology|60.200001|129.259995
