empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
BBH|0|NASDAQ|2020|03|06|15|30|17300|137.130005|134.080002|137.130005|134.080002|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|1|NASDAQ|2020|03|05|15|30|20000|141.080002|137.199997|137.199997|137.889999|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|2|NASDAQ|2020|03|04|15|30|37300|141.279999|137.020004|141.110001|137.649994|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|3|NASDAQ|2020|03|03|15|30|73700|140.009995|133.720001|135.009995|138.080002|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|4|NASDAQ|2020|03|02|15|30|26800|138.470001|132.729996|138.470001|133.970001|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|5|NASDAQ|2020|02|28|15|30|54500|134.300003|129.169998|134.300003|129.229996|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|6|NASDAQ|2020|02|27|15|30|36800|138.449997|133.520004|133.520004|137.050003|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|7|NASDAQ|2020|02|26|15|30|15500|139.199997|137.440002|138.190002|137.979996|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|8|NASDAQ|2020|02|25|15|30|18600|141.729996|136.520004|137.169998|141.449997|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|9|NASDAQ|2020|02|24|15|30|18500|142.089996|140.639999|141.570007|141.830002|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|10|NASDAQ|2020|02|21|15|30|15700|145|143.220001|144.75|143.699997|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|11|NASDAQ|2020|02|20|15|30|5300|144.520004|142.860001|144.339996|144.369995|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|12|NASDAQ|2020|02|19|15|30|3900|144.960007|144.169998|144.729996|144.169998|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|13|NASDAQ|2020|02|18|15|30|6700|143.449997|142.610001|143.429993|142.630005|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|14|NASDAQ|2020|02|14|15|30|15600|143.259995|142.089996|143.220001|142.600006|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|15|NASDAQ|2020|02|13|15|30|27600|143.289993|142.470001|142.470001|142.630005|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|16|NASDAQ|2020|02|12|15|30|26500|143.350006|142.789993|143.039993|143.139999|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|17|NASDAQ|2020|02|11|15|30|6400|143.380005|142.350006|142.360001|142.509995|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|18|NASDAQ|2020|02|10|15|30|4000|141.399994|140.080002|141.380005|140.080002|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|19|NASDAQ|2020|02|07|15|30|5100|141.399994|140.330002|140.399994|140.720001|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|20|NASDAQ|2020|02|06|15|30|10900|141.380005|140.089996|141.119995|141|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|21|NASDAQ|2020|02|05|15|30|50200|142.029999|137.550003|140.149994|137.550003|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|22|NASDAQ|2020|02|04|15|30|17400|137.289993|135.470001|136.789993|135.5|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|23|NASDAQ|2020|02|03|15|30|11300|134.699997|133.550003|133.710007|134.699997|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|24|NASDAQ|2020|01|31|15|30|15600|134.080002|130.940002|132.389999|134.080002|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|25|NASDAQ|2020|01|30|15|30|12100|135.589996|133.889999|134.419998|134.970001|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|26|NASDAQ|2020|01|29|15|30|4700|136.960007|136.259995|136.339996|136.259995|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|27|NASDAQ|2020|01|28|15|30|13000|136.25|134.850006|136.199997|134.850006|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|28|NASDAQ|2020|01|27|15|30|27000|135.210007|133.779999|134.559998|133.960007|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|29|NASDAQ|2020|01|24|15|30|21900|138.639999|135.139999|135.759995|138.639999|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|30|NASDAQ|2020|01|23|15|30|15000|139.020004|137.529999|138.240005|138.889999|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|31|NASDAQ|2020|01|22|15|30|5400|140.389999|139.029999|139.429993|139.029999|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|32|NASDAQ|2020|01|21|15|30|37000|140.600006|139|139|140.600006|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|33|NASDAQ|2020|01|17|15|30|22100|140.800003|140.059998|140.380005|140.699997|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|34|NASDAQ|2020|01|16|15|30|9300|141.169998|140.270004|140.610001|140.470001|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|35|NASDAQ|2020|01|15|15|30|12700|141.860001|140.300003|140.300003|141.479996|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|36|NASDAQ|2020|01|14|15|30|15100|141|138.320007|140.800003|138.809998|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|37|NASDAQ|2020|01|13|15|30|30100|141.699997|138.110001|138.820007|141.699997|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|38|NASDAQ|2020|01|10|15|30|5100|142.600006|141.539993|141.679993|142.550003|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|39|NASDAQ|2020|01|09|15|30|22200|142.119995|141.190002|142.119995|141.190002|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|40|NASDAQ|2020|01|08|15|30|23000|141.009995|139.009995|140.119995|139.009995|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|41|NASDAQ|2020|01|07|15|30|7400|139.690002|138.860001|139.419998|138.869995|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|42|NASDAQ|2020|01|06|15|30|15700|139.320007|137.050003|139.289993|137.050003|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|43|NASDAQ|2020|01|03|15|30|26900|138.809998|137.240005|138|137.240005|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|44|NASDAQ|2020|01|02|15|30|15100|140.440002|138.960007|139.619995|140.440002|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|45|NASDAQ|2019|12|31|15|30|6200|139.419998|138.690002|139.419998|138.690002|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|46|NASDAQ|2019|12|30|15|30|24400|140.270004|138.699997|139.050003|140.029999|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|47|NASDAQ|2019|12|27|15|30|7100|140.779999|140.080002|140.289993|140.779999|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|48|NASDAQ|2019|12|26|15|30|9700|141.929993|140.630005|140.800003|141.929993|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|49|NASDAQ|2019|12|24|15|30|3300|142.850006|142.410004|142.850006|142.410004|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|50|NASDAQ|2019|12|23|15|30|12000|143.020004|141.990005|142.679993|142.990005|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
BBH|51|NASDAQ|2019|12|20|15|30|11100|142.809998|141.759995|142.699997|142.139999|exchangetradedfund|-|-|-|-|0.35|-|usa|-|-|-|-|financial|-|-
