empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
BCOM|0|NASDAQ|2020|03|06|15|30|900|1.03|1.02|1.02|1.03|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|1|NASDAQ|2020|03|05|15|30|3100|1.12|1.07|1.09|1.12|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|2|NASDAQ|2020|03|04|15|30|5800|1.21|1.16|1.21|1.18|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|3|NASDAQ|2020|03|03|15|30|600|1.27|1.26|1.26|1.27|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|4|NASDAQ|2020|03|02|15|30|2300|1.43|1.29|1.34|1.29|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|5|NASDAQ|2020|02|28|15|30|0|1.23|1.23|1.23|1.23|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|6|NASDAQ|2020|02|27|15|30|2200|1.3|1.2|1.23|1.27|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|7|NASDAQ|2020|02|26|15|30|400|1.31|1.31|1.31|1.31|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|8|NASDAQ|2020|02|25|15|30|1200|1.38|1.3|1.3|1.33|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|9|NASDAQ|2020|02|24|15|30|7300|1.4|1.3|1.31|1.38|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|10|NASDAQ|2020|02|21|15|30|700|1.48|1.43|1.43|1.48|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|11|NASDAQ|2020|02|20|15|30|500|1.46|1.41|1.46|1.41|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|12|NASDAQ|2020|02|19|15|30|200|1.43|1.43|1.43|1.43|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|13|NASDAQ|2020|02|18|15|30|9700|1.54|1.5|1.5|1.5|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|14|NASDAQ|2020|02|14|15|30|300|1.5|1.5|1.5|1.5|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|15|NASDAQ|2020|02|13|15|30|2700|1.51|1.5|1.51|1.5|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|16|NASDAQ|2020|02|12|15|30|400|1.54|1.53|1.53|1.54|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|17|NASDAQ|2020|02|11|15|30|3600|1.51|1.46|1.51|1.46|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|18|NASDAQ|2020|02|10|15|30|600|1.42|1.41|1.41|1.42|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|19|NASDAQ|2020|02|07|15|30|11500|1.47|1.39|1.4|1.39|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|20|NASDAQ|2020|02|06|15|30|2300|1.45|1.39|1.44|1.45|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|21|NASDAQ|2020|02|05|15|30|1800|1.5|1.39|1.44|1.46|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|22|NASDAQ|2020|02|04|15|30|12300|1.45|1.39|1.45|1.39|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|23|NASDAQ|2020|02|03|15|30|15300|1.55|1.44|1.45|1.55|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|24|NASDAQ|2020|01|31|15|30|4700|1.59|1.55|1.59|1.56|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|25|NASDAQ|2020|01|30|15|30|12400|1.63|1.55|1.6|1.56|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|26|NASDAQ|2020|01|29|15|30|700|1.65|1.63|1.63|1.64|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|27|NASDAQ|2020|01|28|15|30|7300|1.61|1.57|1.57|1.58|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|28|NASDAQ|2020|01|27|15|30|9300|1.61|1.54|1.58|1.61|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|29|NASDAQ|2020|01|24|15|30|500|1.72|1.65|1.65|1.72|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|30|NASDAQ|2020|01|23|15|30|3100|1.69|1.63|1.64|1.63|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|31|NASDAQ|2020|01|22|15|30|1900|1.68|1.64|1.64|1.66|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|32|NASDAQ|2020|01|21|15|30|18200|1.7|1.58|1.68|1.58|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|33|NASDAQ|2020|01|17|15|30|700|1.61|1.59|1.61|1.6|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
BCOM|34|NASDAQ|2020|01|16|15|30|22600|1.65|1.57|1.57|1.65|diversifiedcommunicationservices|-|-|-|-|-|11132|israel|-|-|-|Mar 26 BMO|technology|-|118.669998
