empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
BDSI|0|NASDAQ|2020|03|06|15|30|1231100|4.48|4.32|4.46|4.46|biotechnology|2.8|2|2.3|-|-|164|usa|0.86|0.86|287.5|Mar 12 AMC|healthcare|79.900002|399.390015
BDSI|1|NASDAQ|2020|03|05|15|30|1003300|4.72|4.5|4.58|4.66|biotechnology|2.8|2|2.3|-|-|164|usa|0.86|0.86|287.5|Mar 12 AMC|healthcare|79.900002|399.390015
BDSI|2|NASDAQ|2020|03|04|15|30|1319100|5.07|4.69|4.72|5|biotechnology|2.8|2|2.3|-|-|164|usa|0.86|0.86|287.5|Mar 12 AMC|healthcare|79.900002|399.390015
BDSI|3|NASDAQ|2020|03|03|15|30|1522200|5.07|4.79|4.91|5.05|biotechnology|2.8|2|2.3|-|-|164|usa|0.86|0.86|287.5|Mar 12 AMC|healthcare|79.900002|399.390015
BDSI|4|NASDAQ|2020|03|02|15|30|1137900|5.08|4.8|5.03|4.9|biotechnology|2.8|2|2.3|-|-|164|usa|0.86|0.86|287.5|Mar 12 AMC|healthcare|79.900002|399.390015
BDSI|5|NASDAQ|2020|02|28|15|30|1054800|4.9|4.66|4.86|4.66|biotechnology|2.8|2|2.3|-|-|164|usa|0.86|0.86|287.5|Mar 12 AMC|healthcare|79.900002|399.390015
BDSI|6|NASDAQ|2020|02|27|15|30|1348000|4.95|4.62|4.84|4.85|biotechnology|2.8|2|2.3|-|-|164|usa|0.86|0.86|287.5|Mar 12 AMC|healthcare|79.900002|399.390015
BDSI|7|NASDAQ|2020|02|26|15|30|1022600|5.13|4.87|4.93|5.13|biotechnology|2.8|2|2.3|-|-|164|usa|0.86|0.86|287.5|Mar 12 AMC|healthcare|79.900002|399.390015
BDSI|8|NASDAQ|2020|02|25|15|30|856500|5.29|5.08|5.11|5.27|biotechnology|2.8|2|2.3|-|-|164|usa|0.86|0.86|287.5|Mar 12 AMC|healthcare|79.900002|399.390015
BDSI|9|NASDAQ|2020|02|24|15|30|1484000|5.45|5.14|5.25|5.42|biotechnology|2.8|2|2.3|-|-|164|usa|0.86|0.86|287.5|Mar 12 AMC|healthcare|79.900002|399.390015
BDSI|10|NASDAQ|2020|02|21|15|30|1074200|5.61|5.22|5.56|5.29|biotechnology|2.8|2|2.3|-|-|164|usa|0.86|0.86|287.5|Mar 12 AMC|healthcare|79.900002|399.390015
BDSI|11|NASDAQ|2020|02|20|15|30|1053300|5.39|5.19|5.28|5.35|biotechnology|2.8|2|2.3|-|-|164|usa|0.86|0.86|287.5|Mar 12 AMC|healthcare|79.900002|399.390015
BDSI|12|NASDAQ|2020|02|19|15|30|864500|5.41|5.28|5.35|5.38|biotechnology|2.8|2|2.3|-|-|164|usa|0.86|0.86|287.5|Mar 12 AMC|healthcare|79.900002|399.390015
BDSI|13|NASDAQ|2020|02|18|15|30|596700|5.35|5.24|5.32|5.28|biotechnology|2.8|2|2.3|-|-|164|usa|0.86|0.86|287.5|Mar 12 AMC|healthcare|79.900002|399.390015
