empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
BLPH|0|NASDAQ|2020|03|06|15|30|77000|8.452|7.921|8.32|8.28|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|1|NASDAQ|2020|03|05|15|30|60300|8.61|7.81|8.31|8.13|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|2|NASDAQ|2020|03|04|15|30|104300|8.5|7.33|8.29|7.33|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|3|NASDAQ|2020|03|03|15|30|80500|7.625|6.95|7.37|7.06|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|4|NASDAQ|2020|03|02|15|30|45900|7.666|6.79|7.07|6.97|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|5|NASDAQ|2020|02|28|15|30|105800|8.32|6.529|7|8.32|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|6|NASDAQ|2020|02|27|15|30|102400|8.93|7.733|8.36|8.93|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|7|NASDAQ|2020|02|26|15|30|245500|8.95|7.52|8.85|7.52|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|8|NASDAQ|2020|02|25|15|30|147600|8.11|7.3|7.55|7.45|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|9|NASDAQ|2020|02|24|15|30|128800|8.1|7.31|7.5|8|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|10|NASDAQ|2020|02|21|15|30|410500|8.38|7.1|7.99|7.66|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|11|NASDAQ|2020|02|20|15|30|604500|8.9|7.51|7.72|7.99|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|12|NASDAQ|2020|02|19|15|30|5114400|10.7|7.3|8.11|9.31|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|13|NASDAQ|2020|02|18|15|30|23794000|11.98|5.45|9.205|6.35|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|14|NASDAQ|2020|02|14|15|30|86100|3.67|3.26|3.43|3.63|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|15|NASDAQ|2020|02|13|15|30|756000|5.264|3.54|3.64|3.99|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|16|NASDAQ|2020|02|12|15|30|82300|3.99|3.55|3.98|3.8|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|17|NASDAQ|2020|02|11|15|30|48500|4|3.8|3.86|3.91|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|18|NASDAQ|2020|02|10|15|30|55200|4.48|3.77|3.995|3.77|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|19|NASDAQ|2020|02|07|15|30|86600|5.25|4.05|4.185|5.1|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|20|NASDAQ|2020|02|06|15|30|12200|5.25|4.95|5.145|5.16|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|21|NASDAQ|2020|02|05|15|30|7200|5.4|5.1|5.16|5.1|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|22|NASDAQ|2020|02|04|15|30|13600|5.475|4.995|5.175|5.25|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|23|NASDAQ|2020|02|03|15|30|3200|5.37|5.25|5.25|5.25|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|24|NASDAQ|2020|01|31|15|30|17800|5.28|5.25|5.265|5.25|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|25|NASDAQ|2020|01|30|15|30|7400|5.43|5.25|5.265|5.4|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|26|NASDAQ|2020|01|29|15|30|17900|5.55|5.25|5.25|5.55|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|27|NASDAQ|2020|01|28|15|30|19300|5.7|5.25|5.355|5.7|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|28|NASDAQ|2020|01|27|15|30|6400|5.805|5.325|5.61|5.55|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|29|NASDAQ|2020|01|24|15|30|24600|6.15|5.25|5.55|6|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|30|NASDAQ|2020|01|23|15|30|16000|6.15|5.7|6|6.105|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|31|NASDAQ|2020|01|22|15|30|16500|6.15|5.715|6.105|6|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|32|NASDAQ|2020|01|21|15|30|44500|6.3|5.85|6.15|5.865|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|33|NASDAQ|2020|01|17|15|30|20400|6.15|5.67|5.85|6|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|34|NASDAQ|2020|01|16|15|30|66700|6.15|5.25|5.85|5.25|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|35|NASDAQ|2020|01|15|15|30|11800|5.355|5.25|5.265|5.25|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|36|NASDAQ|2020|01|14|15|30|13700|5.4|5.25|5.25|5.385|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|37|NASDAQ|2020|01|13|15|30|24100|5.415|5.25|5.415|5.25|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|38|NASDAQ|2020|01|10|15|30|106900|5.4|4.905|5.25|5.025|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|39|NASDAQ|2020|01|09|15|30|24600|5.175|4.95|4.98|5.025|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|40|NASDAQ|2020|01|08|15|30|29900|5.325|4.965|5.1|5.25|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|41|NASDAQ|2020|01|07|15|30|38200|5.55|5.22|5.25|5.55|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|42|NASDAQ|2020|01|06|15|30|34900|5.61|5.175|5.4|5.55|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|43|NASDAQ|2020|01|03|15|30|67500|5.67|5.175|5.355|5.25|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|44|NASDAQ|2020|01|02|15|30|59400|5.475|5.1|5.25|5.4|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|45|NASDAQ|2019|12|31|15|30|32500|5.4|5.1|5.25|5.205|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|46|NASDAQ|2019|12|30|15|30|44300|5.34|4.995|5.1|5.28|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|47|NASDAQ|2019|12|27|15|30|29900|5.535|5.1|5.31|5.34|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|48|NASDAQ|2019|12|26|15|30|28000|5.535|5.265|5.37|5.505|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|49|NASDAQ|2019|12|24|15|30|26100|5.55|5.1|5.475|5.25|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|50|NASDAQ|2019|12|23|15|30|17600|5.25|4.95|5.1|4.95|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|51|NASDAQ|2019|12|20|15|30|111000|5.37|4.875|4.965|4.95|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|52|NASDAQ|2019|12|19|15|30|67600|5.4|4.95|5.175|5.25|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|53|NASDAQ|2019|12|18|15|30|113000|5.985|4.815|4.965|5.82|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|54|NASDAQ|2019|12|17|15|30|693300|9.24|5.55|5.685|8.52|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|55|NASDAQ|2019|12|16|15|30|15000|6.45|6|6.375|6.27|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|56|NASDAQ|2019|12|13|15|30|4400|6.315|6.075|6.255|6.3|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|57|NASDAQ|2019|12|12|15|30|6500|6.375|6.045|6.045|6.3|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|58|NASDAQ|2019|12|11|15|30|8700|6.735|6.3|6.39|6.375|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|59|NASDAQ|2019|12|10|15|30|2400|6.51|6.345|6.375|6.465|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|60|NASDAQ|2019|12|09|15|30|18400|6.48|6.18|6.48|6.3|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|61|NASDAQ|2019|12|06|15|30|7600|6.495|6.15|6.225|6.3|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|62|NASDAQ|2019|12|05|15|30|4400|6.3|6|6|6.045|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|63|NASDAQ|2019|12|04|15|30|1900|6.15|5.85|6|6.09|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|64|NASDAQ|2019|12|03|15|30|25700|6.75|5.91|6|6.615|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|65|NASDAQ|2019|12|02|15|30|42500|7.35|6.255|6.555|6.39|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|66|NASDAQ|2019|11|29|15|30|1200|6.45|6.375|6.435|6.45|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|67|NASDAQ|2019|11|27|15|30|21800|6.6|5.775|6.345|6.105|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|68|NASDAQ|2019|11|26|15|30|3200|6.42|5.625|5.91|5.745|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|69|NASDAQ|2019|11|25|15|30|48300|6.45|5.7|5.76|5.835|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|70|NASDAQ|2019|11|22|15|30|11000|5.85|5.25|5.7|5.445|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|71|NASDAQ|2019|11|21|15|30|7600|5.775|5.25|5.475|5.505|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|72|NASDAQ|2019|11|20|15|30|3400|5.775|5.25|5.535|5.25|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|73|NASDAQ|2019|11|19|15|30|12600|5.85|5.475|5.73|5.475|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|74|NASDAQ|2019|11|18|15|30|5500|5.55|5.1|5.505|5.25|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|75|NASDAQ|2019|11|15|15|30|45800|6|4.68|5.1|5.85|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|76|NASDAQ|2019|11|14|15|30|3000|6.315|6|6.285|6.315|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|77|NASDAQ|2019|11|13|15|30|9200|6.6|6|6.3|6.3|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|78|NASDAQ|2019|11|12|15|30|3800|6.75|6.465|6.57|6.75|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|79|NASDAQ|2019|11|11|15|30|1700|6.795|6.45|6.735|6.75|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|80|NASDAQ|2019|11|08|15|30|8100|6.795|6.375|6.75|6.54|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|81|NASDAQ|2019|11|07|15|30|3100|6.855|6.525|6.54|6.645|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|82|NASDAQ|2019|11|06|15|30|8100|7.02|6.465|6.855|6.81|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|83|NASDAQ|2019|11|05|15|30|10500|7.2|6.54|6.885|6.6|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
BLPH|84|NASDAQ|2019|11|04|15|30|6600|6.9|6.315|6.525|6.375|biotechnology|5.4|2|2|-|-|17|usa|0|0|-2.3|Mar 12 BMO|healthcare|41.299999|45.509998
