empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
BLU|0|NASDAQ|2020|03|06|15|30|266300|10.18|9.62|10.11|9.76|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|1|NASDAQ|2020|03|05|15|30|277900|10.23|9.87|10|10.23|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|2|NASDAQ|2020|03|04|15|30|837500|10.47|9.74|10.35|9.83|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|3|NASDAQ|2020|03|03|15|30|215488|9.94|9.26|9.56|9.3|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|4|NASDAQ|2020|03|02|15|30|338892|9.63|8.6|9.23|8.63|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|5|NASDAQ|2020|02|28|15|30|648758|9.19|8.33|8.77|8.39|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|6|NASDAQ|2020|02|27|15|30|89238|9.5286|8.67|9.2|8.89|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|7|NASDAQ|2020|02|26|15|30|109038|9.65|8.7728|9.2|9.35|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|8|NASDAQ|2020|02|25|15|30|163989|10.32|8.9015|9.27|10.12|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|9|NASDAQ|2020|02|24|15|30|167402|10.49|9.85|9.96|10.07|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|10|NASDAQ|2020|02|21|15|30|121099|10.88|10.52|10.65|10.86|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|11|NASDAQ|2020|02|20|15|30|486273|10.95|9.96|10.85|9.96|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|12|NASDAQ|2020|02|19|15|30|977880|10.13|9.21|9.96|9.21|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|13|NASDAQ|2020|02|18|15|30|343672|9.59|8.59|9.15|8.71|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|14|NASDAQ|2020|02|14|15|30|182524|9.07|8.71|8.9|8.97|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|15|NASDAQ|2020|02|13|15|30|182140|9.2|8.77|8.95|9.16|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|16|NASDAQ|2020|02|12|15|30|47354|9.39|9.0414|9.16|9.39|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|17|NASDAQ|2020|02|11|15|30|61914|9.505|9.04|9.26|9.46|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|18|NASDAQ|2020|02|10|15|30|92178|9.63|9.32|9.35|9.59|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|19|NASDAQ|2020|02|07|15|30|120161|9.56|9.28|9.5|9.56|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|20|NASDAQ|2020|02|06|15|30|121200|9.48|9|9.48|9.01|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|21|NASDAQ|2020|02|05|15|30|84623|9.1|8.83|8.94|8.86|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|22|NASDAQ|2020|02|04|15|30|90729|8.85|8.38|8.84|8.52|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|23|NASDAQ|2020|02|03|15|30|66728|8.585|8.03|8.42|8.03|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|24|NASDAQ|2020|01|31|15|30|100043|8.65|8|8.16|8.65|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
BLU|25|NASDAQ|2020|01|30|15|30|99984|9.18|8.4012|8.65|9.18|biotechnology|3.3|12.4|12.4|-|-|57|canada|0|0|-|Mar 12|healthcare|60.009998|580.01001
