empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
BPMC|0|NASDAQ|2020|03|06|15|30|476000|58.119999|56.040001|57.349998|56.07|biotechnology|0.2|4.9|4.9|-|-|221|usa|0|0|24.6|Feb 13 BMO|healthcare|94.099998|3109.999756
BPMC|1|NASDAQ|2020|03|05|15|30|571800|60.82|57.07|58.400002|58.490002|biotechnology|0.2|4.9|4.9|-|-|221|usa|0|0|24.6|Feb 13 BMO|healthcare|94.099998|3109.999756
BPMC|2|NASDAQ|2020|03|04|15|30|830600|60.900002|57.02|60.459999|58.900002|biotechnology|0.2|4.9|4.9|-|-|221|usa|0|0|24.6|Feb 13 BMO|healthcare|94.099998|3109.999756
BPMC|3|NASDAQ|2020|03|03|15|30|829800|58.43|55.580002|57.459999|56.669998|biotechnology|0.2|4.9|4.9|-|-|221|usa|0|0|24.6|Feb 13 BMO|healthcare|94.099998|3109.999756
BPMC|4|NASDAQ|2020|03|02|15|30|777700|57.41|53.299999|57.09|54.77|biotechnology|0.2|4.9|4.9|-|-|221|usa|0|0|24.6|Feb 13 BMO|healthcare|94.099998|3109.999756
BPMC|5|NASDAQ|2020|02|28|15|30|1226300|55.57|51.68|54.130001|52.650002|biotechnology|0.2|4.9|4.9|-|-|221|usa|0|0|24.6|Feb 13 BMO|healthcare|94.099998|3109.999756
BPMC|6|NASDAQ|2020|02|27|15|30|653600|57.825001|54.32|54.380001|56.490002|biotechnology|0.2|4.9|4.9|-|-|221|usa|0|0|24.6|Feb 13 BMO|healthcare|94.099998|3109.999756
BPMC|7|NASDAQ|2020|02|26|15|30|565700|60.009998|57.169998|57.560001|59.75|biotechnology|0.2|4.9|4.9|-|-|221|usa|0|0|24.6|Feb 13 BMO|healthcare|94.099998|3109.999756
BPMC|8|NASDAQ|2020|02|25|15|30|825700|63.360001|58.560001|59.259998|62.5|biotechnology|0.2|4.9|4.9|-|-|221|usa|0|0|24.6|Feb 13 BMO|healthcare|94.099998|3109.999756
BPMC|9|NASDAQ|2020|02|24|15|30|575800|65.940002|61.790001|61.970001|65.220001|biotechnology|0.2|4.9|4.9|-|-|221|usa|0|0|24.6|Feb 13 BMO|healthcare|94.099998|3109.999756
