empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
BRKR|0|NASDAQ|2020|03|06|15|30|709700|44.900002|43.529999|44.669998|43.720001|medicallaboratoriesresearch|24.9|1.3|2.2|33.919998|0.36|6870|usa|0.61|0.61|11.15|Feb 12 AMC|healthcare|70.300003|7010.000488
BRKR|1|NASDAQ|2020|03|05|15|30|901700|46.470001|44.549999|45|45.799999|medicallaboratoriesresearch|24.9|1.3|2.2|33.919998|0.36|6870|usa|0.61|0.61|11.15|Feb 12 AMC|healthcare|70.300003|7010.000488
BRKR|2|NASDAQ|2020|03|04|15|30|497700|47|45.080002|46.91|45.82|medicallaboratoriesresearch|24.9|1.3|2.2|33.919998|0.36|6870|usa|0.61|0.61|11.15|Feb 12 AMC|healthcare|70.300003|7010.000488
BRKR|3|NASDAQ|2020|03|03|15|30|807600|46.77|44.209999|44.91|45.599998|medicallaboratoriesresearch|24.9|1.3|2.2|33.919998|0.36|6870|usa|0.61|0.61|11.15|Feb 12 AMC|healthcare|70.300003|7010.000488
BRKR|4|NASDAQ|2020|03|02|15|30|843300|45.630001|43.060001|45.599998|43.889999|medicallaboratoriesresearch|24.9|1.3|2.2|33.919998|0.36|6870|usa|0.61|0.61|11.15|Feb 12 AMC|healthcare|70.300003|7010.000488
BRKR|5|NASDAQ|2020|02|28|15|30|1532300|44.369999|42.02|43.560001|42.82|medicallaboratoriesresearch|24.9|1.3|2.2|33.919998|0.36|6870|usa|0.61|0.61|11.15|Feb 12 AMC|healthcare|70.300003|7010.000488
BRKR|6|NASDAQ|2020|02|27|15|30|908500|46.790001|43.709999|44.360001|45.060001|medicallaboratoriesresearch|24.9|1.3|2.2|33.919998|0.36|6870|usa|0.61|0.61|11.15|Feb 12 AMC|healthcare|70.300003|7010.000488
BRKR|7|NASDAQ|2020|02|26|15|30|924500|47.810001|46.169998|46.220001|46.360001|medicallaboratoriesresearch|24.9|1.3|2.2|33.919998|0.36|6870|usa|0.61|0.61|11.15|Feb 12 AMC|healthcare|70.300003|7010.000488
BRKR|8|NASDAQ|2020|02|25|15|30|819600|49|46.09|46.130001|48.599998|medicallaboratoriesresearch|24.9|1.3|2.2|33.919998|0.36|6870|usa|0.61|0.61|11.15|Feb 12 AMC|healthcare|70.300003|7010.000488
BRKR|9|NASDAQ|2020|02|24|15|30|1426500|48.779999|47.279999|48.5|48.009998|medicallaboratoriesresearch|24.9|1.3|2.2|33.919998|0.36|6870|usa|0.61|0.61|11.15|Feb 12 AMC|healthcare|70.300003|7010.000488
