empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CAR|0|NASDAQ|2020|03|06|15|30|5185300|25.370001|21.540001|24.129999|23.059999|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|1|NASDAQ|2020|03|05|15|30|3721100|28|24.59|24.870001|27.75|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|2|NASDAQ|2020|03|04|15|30|2503200|30.549999|28.35|28.91|30.42|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|3|NASDAQ|2020|03|03|15|30|2168800|32.900002|29.76|29.93|32.41|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|4|NASDAQ|2020|03|02|15|30|2263000|32.869999|30.879999|32.279999|32.740002|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|5|NASDAQ|2020|02|28|15|30|3368600|33.029999|30.309999|32.380001|31|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|6|NASDAQ|2020|02|27|15|30|4847200|34.77|30.059999|32.02|34.299999|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|7|NASDAQ|2020|02|26|15|30|3273000|40.450001|35.84|36.02|40.380001|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|8|NASDAQ|2020|02|25|15|30|2577100|45.889999|39.98|40.220001|44.389999|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|9|NASDAQ|2020|02|24|15|30|2203100|46.849998|43.040001|44.150002|45.740002|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|10|NASDAQ|2020|02|21|15|30|3080200|49.709999|47.27|47.939999|49.57|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|11|NASDAQ|2020|02|20|15|30|5763400|52.98|47.549999|50.34|48.740002|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|12|NASDAQ|2020|02|19|15|30|1954800|43.400002|41.009998|43.18|41.560001|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|13|NASDAQ|2020|02|18|15|30|634300|41.810001|40.959999|41.32|41.25|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|14|NASDAQ|2020|02|14|15|30|629400|41.880001|40.610001|41.299999|41.380001|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|15|NASDAQ|2020|02|13|15|30|1356000|41.669998|39.889999|41.48|40.459999|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|16|NASDAQ|2020|02|12|15|30|1887500|41.52|39|40.880001|39.310001|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|17|NASDAQ|2020|02|11|15|30|1543400|38.77|37.52|38.599998|37.669998|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|18|NASDAQ|2020|02|10|15|30|1218100|37.549999|34.990002|37.34|35.200001|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|19|NASDAQ|2020|02|07|15|30|417200|34.970001|33.900002|34.869999|34.25|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|20|NASDAQ|2020|02|06|15|30|1243200|36.169998|34.5|34.560001|35.860001|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|21|NASDAQ|2020|02|05|15|30|632200|35.75|34.07|35.470001|34.07|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|22|NASDAQ|2020|02|04|15|30|669000|34.75|32.990002|34.389999|33.48|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|23|NASDAQ|2020|02|03|15|30|519400|33.189999|32.57|32.830002|32.990002|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|24|NASDAQ|2020|01|31|15|30|610700|33.200001|32.310001|32.799999|33.049999|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|25|NASDAQ|2020|01|30|15|30|427100|33.389999|32.66|33.360001|33.080002|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|26|NASDAQ|2020|01|29|15|30|456200|34.490002|33.509998|33.57|34|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
CAR|27|NASDAQ|2020|01|28|15|30|1395600|33.970001|33|33.759998|33.189999|rentalleasingservices|0.8|1|1|6|-|30000|usa|22.110001|22.08|12.37|Feb 19 AMC|services|-|1770
