empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CBSH|0|NASDAQ|2020|03|06|15|30|666400|59.189999|56.950001|57.959999|57.59|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|1|NASDAQ|2020|03|05|15|30|806200|62.91|58.639999|59.59|61.450001|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|2|NASDAQ|2020|03|04|15|30|537400|63.68|61.59|63.560001|62.509998|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|3|NASDAQ|2020|03|03|15|30|633600|64|61.139999|61.75|63.119999|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|4|NASDAQ|2020|03|02|15|30|667200|63.490002|60.380001|63.43|60.939999|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|5|NASDAQ|2020|02|28|15|30|1141000|62.830002|59.93|61.040001|61.98|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|6|NASDAQ|2020|02|27|15|30|915900|66.339996|62.720001|63.830002|63.470001|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|7|NASDAQ|2020|02|26|15|30|418100|66.919998|64.480003|64.559998|66.099998|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|8|NASDAQ|2020|02|25|15|30|724900|67.580002|65.389999|65.629997|67.400002|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|9|NASDAQ|2020|02|24|15|30|504200|67.809998|66.989998|67.339996|67.089996|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|10|NASDAQ|2020|02|21|15|30|646500|69.739998|68.529999|69.029999|69.5|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|11|NASDAQ|2020|02|20|15|30|318300|70.050003|68.970001|69.940002|69.480003|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|12|NASDAQ|2020|02|19|15|30|313700|70.050003|69.589996|69.599998|69.870003|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|13|NASDAQ|2020|02|18|15|30|337700|70.260002|69.239998|69.599998|69.709999|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|14|NASDAQ|2020|02|14|15|30|369800|70.720001|70.07|70.160004|70.550003|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|15|NASDAQ|2020|02|13|15|30|356400|70.769997|70.199997|70.699997|70.459999|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|16|NASDAQ|2020|02|12|15|30|319100|71.230003|70.510002|70.800003|71.18|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|17|NASDAQ|2020|02|11|15|30|376500|71.389999|70.209999|71.099998|70.68|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|18|NASDAQ|2020|02|10|15|30|203300|70.480003|69.419998|70.419998|69.419998|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|19|NASDAQ|2020|02|07|15|30|366900|70.129997|69.529999|69.669998|69.879997|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|20|NASDAQ|2020|02|06|15|30|467300|71.919998|70.120003|70.25|71.279999|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
CBSH|21|NASDAQ|2020|02|05|15|30|571600|71.279999|70.660004|70.940002|70.699997|regionalmidwestbanks|2.5|-|-|16.18|1.86|4576|usa|0|0|1.55|Jan 22 BMO|financial|72.199997|6790
