empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CDTX|0|NASDAQ|2020|03|06|15|30|389000|3.033|2.84|2.91|3.02|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
CDTX|1|NASDAQ|2020|03|05|15|30|600200|3.17|2.94|3.06|3.02|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
CDTX|2|NASDAQ|2020|03|04|15|30|1902500|3.45|2.67|3.15|2.79|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
CDTX|3|NASDAQ|2020|03|03|15|30|212300|3.05|2.83|2.86|2.95|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
CDTX|4|NASDAQ|2020|03|02|15|30|260500|3|2.72|2.96|2.95|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
CDTX|5|NASDAQ|2020|02|28|15|30|290500|2.93|2.75|2.9|2.8|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
CDTX|6|NASDAQ|2020|02|27|15|30|169500|2.97|2.71|2.84|2.9|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
CDTX|7|NASDAQ|2020|02|26|15|30|192000|2.95|2.83|2.9|2.85|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
CDTX|8|NASDAQ|2020|02|25|15|30|429000|3.02|2.72|2.88|3|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
CDTX|9|NASDAQ|2020|02|24|15|30|332500|3.16|2.99|2.99|3.13|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
CDTX|10|NASDAQ|2020|02|21|15|30|154700|3.24|3.08|3.16|3.17|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
CDTX|11|NASDAQ|2020|02|20|15|30|99700|3.22|3.01|3.16|3.18|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
CDTX|12|NASDAQ|2020|02|19|15|30|190000|3.22|3.01|3.19|3.05|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
CDTX|13|NASDAQ|2020|02|18|15|30|229500|3.17|2.98|3.05|3.01|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
CDTX|14|NASDAQ|2020|02|14|15|30|373400|3.04|2.92|2.98|2.92|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
CDTX|15|NASDAQ|2020|02|13|15|30|208000|3.14|2.9|2.94|3.05|biotechnology|13.5|2.5|2.5|-|-|68|usa|0.2|0|-23.700001|Mar 05|healthcare|44.799999|115.5
