empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CENT|0|NASDAQ|2020|03|06|15|30|67600|27.790001|26.969999|27.66|27.379999|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|1|NASDAQ|2020|03|05|15|30|102200|28.18|27.379999|28.120001|27.389999|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|2|NASDAQ|2020|03|04|15|30|62700|27.93|26.67|27.93|27.190001|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|3|NASDAQ|2020|03|03|15|30|64700|27.34|26.27|26.799999|27.09|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|4|NASDAQ|2020|03|02|15|30|72400|27.26|26.35|27.24|27.190001|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|5|NASDAQ|2020|02|28|15|30|134100|26.860001|25.83|26.780001|25.83|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|6|NASDAQ|2020|02|27|15|30|148700|27.91|26.370001|26.370001|27.91|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|7|NASDAQ|2020|02|26|15|30|32000|28.91|27.99|28.219999|28.91|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|8|NASDAQ|2020|02|25|15|30|110500|29.15|28.440001|28.76|29.15|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|9|NASDAQ|2020|02|24|15|30|41300|29.459999|28.9|29.09|29.219999|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|10|NASDAQ|2020|02|21|15|30|51800|29.940001|28.98|29.74|29.309999|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|11|NASDAQ|2020|02|20|15|30|71900|29.65|28.940001|29.35|28.940001|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|12|NASDAQ|2020|02|19|15|30|92600|29.639999|29.110001|29.200001|29.639999|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|13|NASDAQ|2020|02|18|15|30|81900|30.299999|29.48|29.5|30.120001|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|14|NASDAQ|2020|02|14|15|30|58200|30.34|29.77|30.120001|30.01|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|15|NASDAQ|2020|02|13|15|30|42600|30.200001|29.549999|30.059999|29.959999|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|16|NASDAQ|2020|02|12|15|30|65100|30.299999|29.459999|30.01|30|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|17|NASDAQ|2020|02|11|15|30|64500|30.4|29.639999|29.85|30.110001|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|18|NASDAQ|2020|02|10|15|30|55800|30.01|29.559999|29.879999|29.860001|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|19|NASDAQ|2020|02|07|15|30|85300|31.459999|29.719999|29.790001|31.459999|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|20|NASDAQ|2020|02|06|15|30|114100|34.689999|30.709999|31.23|32.23|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|21|NASDAQ|2020|02|05|15|30|57800|32.290001|31.469999|32.290001|31.93|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
CENT|22|NASDAQ|2020|02|04|15|30|59900|32.259998|31.690001|31.82|31.959999|foodmajordiversified|15.1|2.2|3.8|18.58|-|5300|usa|0.71|0.71|4.33|Feb 05 AMC|consumergoods|91|1460
