empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CHRW|0|NASDAQ|2020|03|06|15|30|4034100|66.389999|64.099998|66.080002|64.610001|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|1|NASDAQ|2020|03|05|15|30|2230200|69.419998|65.900002|66.379997|68.32|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|2|NASDAQ|2020|03|04|15|30|1394100|70.879997|67.589996|70.790001|69.120003|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|3|NASDAQ|2020|03|03|15|30|1492700|70.699997|67.139999|68.269997|69.629997|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|4|NASDAQ|2020|03|02|15|30|1786200|70.120003|68.379997|70.089996|69.029999|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|5|NASDAQ|2020|02|28|15|30|3375800|69.769997|67.349998|68.900002|68.940002|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|6|NASDAQ|2020|02|27|15|30|2325600|72.239998|69.870003|69.870003|70.309998|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|7|NASDAQ|2020|02|26|15|30|1107400|72.93|71.199997|71.660004|72.529999|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|8|NASDAQ|2020|02|25|15|30|2344900|72.970001|70.480003|71.849998|72.309998|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|9|NASDAQ|2020|02|24|15|30|1657900|74|71.620003|72.139999|73.209999|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|10|NASDAQ|2020|02|21|15|30|1497200|75.599998|73.699997|74.550003|74.089996|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|11|NASDAQ|2020|02|20|15|30|1579100|74.959999|73.260002|74.82|73.629997|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|12|NASDAQ|2020|02|19|15|30|814600|73.93|72.589996|73.480003|72.599998|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|13|NASDAQ|2020|02|18|15|30|731800|72.459999|71.75|72.449997|71.860001|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|14|NASDAQ|2020|02|14|15|30|904800|72.400002|71.699997|72.010002|72.029999|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|15|NASDAQ|2020|02|13|15|30|965600|73.360001|71.989998|72.129997|73.089996|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
CHRW|16|NASDAQ|2020|02|12|15|30|1240200|73.489998|72.660004|73.32|73|airdeliveryfreightservices|0.8|1.7|1.7|15.79|3.09|15427|usa|0.79|0.65|18.09|Jan 28 AMC|services|95.800003|9040
