empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CHSCM|0|NASDAQ|2020|03|06|15|30|24100|26.6|26.24|26.4|26.27|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|1|NASDAQ|2020|03|05|15|30|15800|26.85|26.469999|26.59|26.49|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|2|NASDAQ|2020|03|04|15|30|40700|26.855|26.49|26.620001|26.49|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|3|NASDAQ|2020|03|03|15|30|36300|27.09|26.190001|26.49|26.66|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|4|NASDAQ|2020|03|02|15|30|36000|26.77|26.15|26.51|26.209999|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|5|NASDAQ|2020|02|28|15|30|122700|26.450001|26.040001|26.040001|26.450001|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|6|NASDAQ|2020|02|27|15|30|41400|26.84|26.5|26.5|26.84|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|7|NASDAQ|2020|02|26|15|30|34900|27.639999|26.535999|26.879999|26.93|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|8|NASDAQ|2020|02|25|15|30|54400|27.799999|26.639999|26.816999|27.530001|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|9|NASDAQ|2020|02|24|15|30|44900|27.886999|27.459999|27.49|27.76|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|10|NASDAQ|2020|02|21|15|30|17200|28.129999|27.700001|27.76|28.040001|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|11|NASDAQ|2020|02|20|15|30|16700|28.190001|27.764999|28.190001|28|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|12|NASDAQ|2020|02|19|15|30|58200|28.129|27.780001|28.01|27.799999|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|13|NASDAQ|2020|02|18|15|30|28100|28.110001|27.77|27.84|27.77|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|14|NASDAQ|2020|02|14|15|30|10000|27.98|27.719999|27.76|27.98|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|15|NASDAQ|2020|02|13|15|30|31000|27.99|27.780001|27.889999|27.780001|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|16|NASDAQ|2020|02|12|15|30|12100|27.9|27.622999|27.85|27.709999|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|17|NASDAQ|2020|02|11|15|30|21800|27.799999|27.525|27.75|27.690001|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
CHSCM|18|NASDAQ|2020|02|10|15|30|14700|27.885|27.41|27.795|27.690001|farmproducts|-|-|-|-|6.4|10703|usa|-|-|-|-|consumergoods|34.810001|-
