empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CPRX|0|NASDAQ|2020|03|06|15|30|2324500|4.17|3.8|3.95|4.07|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
CPRX|1|NASDAQ|2020|03|05|15|30|1578700|4.24|4.09|4.22|4.2|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
CPRX|2|NASDAQ|2020|03|04|15|30|1629000|4.32|4.09|4.31|4.11|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
CPRX|3|NASDAQ|2020|03|03|15|30|2379100|4.46|4|4.01|4.44|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
CPRX|4|NASDAQ|2020|03|02|15|30|1905800|4.4|4.08|4.4|4.23|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
CPRX|5|NASDAQ|2020|02|28|15|30|2387000|4.39|3.99|4.21|3.99|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
CPRX|6|NASDAQ|2020|02|27|15|30|3047800|4.63|4.18|4.18|4.57|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
CPRX|7|NASDAQ|2020|02|26|15|30|2392100|4.81|4.44|4.66|4.5|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
CPRX|8|NASDAQ|2020|02|25|15|30|3017900|5.03|4.51|4.53|5.01|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
CPRX|9|NASDAQ|2020|02|24|15|30|2928900|5.13|4.8|4.91|4.95|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
CPRX|10|NASDAQ|2020|02|21|15|30|2255700|5.27|5|5.21|5.2|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
CPRX|11|NASDAQ|2020|02|20|15|30|1962000|5.28|5.04|5.2|5.15|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
CPRX|12|NASDAQ|2020|02|19|15|30|2235500|5.22|4.97|5.14|5.21|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
CPRX|13|NASDAQ|2020|02|18|15|30|2473300|5.19|4.76|5.13|4.85|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
CPRX|14|NASDAQ|2020|02|14|15|30|1473000|4.93|4.77|4.77|4.89|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
CPRX|15|NASDAQ|2020|02|13|15|30|1598800|4.9|4.61|4.77|4.64|biotechnology|5.2|5|5|47.59|-|51|usa|0|0|41.57|Mar 16 AMC|healthcare|62.799999|404.089996
