empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CSIQ|0|NASDAQ|2020|03|06|15|30|706100|21.360001|19.879999|20.309999|20.889999|semiconductorspecialized|31|1|1.1|5.71|-|12442|canada|1.75|0.4|32.779999|Mar 19 AMC|technology|48.200001|1220
CSIQ|1|NASDAQ|2020|03|05|15|30|504100|21.77|20.799999|21.5|20.950001|semiconductorspecialized|31|1|1.1|5.71|-|12442|canada|1.75|0.4|32.779999|Mar 19 AMC|technology|48.200001|1220
CSIQ|2|NASDAQ|2020|03|04|15|30|438500|21.469999|20.73|21.469999|21.34|semiconductorspecialized|31|1|1.1|5.71|-|12442|canada|1.75|0.4|32.779999|Mar 19 AMC|technology|48.200001|1220
CSIQ|3|NASDAQ|2020|03|03|15|30|708100|22.040001|20.549999|20.91|20.92|semiconductorspecialized|31|1|1.1|5.71|-|12442|canada|1.75|0.4|32.779999|Mar 19 AMC|technology|48.200001|1220
CSIQ|4|NASDAQ|2020|03|02|15|30|687000|20.629999|19.65|20.610001|20.120001|semiconductorspecialized|31|1|1.1|5.71|-|12442|canada|1.75|0.4|32.779999|Mar 19 AMC|technology|48.200001|1220
CSIQ|5|NASDAQ|2020|02|28|15|30|1055900|20.790001|19.370001|20.4|19.5|semiconductorspecialized|31|1|1.1|5.71|-|12442|canada|1.75|0.4|32.779999|Mar 19 AMC|technology|48.200001|1220
CSIQ|6|NASDAQ|2020|02|27|15|30|1630100|21.42|20.059999|20.629999|20.9|semiconductorspecialized|31|1|1.1|5.71|-|12442|canada|1.75|0.4|32.779999|Mar 19 AMC|technology|48.200001|1220
CSIQ|7|NASDAQ|2020|02|26|15|30|605500|22.5|21.6|21.67|21.85|semiconductorspecialized|31|1|1.1|5.71|-|12442|canada|1.75|0.4|32.779999|Mar 19 AMC|technology|48.200001|1220
CSIQ|8|NASDAQ|2020|02|25|15|30|1068300|22.49|21.57|21.85|22.09|semiconductorspecialized|31|1|1.1|5.71|-|12442|canada|1.75|0.4|32.779999|Mar 19 AMC|technology|48.200001|1220
CSIQ|9|NASDAQ|2020|02|24|15|30|1129300|22.200001|20.91|21.799999|21.27|semiconductorspecialized|31|1|1.1|5.71|-|12442|canada|1.75|0.4|32.779999|Mar 19 AMC|technology|48.200001|1220
CSIQ|10|NASDAQ|2020|02|21|15|30|1250400|24.15|22.700001|23.01|24.15|semiconductorspecialized|31|1|1.1|5.71|-|12442|canada|1.75|0.4|32.779999|Mar 19 AMC|technology|48.200001|1220
CSIQ|11|NASDAQ|2020|02|20|15|30|1249900|25.299999|23.950001|24.469999|25.190001|semiconductorspecialized|31|1|1.1|5.71|-|12442|canada|1.75|0.4|32.779999|Mar 19 AMC|technology|48.200001|1220
CSIQ|12|NASDAQ|2020|02|19|15|30|1542500|25.35|23.85|24.639999|23.91|semiconductorspecialized|31|1|1.1|5.71|-|12442|canada|1.75|0.4|32.779999|Mar 19 AMC|technology|48.200001|1220
CSIQ|13|NASDAQ|2020|02|18|15|30|552300|23.84|23.15|23.51|23.26|semiconductorspecialized|31|1|1.1|5.71|-|12442|canada|1.75|0.4|32.779999|Mar 19 AMC|technology|48.200001|1220
