empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CTAC|0|NASDAQ|2020|03|05|22|00|151627|12.1552|11.62|12|11.96|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|1|NASDAQ|2020|03|05|15|30|151331|12.21|11.5|12|11.96|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|2|NASDAQ|2020|03|04|15|30|991149|12.14|11.79|12|11.79|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|3|NASDAQ|2020|03|03|15|30|2116844|11.82|11.02|11.79|11.82|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|4|NASDAQ|2020|03|02|15|30|1716438|11.75|10.75|11.5|11.56|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|5|NASDAQ|2020|02|28|15|30|560800|12|11.45|11.45|12|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|6|NASDAQ|2020|02|27|15|30|942700|12.3|11.84|11.85|12.2|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|7|NASDAQ|2020|02|26|15|30|655900|12.51|12.08|12.25|12.4|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|8|NASDAQ|2020|02|25|15|30|158400|12.44|12.3|12.39|12.35|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|9|NASDAQ|2020|02|24|15|30|74900|12.69|12.4|12.4|12.69|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|10|NASDAQ|2020|02|21|15|30|21500|12.82|12.55|12.69|12.65|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|11|NASDAQ|2020|02|20|15|30|989300|12.92|12.5|12.59|12.5|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|12|NASDAQ|2020|02|19|15|30|68000|12.75|12.52|12.55|12.52|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|13|NASDAQ|2020|02|18|15|30|393600|13.28|12.35|12.64|12.64|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|14|NASDAQ|2020|02|14|15|30|146400|12.85|12.54|12.54|12.7|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|15|NASDAQ|2020|02|13|15|30|91900|12.98|12.8|12.87|12.89|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|16|NASDAQ|2020|02|12|15|30|25000|13.51|12.85|12.91|12.86|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|17|NASDAQ|2020|02|11|15|30|98500|13.03|12.68|12.9|12.95|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|18|NASDAQ|2020|02|10|15|30|684300|13|12.62|12.96|12.72|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|19|NASDAQ|2020|02|07|15|30|654900|12.97|12.57|12.75|12.57|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|20|NASDAQ|2020|02|06|15|30|1368500|12.65|11.58|12.5|11.74|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|21|NASDAQ|2020|02|05|15|30|1079800|11.93|11.25|11.66|11.47|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|22|NASDAQ|2020|02|04|15|30|472500|11.33|11.1|11.23|11.1|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|23|NASDAQ|2020|02|03|15|30|361000|11.26|11.06|11.1|11.06|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|24|NASDAQ|2020|01|31|15|30|65100|11.11|11.06|11.11|11.1|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|25|NASDAQ|2020|01|30|15|30|18800|11.13|11.06|11.12|11.12|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|26|NASDAQ|2020|01|29|15|30|138400|11.26|11.03|11.08|11.16|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|27|NASDAQ|2020|01|28|15|30|84800|11.15|11.04|11.09|11.06|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|28|NASDAQ|2020|01|27|15|30|515300|11.05|10.91|10.95|10.99|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|29|NASDAQ|2020|01|24|15|30|21300|11.1|11.01|11.01|11.05|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|30|NASDAQ|2020|01|23|15|30|111600|11.1|10.95|11.01|11.1|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|31|NASDAQ|2020|01|22|15|30|58300|11.26|11.05|11.05|11.1|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|32|NASDAQ|2020|01|21|15|30|11500|11.2|11.11|11.12|11.11|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|33|NASDAQ|2020|01|17|15|30|7200|11.15|11|11.15|11.01|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|34|NASDAQ|2020|01|16|15|30|249100|11.16|10.87|11.03|11.08|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
CTAC|35|NASDAQ|2020|01|15|15|30|11900|11.17|11|11.03|11.17|conglomerates|2.34|1.7|1.7|126.32|-|2|usa|0|0|-|Mar 11 AMC|conglomerates|18.200001|349.559998
