empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
CTSO|0|NASDAQ|2020|03|06|15|30|1193600|6.4|5.439|6.01|5.7|medicallaboratoriesresearch|2.9|2.2|2.4|-|-|153|usa|2.24|1.78|34.400002|Mar 05 AMC|healthcare|28.299999|194.520004
CTSO|1|NASDAQ|2020|03|05|15|30|544200|5.79|5.37|5.58|5.66|medicallaboratoriesresearch|2.9|2.2|2.4|-|-|153|usa|2.24|1.78|34.400002|Mar 05 AMC|healthcare|28.299999|194.520004
CTSO|2|NASDAQ|2020|03|04|15|30|374000|5.73|5.1|5.68|5.25|medicallaboratoriesresearch|2.9|2.2|2.4|-|-|153|usa|2.24|1.78|34.400002|Mar 05 AMC|healthcare|28.299999|194.520004
CTSO|3|NASDAQ|2020|03|03|15|30|535800|5.83|5.12|5.18|5.7|medicallaboratoriesresearch|2.9|2.2|2.4|-|-|153|usa|2.24|1.78|34.400002|Mar 05 AMC|healthcare|28.299999|194.520004
CTSO|4|NASDAQ|2020|03|02|15|30|793100|6.272|5.56|5.7|6.2|medicallaboratoriesresearch|2.9|2.2|2.4|-|-|153|usa|2.24|1.78|34.400002|Mar 05 AMC|healthcare|28.299999|194.520004
CTSO|5|NASDAQ|2020|02|28|15|30|2447300|7.24|5.4|6.03|5.44|medicallaboratoriesresearch|2.9|2.2|2.4|-|-|153|usa|2.24|1.78|34.400002|Mar 05 AMC|healthcare|28.299999|194.520004
CTSO|6|NASDAQ|2020|02|27|15|30|566800|6.17|5.24|5.25|5.8|medicallaboratoriesresearch|2.9|2.2|2.4|-|-|153|usa|2.24|1.78|34.400002|Mar 05 AMC|healthcare|28.299999|194.520004
CTSO|7|NASDAQ|2020|02|26|15|30|405200|5.894|5.46|5.64|5.64|medicallaboratoriesresearch|2.9|2.2|2.4|-|-|153|usa|2.24|1.78|34.400002|Mar 05 AMC|healthcare|28.299999|194.520004
CTSO|8|NASDAQ|2020|02|25|15|30|478300|6.49|5.62|5.68|6.49|medicallaboratoriesresearch|2.9|2.2|2.4|-|-|153|usa|2.24|1.78|34.400002|Mar 05 AMC|healthcare|28.299999|194.520004
CTSO|9|NASDAQ|2020|02|24|15|30|893800|7.1|6.3|6.48|6.78|medicallaboratoriesresearch|2.9|2.2|2.4|-|-|153|usa|2.24|1.78|34.400002|Mar 05 AMC|healthcare|28.299999|194.520004
CTSO|10|NASDAQ|2020|02|21|15|30|828800|6.7|6.08|6.56|6.23|medicallaboratoriesresearch|2.9|2.2|2.4|-|-|153|usa|2.24|1.78|34.400002|Mar 05 AMC|healthcare|28.299999|194.520004
