empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
DDOG|0|NASDAQ|2020|03|06|15|30|3983700|46.439999|43.080002|43.619999|46.009998|applicationsoftware|0.7|4.5|4.5|-|-|1212|usa|0|0|80|Feb 13 AMC|technology|83.699997|13170
DDOG|1|NASDAQ|2020|03|05|15|30|5074300|48.119999|43.310001|47.299999|43.310001|applicationsoftware|0.7|4.5|4.5|-|-|1212|usa|0|0|80|Feb 13 AMC|technology|83.699997|13170
DDOG|2|NASDAQ|2020|03|04|15|30|2239900|44.900002|43.130001|44.525002|44.330002|applicationsoftware|0.7|4.5|4.5|-|-|1212|usa|0|0|80|Feb 13 AMC|technology|83.699997|13170
DDOG|3|NASDAQ|2020|03|03|15|30|4483700|44.860001|42.360001|43.400002|44.799999|applicationsoftware|0.7|4.5|4.5|-|-|1212|usa|0|0|80|Feb 13 AMC|technology|83.699997|13170
DDOG|4|NASDAQ|2020|03|02|15|30|5880800|45.779999|43.610001|44.790001|45|applicationsoftware|0.7|4.5|4.5|-|-|1212|usa|0|0|80|Feb 13 AMC|technology|83.699997|13170
DDOG|5|NASDAQ|2020|02|28|15|30|4483200|45.84|43.5|45.150002|43.799999|applicationsoftware|0.7|4.5|4.5|-|-|1212|usa|0|0|80|Feb 13 AMC|technology|83.699997|13170
DDOG|6|NASDAQ|2020|02|27|15|30|7190100|46.580002|41.720001|45.889999|42.119999|applicationsoftware|0.7|4.5|4.5|-|-|1212|usa|0|0|80|Feb 13 AMC|technology|83.699997|13170
DDOG|7|NASDAQ|2020|02|26|15|30|2817400|45.389999|43.5|43.91|44.060001|applicationsoftware|0.7|4.5|4.5|-|-|1212|usa|0|0|80|Feb 13 AMC|technology|83.699997|13170
DDOG|8|NASDAQ|2020|02|25|15|30|4406100|45.602001|43|44.310001|45.400002|applicationsoftware|0.7|4.5|4.5|-|-|1212|usa|0|0|80|Feb 13 AMC|technology|83.699997|13170
DDOG|9|NASDAQ|2020|02|24|15|30|3187400|45.349998|42.330002|44.959999|43|applicationsoftware|0.7|4.5|4.5|-|-|1212|usa|0|0|80|Feb 13 AMC|technology|83.699997|13170
