empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
DINT|0|NASDAQ|2020|03|06|15|30|17300|17.565001|17.25|17.405001|17.559999|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|1|NASDAQ|2020|03|05|15|30|46900|18.105|17.889999|17.91|18.030001|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|2|NASDAQ|2020|03|04|15|30|23800|18.24|18.02|18.205|18.17|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|3|NASDAQ|2020|03|03|15|30|15800|18.4|17.785|17.943001|18.280001|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|4|NASDAQ|2020|03|02|15|30|17300|18.17|17.716999|18.142|17.950001|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|5|NASDAQ|2020|02|28|15|30|32000|17.83|17.43|17.65|17.6|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|6|NASDAQ|2020|02|27|15|30|29800|18.403999|18|18.1|18.15|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|7|NASDAQ|2020|02|26|15|30|8100|18.719999|18.398001|18.398001|18.719999|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|8|NASDAQ|2020|02|25|15|30|22100|18.756001|18.290001|18.329|18.735001|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|9|NASDAQ|2020|02|24|15|30|14100|18.674999|18.49|18.605|18.49|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|10|NASDAQ|2020|02|21|15|30|19900|19.4|19.209999|19.24|19.379999|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|11|NASDAQ|2020|02|20|15|30|7500|19.620001|19.375999|19.42|19.620001|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|12|NASDAQ|2020|02|19|15|30|4600|19.58|19.51|19.535|19.51|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|13|NASDAQ|2020|02|18|15|30|12500|19.48|19.330999|19.4|19.48|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|14|NASDAQ|2020|02|14|15|30|4100|19.615|19.5|19.538|19.59|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|15|NASDAQ|2020|02|13|15|30|5700|19.665001|19.5|19.59|19.52|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|16|NASDAQ|2020|02|12|15|30|44800|19.74|19.605|19.695|19.639999|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|17|NASDAQ|2020|02|11|15|30|170700|19.521|19.372|19.381001|19.492001|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|18|NASDAQ|2020|02|10|15|30|17900|19.209999|19.09|19.15|19.209999|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|19|NASDAQ|2020|02|07|15|30|10700|19.264999|19.15|19.159|19.25|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|20|NASDAQ|2020|02|06|15|30|31300|19.379999|19.32|19.33|19.32|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|21|NASDAQ|2020|02|05|15|30|107000|19.42|19.17|19.225|19.42|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|22|NASDAQ|2020|02|04|15|30|26800|19.236|19.120001|19.190001|19.120001|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|23|NASDAQ|2020|02|03|15|30|292400|18.780001|18.629999|18.735001|18.67|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|24|NASDAQ|2020|01|31|15|30|80800|18.67|18.41|18.450001|18.639999|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
DINT|25|NASDAQ|2020|01|30|15|30|10000|18.764999|18.610001|18.745001|18.75|exchangetradedfund|-|-|-|-|2.7|-|usa|-|-|-|-|financial|-|-
