empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
EBIZ|0|NASDAQ|2020|03|06|15|30|2900|17.610001|17.24|17.48|17.33|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
EBIZ|1|NASDAQ|2020|03|05|15|30|6800|18.139999|17.84|17.947001|17.889999|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
EBIZ|2|NASDAQ|2020|03|04|15|30|3300|18.200001|17.84|18.146999|18|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
EBIZ|3|NASDAQ|2020|03|03|15|30|5600|18.01|17.370001|17.471001|17.848|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
EBIZ|4|NASDAQ|2020|03|02|15|30|21100|17.83|17.254999|17.798|17.65|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
EBIZ|5|NASDAQ|2020|02|28|15|30|20400|17.5|16.700001|17.219999|16.9|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
EBIZ|6|NASDAQ|2020|02|27|15|30|6100|18.030001|17.299999|17.398001|17.620001|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
EBIZ|7|NASDAQ|2020|02|26|15|30|29000|18.4|17.959999|18.030001|18.25|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
EBIZ|8|NASDAQ|2020|02|25|15|30|1900|18.74|18.110001|18.110001|18.74|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
EBIZ|9|NASDAQ|2020|02|24|15|30|7600|18.719999|18.450001|18.615|18.57|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
EBIZ|10|NASDAQ|2020|02|21|15|30|2600|19.66|19.4|19.41|19.610001|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
EBIZ|11|NASDAQ|2020|02|20|15|30|2400|19.665001|19.563|19.665001|19.563|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
EBIZ|12|NASDAQ|2020|02|19|15|30|3400|19.68|19.610001|19.610001|19.67|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
EBIZ|13|NASDAQ|2020|02|18|15|30|18900|19.610001|19.559999|19.58|19.6|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
EBIZ|14|NASDAQ|2020|02|14|15|30|2500|19.700001|19.538|19.629999|19.700001|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
EBIZ|15|NASDAQ|2020|02|13|15|30|2200|19.610001|19.5|19.5|19.549999|exchangetradedfund|-|-|-|-|0.17|-|usa|-|-|-|-|financial|-|-
