empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
EBMT|0|NASDAQ|2020|03|06|15|30|7900|18.440001|18.030001|18.16|18.17|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|1|NASDAQ|2020|03|05|15|30|4900|18.870001|18.49|18.49|18.83|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|2|NASDAQ|2020|03|04|15|30|6500|19.219999|18.950001|19.190001|19.049999|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|3|NASDAQ|2020|03|03|15|30|6400|19.139999|18.76|19.139999|19.08|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|4|NASDAQ|2020|03|02|15|30|22500|19.790001|18.280001|19.200001|19.200001|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|5|NASDAQ|2020|02|28|15|30|12700|19.93|19.1|19.389999|19.280001|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|6|NASDAQ|2020|02|27|15|30|87000|20.35|19.42|19.450001|20.35|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|7|NASDAQ|2020|02|26|15|30|63900|20.75|20.450001|20.530001|20.66|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|8|NASDAQ|2020|02|25|15|30|102900|20.870001|20.450001|20.84|20.870001|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|9|NASDAQ|2020|02|24|15|30|15200|21.030001|20.4|20.870001|20.85|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|10|NASDAQ|2020|02|21|15|30|5600|21.129999|20.6|21.07|20.99|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|11|NASDAQ|2020|02|20|15|30|18400|21.25|20.639999|21.129999|20.950001|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|12|NASDAQ|2020|02|19|15|30|10000|20.85|20.5|20.809999|20.76|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|13|NASDAQ|2020|02|18|15|30|10400|21.17|20.93|20.93|21.059999|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|14|NASDAQ|2020|02|14|15|30|5800|21.280001|20.83|21.049999|21.200001|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|15|NASDAQ|2020|02|13|15|30|20500|21.26|20.879999|21.1|21.18|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|16|NASDAQ|2020|02|12|15|30|5500|21.309999|20.76|21.190001|21.299999|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|17|NASDAQ|2020|02|11|15|30|4600|21.33|20.59|21.33|20.59|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|18|NASDAQ|2020|02|10|15|30|5700|21.34|20.780001|21.32|21.200001|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|19|NASDAQ|2020|02|07|15|30|6800|21.370001|20.809999|21.290001|21.370001|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
EBMT|20|NASDAQ|2020|02|06|15|30|10900|21.450001|21.200001|21.440001|21.41|regionalpacificbanks|5.3|-|-|10.71|2.09|235|usa|0.21|0.21|8.22|Jan 28|financial|51.299999|116.949997
