empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
ELSE|0|NASDAQ|2020|03|06|15|30|2200|3.64|3.6|3.62|3.63|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|1|NASDAQ|2020|03|05|15|30|0|3.66|3.66|3.66|3.66|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|2|NASDAQ|2020|03|04|15|30|1100|3.66|3.66|3.66|3.66|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|3|NASDAQ|2020|03|03|15|30|0|3.68|3.68|3.68|3.68|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|4|NASDAQ|2020|03|02|15|30|1900|3.72|3.68|3.68|3.72|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|5|NASDAQ|2020|02|28|15|30|3300|3.67|3.63|3.66|3.64|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|6|NASDAQ|2020|02|27|15|30|0|3.64|3.64|3.64|3.64|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|7|NASDAQ|2020|02|26|15|30|600|3.64|3.64|3.64|3.64|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|8|NASDAQ|2020|02|25|15|30|0|3.7|3.7|3.7|3.7|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|9|NASDAQ|2020|02|24|15|30|0|3.7|3.7|3.7|3.7|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|10|NASDAQ|2020|02|21|15|30|3700|3.7|3.69|3.7|3.69|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|11|NASDAQ|2020|02|20|15|30|400|3.69|3.69|3.69|3.69|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|12|NASDAQ|2020|02|19|15|30|0|3.69|3.69|3.69|3.69|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|13|NASDAQ|2020|02|18|15|30|0|3.69|3.69|3.69|3.69|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|14|NASDAQ|2020|02|14|15|30|0|3.69|3.69|3.69|3.69|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|15|NASDAQ|2020|02|13|15|30|300|3.69|3.69|3.69|3.69|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|16|NASDAQ|2020|02|12|15|30|300|3.73|3.73|3.73|3.73|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|17|NASDAQ|2020|02|11|15|30|600|3.73|3.64|3.73|3.68|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|18|NASDAQ|2020|02|10|15|30|6400|3.7|3.7|3.7|3.7|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|19|NASDAQ|2020|02|07|15|30|1200|3.68|3.68|3.68|3.68|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|20|NASDAQ|2020|02|06|15|30|200|3.69|3.69|3.69|3.69|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|21|NASDAQ|2020|02|05|15|30|0|3.64|3.64|3.64|3.64|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|22|NASDAQ|2020|02|04|15|30|0|3.64|3.64|3.64|3.64|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|23|NASDAQ|2020|02|03|15|30|2500|3.69|3.64|3.64|3.69|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|24|NASDAQ|2020|01|31|15|30|0|3.72|3.72|3.72|3.72|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|25|NASDAQ|2020|01|30|15|30|0|3.72|3.72|3.72|3.72|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|26|NASDAQ|2020|01|29|15|30|200|3.72|3.72|3.72|3.72|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|27|NASDAQ|2020|01|28|15|30|600|3.72|3.65|3.72|3.65|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|28|NASDAQ|2020|01|27|15|30|800|3.63|3.58|3.63|3.58|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|29|NASDAQ|2020|01|24|15|30|300|3.73|3.73|3.73|3.73|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|30|NASDAQ|2020|01|23|15|30|0|3.63|3.63|3.63|3.63|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|31|NASDAQ|2020|01|22|15|30|800|3.63|3.6|3.63|3.6|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|32|NASDAQ|2020|01|21|15|30|0|3.62|3.62|3.62|3.62|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|33|NASDAQ|2020|01|17|15|30|100|3.62|3.62|3.62|3.62|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
ELSE|34|NASDAQ|2020|01|16|15|30|2100|3.7|3.64|3.68|3.7|scientifictechnicalinstruments|34.169998|13.6|15.9|88.290001|-|31|usa|0|0|-|Mar 19 BMO|technology|5.9|12.27
