empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FANH|0|NASDAQ|2020|03|06|15|30|359300|20.65|18.610001|19.49|20.1|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|1|NASDAQ|2020|03|05|15|30|745200|21.540001|19.98|20.52|20.360001|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|2|NASDAQ|2020|03|04|15|30|248600|21.139999|20.48|20.59|20.889999|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|3|NASDAQ|2020|03|03|15|30|1060700|21.639999|20.34|20.709999|21.27|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|4|NASDAQ|2020|03|02|15|30|221600|21.389999|20.43|21.35|20.43|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|5|NASDAQ|2020|02|28|15|30|202900|20.690001|20.16|20.299999|20.290001|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|6|NASDAQ|2020|02|27|15|30|162500|20.940001|20.290001|20.690001|20.42|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|7|NASDAQ|2020|02|26|15|30|105900|21.309999|20.620001|20.639999|20.91|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|8|NASDAQ|2020|02|25|15|30|707100|21.17|20.190001|20.809999|20.99|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|9|NASDAQ|2020|02|24|15|30|574200|21.309999|20.42|20.99|21.01|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|10|NASDAQ|2020|02|21|15|30|699200|22.15|20.889999|21.74|21.91|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|11|NASDAQ|2020|02|20|15|30|104400|22.25|21.879999|22.049999|22.059999|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|12|NASDAQ|2020|02|19|15|30|171600|22.450001|21.879999|22.09|22.34|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|13|NASDAQ|2020|02|18|15|30|83100|22.84|22.209999|22.24|22.59|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|14|NASDAQ|2020|02|14|15|30|131600|22.940001|22.540001|22.59|22.709999|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|15|NASDAQ|2020|02|13|15|30|114200|22.889999|22.540001|22.620001|22.74|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|16|NASDAQ|2020|02|12|15|30|212800|22.950001|22.530001|22.77|22.690001|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|17|NASDAQ|2020|02|11|15|30|137000|22.85|22.43|22.57|22.440001|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|18|NASDAQ|2020|02|10|15|30|173400|22.49|22.120001|22.299999|22.120001|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
FANH|19|NASDAQ|2020|02|07|15|30|237500|22.82|22.059999|22.09|22.76|insurancebrokers|0.2|2.9|2.9|14.13|6.16|3863|china|0|0|17.379999|Mar 18 AMC|financial|28.4|1370
