empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FGBI|0|NASDAQ|2020|03|06|15|30|5300|17.030001|16.75|16.75|17.030001|regionalsoutheastbanks|17.9|-|-|11.4|3.82|336|usa|0.2|0.2|18.5|Mar 13 BMO|financial|12.5|166.660004
FGBI|1|NASDAQ|2020|03|05|15|30|10800|17.1|16.700001|17.040001|16.99|regionalsoutheastbanks|17.9|-|-|11.4|3.82|336|usa|0.2|0.2|18.5|Mar 13 BMO|financial|12.5|166.660004
FGBI|2|NASDAQ|2020|03|04|15|30|5100|17.299999|17.049999|17.25|17.299999|regionalsoutheastbanks|17.9|-|-|11.4|3.82|336|usa|0.2|0.2|18.5|Mar 13 BMO|financial|12.5|166.660004
FGBI|3|NASDAQ|2020|03|03|15|30|11900|19.6|16.799999|16.860001|16.85|regionalsoutheastbanks|17.9|-|-|11.4|3.82|336|usa|0.2|0.2|18.5|Mar 13 BMO|financial|12.5|166.660004
FGBI|4|NASDAQ|2020|03|02|15|30|7800|17.200001|15.8|17.200001|15.8|regionalsoutheastbanks|17.9|-|-|11.4|3.82|336|usa|0.2|0.2|18.5|Mar 13 BMO|financial|12.5|166.660004
FGBI|5|NASDAQ|2020|02|28|15|30|8300|17.5|15.16|17.08|17.440001|regionalsoutheastbanks|17.9|-|-|11.4|3.82|336|usa|0.2|0.2|18.5|Mar 13 BMO|financial|12.5|166.660004
FGBI|6|NASDAQ|2020|02|27|15|30|4500|17.816|17.440001|17.440001|17.816|regionalsoutheastbanks|17.9|-|-|11.4|3.82|336|usa|0.2|0.2|18.5|Mar 13 BMO|financial|12.5|166.660004
FGBI|7|NASDAQ|2020|02|26|15|30|1300|18.6|18.25|18.25|18.6|regionalsoutheastbanks|17.9|-|-|11.4|3.82|336|usa|0.2|0.2|18.5|Mar 13 BMO|financial|12.5|166.660004
FGBI|8|NASDAQ|2020|02|25|15|30|4200|18.395|17.75|18.18|18.348101|regionalsoutheastbanks|17.9|-|-|11.4|3.82|336|usa|0.2|0.2|18.5|Mar 13 BMO|financial|12.5|166.660004
FGBI|9|NASDAQ|2020|02|24|15|30|4700|19.1|18.320101|18.4|19.1|regionalsoutheastbanks|17.9|-|-|11.4|3.82|336|usa|0.2|0.2|18.5|Mar 13 BMO|financial|12.5|166.660004
