empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FJP|0|NASDAQ|2020|03|06|15|30|6500|43.560001|43.209999|43.52|43.360001|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|1|NASDAQ|2020|03|05|15|30|14600|44.25|43.869999|44.029999|43.939999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|2|NASDAQ|2020|03|04|15|30|3800|45.049999|44.389999|45.049999|44.669998|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|3|NASDAQ|2020|03|03|15|30|4900|44.830002|43.91|44.130001|44.529999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|4|NASDAQ|2020|03|02|15|30|16500|44.630001|43.650002|44.619999|44.009998|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|5|NASDAQ|2020|02|28|15|30|102300|43.869999|42.91|43.869999|43.209999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|6|NASDAQ|2020|02|27|15|30|16800|44.759998|43.740002|43.880001|44.43|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|7|NASDAQ|2020|02|26|15|30|3800|45.82|45.48|45.509998|45.599998|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|8|NASDAQ|2020|02|25|15|30|51900|45.759998|44.98|45.110001|45.759998|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|9|NASDAQ|2020|02|24|15|30|8500|45.66|45.139999|45.369999|45.139999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|10|NASDAQ|2020|02|21|15|30|2100|47|46.830002|46.919998|47|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|11|NASDAQ|2020|02|20|15|30|7900|47.389999|47.09|47.240002|47.200001|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|12|NASDAQ|2020|02|19|15|30|2300|47.98|47.759998|47.759998|47.900002|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|13|NASDAQ|2020|02|18|15|30|4300|48.09|47.889999|48|48|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|14|NASDAQ|2020|02|14|15|30|1600|48.93|48.779999|48.779999|48.93|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|15|NASDAQ|2020|02|13|15|30|3300|49.330002|49.130001|49.25|49.279999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|16|NASDAQ|2020|02|12|15|30|13900|49.82|49.599998|49.75|49.75|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|17|NASDAQ|2020|02|11|15|30|3900|50.25|50|50|50.209999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|18|NASDAQ|2020|02|10|15|30|17100|49.939999|49.84|49.939999|49.93|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|19|NASDAQ|2020|02|07|15|30|1800|50.150002|49.959999|49.959999|50.150002|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|20|NASDAQ|2020|02|06|15|30|2000|50.619999|50.32|50.619999|50.549999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|21|NASDAQ|2020|02|05|15|30|37100|50.470001|50.189999|50.299999|50.25|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|22|NASDAQ|2020|02|04|15|30|6700|49.82|49.720001|49.740002|49.759998|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|23|NASDAQ|2020|02|03|15|30|4800|49.09|48.900002|48.91|48.900002|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|24|NASDAQ|2020|01|31|15|30|8000|48.799999|48.330002|48.509998|48.799999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|25|NASDAQ|2020|01|30|15|30|43500|49.43|48.91|49.43|48.990002|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|26|NASDAQ|2020|01|29|15|30|7200|49.849998|49.490002|49.490002|49.720001|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|27|NASDAQ|2020|01|28|15|30|6300|49.830002|49.549999|49.77|49.549999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|28|NASDAQ|2020|01|27|15|30|6700|49.720001|49.330002|49.5|49.330002|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|29|NASDAQ|2020|01|24|15|30|5400|50.630001|50.259998|50.400002|50.630001|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|30|NASDAQ|2020|01|23|15|30|3100|50.869999|50.630001|50.77|50.66|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|31|NASDAQ|2020|01|22|15|30|10500|50.869999|50.639999|50.709999|50.830002|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|32|NASDAQ|2020|01|21|15|30|2300|50.700001|50.529999|50.59|50.700001|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|33|NASDAQ|2020|01|17|15|30|7600|50.810001|50.509998|50.720001|50.580002|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|34|NASDAQ|2020|01|16|15|30|1800|50.830002|50.630001|50.799999|50.630001|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|35|NASDAQ|2020|01|15|15|30|4500|50.810001|50.650002|50.75|50.73|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|36|NASDAQ|2020|01|14|15|30|9700|50.900002|50.68|50.869999|50.75|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|37|NASDAQ|2020|01|13|15|30|4100|51.110001|50.650002|50.990002|50.740002|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|38|NASDAQ|2020|01|10|15|30|11600|51.040001|50.650002|50.740002|51|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|39|NASDAQ|2020|01|09|15|30|6700|51.27|51.060001|51.240002|51.080002|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|40|NASDAQ|2020|01|08|15|30|8900|51.110001|50.849998|50.98|50.869999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|41|NASDAQ|2020|01|07|15|30|37400|51.110001|50.790001|50.84|51.049999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|42|NASDAQ|2020|01|06|15|30|17800|50.880001|50.720001|50.810001|50.779999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|43|NASDAQ|2020|01|03|15|30|29100|50.91|50.41|50.599998|50.5|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|44|NASDAQ|2020|01|02|15|30|79300|51.279999|50.970001|51.07|51.139999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|45|NASDAQ|2019|12|31|15|30|2900|50.52|50.27|50.360001|50.439999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|46|NASDAQ|2019|12|30|15|30|35100|50.93|50.299999|50.310001|50.93|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|47|NASDAQ|2019|12|27|15|30|5200|51.18|50.869999|51.02|51.049999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|48|NASDAQ|2019|12|26|15|30|4400|51.150002|51.009998|51.110001|51.130001|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|49|NASDAQ|2019|12|24|15|30|1800|51.099998|50.91|51.07|50.98|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|50|NASDAQ|2019|12|23|15|30|7100|51.209999|51|51.080002|51.07|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|51|NASDAQ|2019|12|20|15|30|3300|51.240002|51.16|51.23|51.209999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|52|NASDAQ|2019|12|19|15|30|4500|51.23|51.150002|51.189999|51.189999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|53|NASDAQ|2019|12|18|15|30|4600|51.119999|50.939999|51.080002|51.02|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|54|NASDAQ|2019|12|17|15|30|1700|51.389999|51.290001|51.389999|51.360001|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|55|NASDAQ|2019|12|16|15|30|8800|51.529999|51.34|51.360001|51.349998|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|56|NASDAQ|2019|12|13|15|30|4300|51.310001|51.060001|51.18|51.119999|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|57|NASDAQ|2019|12|12|15|30|9700|51.990002|51.700001|51.939999|51.880001|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
FJP|58|NASDAQ|2019|12|11|15|30|3100|51.950001|51.669998|51.950001|51.669998|exchangetradedfund|-|-|-|-|2.94|-|usa|-|-|-|-|financial|-|-
