empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FLIC|0|NASDAQ|2020|03|06|15|30|88700|19.780001|18.889999|19.379999|19.4|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|1|NASDAQ|2020|03|05|15|30|59700|20.82|19.76|20.1|20.709999|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|2|NASDAQ|2020|03|04|15|30|54100|21.190001|20.530001|21.129999|21.17|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|3|NASDAQ|2020|03|03|15|30|118000|21.84|20.93|21.049999|21.43|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|4|NASDAQ|2020|03|02|15|30|89200|21.51|20.629999|21.51|20.629999|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|5|NASDAQ|2020|02|28|15|30|139000|20.959999|20.25|20.709999|20.42|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|6|NASDAQ|2020|02|27|15|30|78600|22.459999|21.209999|21.209999|21.959999|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|7|NASDAQ|2020|02|26|15|30|54800|22.66|22.16|22.209999|22.309999|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|8|NASDAQ|2020|02|25|15|30|53600|22.77|22.18|22.219999|22.73|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|9|NASDAQ|2020|02|24|15|30|56400|22.879999|22.24|22.76|22.450001|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|10|NASDAQ|2020|02|21|15|30|56900|23.040001|22.82|22.9|23|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|11|NASDAQ|2020|02|20|15|30|72200|23.219999|22.959999|23|23.15|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|12|NASDAQ|2020|02|19|15|30|50100|23.280001|23.120001|23.129999|23.27|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|13|NASDAQ|2020|02|18|15|30|40800|23.42|23.09|23.17|23.290001|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|14|NASDAQ|2020|02|14|15|30|46900|23.41|23.139999|23.27|23.32|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|15|NASDAQ|2020|02|13|15|30|56600|23.459999|22.91|23.370001|23.059999|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|16|NASDAQ|2020|02|12|15|30|45600|23.41|23.18|23.23|23.41|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|17|NASDAQ|2020|02|11|15|30|81400|23.440001|22.99|23.23|23|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|18|NASDAQ|2020|02|10|15|30|44800|23.040001|22.82|23.030001|22.940001|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|19|NASDAQ|2020|02|07|15|30|41300|23.27|22.809999|22.98|23.27|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|20|NASDAQ|2020|02|06|15|30|59100|23.67|23.139999|23.24|23.67|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|21|NASDAQ|2020|02|05|15|30|50900|23.76|23.4|23.58|23.75|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|22|NASDAQ|2020|02|04|15|30|87700|23.469999|22.620001|23.379999|22.85|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|23|NASDAQ|2020|02|03|15|30|89600|23.549999|22.27|22.540001|22.27|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|24|NASDAQ|2020|01|31|15|30|79200|23.059999|21.98|22.059999|22.889999|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|25|NASDAQ|2020|01|30|15|30|51900|23.870001|22.469999|23.1|22.559999|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|26|NASDAQ|2020|01|29|15|30|61100|23.200001|22.629999|22.709999|23.18|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|27|NASDAQ|2020|01|28|15|30|20200|23.299999|23.02|23.129999|23.290001|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|28|NASDAQ|2020|01|27|15|30|24700|23.459999|23.17|23.27|23.17|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|29|NASDAQ|2020|01|24|15|30|31300|23.690001|23.360001|23.440001|23.629999|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|30|NASDAQ|2020|01|23|15|30|50700|23.74|23.309999|23.700001|23.540001|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|31|NASDAQ|2020|01|22|15|30|25200|23.75|23.65|23.719999|23.75|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|32|NASDAQ|2020|01|21|15|30|33700|24.01|23.68|23.75|23.84|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|33|NASDAQ|2020|01|17|15|30|38200|24.23|23.809999|23.879999|24.23|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|34|NASDAQ|2020|01|16|15|30|87300|24.139999|23.93|24.030001|23.98|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|35|NASDAQ|2020|01|15|15|30|27800|23.969999|23.629999|23.83|23.690001|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|36|NASDAQ|2020|01|14|15|30|24500|24.120001|23.809999|23.85|23.969999|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|37|NASDAQ|2020|01|13|15|30|28700|23.969999|23.610001|23.959999|23.73|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|38|NASDAQ|2020|01|10|15|30|31500|23.93|23.559999|23.65|23.809999|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|39|NASDAQ|2020|01|09|15|30|19500|24.1|23.84|23.889999|24.01|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|40|NASDAQ|2020|01|08|15|30|24500|24.139999|23.860001|24.040001|23.860001|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|41|NASDAQ|2020|01|07|15|30|25600|24.27|23.65|23.780001|24.129999|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|42|NASDAQ|2020|01|06|15|30|61200|24.4|23.889999|24.309999|24.370001|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|43|NASDAQ|2020|01|03|15|30|44400|24.82|24.389999|24.700001|24.57|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|44|NASDAQ|2020|01|02|15|30|51500|25.280001|24.6|24.809999|25.280001|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|45|NASDAQ|2019|12|31|15|30|39300|25.530001|24.879999|25.08|25.530001|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|46|NASDAQ|2019|12|30|15|30|22700|25.17|24.9|25.08|24.98|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|47|NASDAQ|2019|12|27|15|30|33500|25.02|24.889999|24.940001|24.99|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
FLIC|48|NASDAQ|2019|12|26|15|30|30400|25.41|25.120001|25.15|25.33|regionalnortheastbanks|4.6|-|-|11.58|3.72|344|usa|0.93|0.93|1.45|Jan 29|financial|55.700001|480.23999
