empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FMCI|0|NASDAQ|2020|03|06|15|30|8300|10.35|10.34|10.34|10.35|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|1|NASDAQ|2020|03|05|15|30|18700|10.4|10.3|10.35|10.34|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|2|NASDAQ|2020|03|04|15|30|3700|10.55|10.37|10.4|10.49|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|3|NASDAQ|2020|03|03|15|30|1900|10.44|10.4|10.4|10.4|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|4|NASDAQ|2020|03|02|15|30|5900|10.4|10.38|10.4|10.4|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|5|NASDAQ|2020|02|28|15|30|7500|10.4|10.39|10.4|10.39|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|6|NASDAQ|2020|02|27|15|30|250300|10.35|10.35|10.35|10.35|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|7|NASDAQ|2020|02|26|15|30|351400|10.36|10.35|10.35|10.35|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|8|NASDAQ|2020|02|25|15|30|152300|10.4|10.35|10.35|10.35|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|9|NASDAQ|2020|02|24|15|30|1100|10.4|10.38|10.4|10.38|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|10|NASDAQ|2020|02|21|15|30|602400|10.37|10.3|10.35|10.34|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|11|NASDAQ|2020|02|20|15|30|1325700|10.35|10.33|10.35|10.34|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|12|NASDAQ|2020|02|19|15|30|0|10.35|10.35|10.35|10.35|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|13|NASDAQ|2020|02|18|15|30|23300|10.38|10.3|10.35|10.3|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|14|NASDAQ|2020|02|14|15|30|606400|10.35|10.33|10.33|10.34|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|15|NASDAQ|2020|02|13|15|30|9300|10.35|10.35|10.35|10.35|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|16|NASDAQ|2020|02|12|15|30|300|10.4|10.37|10.4|10.37|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|17|NASDAQ|2020|02|11|15|30|101300|10.37|10.33|10.36|10.33|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|18|NASDAQ|2020|02|10|15|30|2700|10.35|10.33|10.33|10.35|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|19|NASDAQ|2020|02|07|15|30|800|10.34|10.34|10.34|10.34|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|20|NASDAQ|2020|02|06|15|30|26000|10.4|10.32|10.32|10.34|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|21|NASDAQ|2020|02|05|15|30|101900|10.33|10.32|10.33|10.32|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|22|NASDAQ|2020|02|04|15|30|13700|10.33|10.32|10.33|10.32|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|23|NASDAQ|2020|02|03|15|30|558600|10.35|10.3|10.33|10.34|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|24|NASDAQ|2020|01|31|15|30|400|10.34|10.34|10.34|10.34|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|25|NASDAQ|2020|01|30|15|30|17000|10.35|10.34|10.34|10.35|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|26|NASDAQ|2020|01|29|15|30|190300|10.36|10.34|10.34|10.34|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|27|NASDAQ|2020|01|28|15|30|2500|10.3|10.28|10.28|10.28|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|28|NASDAQ|2020|01|27|15|30|101000|10.31|10.3|10.3|10.3|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|29|NASDAQ|2020|01|24|15|30|2000|10.31|10.31|10.31|10.31|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|30|NASDAQ|2020|01|23|15|30|4000|10.32|10.14|10.32|10.14|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|31|NASDAQ|2020|01|22|15|30|460300|10.35|10.3|10.3|10.3|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|32|NASDAQ|2020|01|21|15|30|465500|10.31|10.3|10.31|10.31|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|33|NASDAQ|2020|01|17|15|30|2143500|10.4|10.3|10.3|10.39|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|34|NASDAQ|2020|01|16|15|30|1101400|10.31|10.27|10.3|10.28|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|35|NASDAQ|2020|01|15|15|30|20300|10.25|10.24|10.24|10.24|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|36|NASDAQ|2020|01|14|15|30|300|10.24|10.24|10.24|10.24|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|37|NASDAQ|2020|01|13|15|30|0|10.24|10.24|10.24|10.24|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|38|NASDAQ|2020|01|10|15|30|0|10.24|10.24|10.24|10.24|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|39|NASDAQ|2020|01|09|15|30|0|10.24|10.24|10.24|10.24|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|40|NASDAQ|2020|01|08|15|30|0|10.24|10.24|10.24|10.24|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|41|NASDAQ|2020|01|07|15|30|100000|10.24|10.24|10.24|10.24|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|42|NASDAQ|2020|01|06|15|30|127000|10.25|10.24|10.25|10.24|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|43|NASDAQ|2020|01|03|15|30|0|10.21|10.21|10.21|10.21|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|44|NASDAQ|2020|01|02|15|30|0|10.21|10.21|10.21|10.21|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|45|NASDAQ|2019|12|31|15|30|25700|10.28|10.2|10.21|10.23|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|46|NASDAQ|2019|12|30|15|30|0|10.23|10.23|10.23|10.23|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|47|NASDAQ|2019|12|27|15|30|1700|10.23|10.19|10.23|10.19|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|48|NASDAQ|2019|12|26|15|30|0|10.23|10.23|10.23|10.23|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|49|NASDAQ|2019|12|24|15|30|0|10.23|10.23|10.23|10.23|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|50|NASDAQ|2019|12|23|15|30|0|10.23|10.23|10.23|10.23|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|51|NASDAQ|2019|12|20|15|30|0|10.23|10.23|10.23|10.23|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|52|NASDAQ|2019|12|19|15|30|0|10.23|10.23|10.23|10.23|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|53|NASDAQ|2019|12|18|15|30|0|10.23|10.23|10.23|10.23|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|54|NASDAQ|2019|12|17|15|30|0|10.23|10.23|10.23|10.23|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|55|NASDAQ|2019|12|16|15|30|143100|10.23|10.22|10.23|10.22|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|56|NASDAQ|2019|12|13|15|30|800|10.22|10.21|10.22|10.21|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|57|NASDAQ|2019|12|12|15|30|275000|10.23|10.23|10.23|10.23|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|58|NASDAQ|2019|12|11|15|30|9000|10.24|10.2|10.23|10.2|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|59|NASDAQ|2019|12|10|15|30|0|10.23|10.23|10.23|10.23|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|60|NASDAQ|2019|12|09|15|30|500|10.23|10.23|10.23|10.23|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|61|NASDAQ|2019|12|06|15|30|64000|10.25|10.2|10.23|10.2|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
FMCI|62|NASDAQ|2019|12|05|15|30|0|10.23|10.23|10.23|10.23|conglomerates|-|-|-|-|-|-|usa|-|-|-|-|conglomerates|38.720001|213.529999
