empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FNK|0|NASDAQ|2020|03|06|15|30|13200|29.26|28.33|28.860001|29.200001|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|1|NASDAQ|2020|03|05|15|30|3800|30.02|29.33|29.379999|30.02|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|2|NASDAQ|2020|03|04|15|30|42100|30.85|30.09|30.85|30.09|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|3|NASDAQ|2020|03|03|15|30|13200|31.370001|29.879999|30.01|31.25|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|4|NASDAQ|2020|03|02|15|30|5400|30.91|30.139999|30.91|30.26|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|5|NASDAQ|2020|02|28|15|30|15100|30.34|29.5|30.09|29.59|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|6|NASDAQ|2020|02|27|15|30|10700|31.57|30.57|30.57|30.92|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|7|NASDAQ|2020|02|26|15|30|19700|32.639999|31.66|31.719999|32.57|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|8|NASDAQ|2020|02|25|15|30|46000|33.5|32.450001|32.470001|33.5|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|9|NASDAQ|2020|02|24|15|30|3600|34|33.650002|33.799999|34|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|10|NASDAQ|2020|02|21|15|30|1500|35.139999|35.029999|35.029999|35.139999|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|11|NASDAQ|2020|02|20|15|30|1300|35.360001|34.990002|35.360001|34.990002|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|12|NASDAQ|2020|02|19|15|30|1400|35.18|35.080002|35.119999|35.09|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|13|NASDAQ|2020|02|18|15|30|1200|35.200001|34.98|35.009998|35.200001|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|14|NASDAQ|2020|02|14|15|30|600|35.209999|35.169998|35.200001|35.200001|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|15|NASDAQ|2020|02|13|15|30|4600|35.389999|35.169998|35.389999|35.169998|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|16|NASDAQ|2020|02|12|15|30|6600|35.450001|35.290001|35.41|35.450001|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|17|NASDAQ|2020|02|11|15|30|2300|35.18|34.959999|35.099998|34.959999|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|18|NASDAQ|2020|02|10|15|30|900|34.740002|34.619999|34.709999|34.689999|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|19|NASDAQ|2020|02|07|15|30|16900|34.919998|34.639999|34.759998|34.919998|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|20|NASDAQ|2020|02|06|15|30|900|35.32|35.200001|35.200001|35.290001|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|21|NASDAQ|2020|02|05|15|30|5100|35.549999|35.189999|35.5|35.200001|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|22|NASDAQ|2020|02|04|15|30|700|34.889999|34.669998|34.669998|34.709999|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|23|NASDAQ|2020|02|03|15|30|2400|34.470001|34.25|34.25|34.470001|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|24|NASDAQ|2020|01|31|15|30|1900|34.200001|34.060001|34.060001|34.200001|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|25|NASDAQ|2020|01|30|15|30|10100|34.82|34.5|34.82|34.639999|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|26|NASDAQ|2020|01|29|15|30|82500|35.25|34.91|34.91|35.25|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|27|NASDAQ|2020|01|28|15|30|4200|35.099998|34.849998|35.060001|34.849998|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|28|NASDAQ|2020|01|27|15|30|3300|34.98|34.75|34.779999|34.98|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|29|NASDAQ|2020|01|24|15|30|5900|35.599998|35.130001|35.34|35.599998|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|30|NASDAQ|2020|01|23|15|30|3000|35.880001|35.439999|35.880001|35.439999|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|31|NASDAQ|2020|01|22|15|30|2200|35.84|35.700001|35.700001|35.82|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|32|NASDAQ|2020|01|21|15|30|1500|36|35.740002|35.77|36|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|33|NASDAQ|2020|01|17|15|30|1500|36.400002|36.150002|36.150002|36.400002|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|34|NASDAQ|2020|01|16|15|30|500|36.189999|36.139999|36.18|36.139999|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|35|NASDAQ|2020|01|15|15|30|1800|35.93|35.759998|35.77|35.759998|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|36|NASDAQ|2020|01|14|15|30|3700|35.959999|35.66|35.799999|35.66|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|37|NASDAQ|2020|01|13|15|30|4200|35.66|35.529999|35.639999|35.639999|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|38|NASDAQ|2020|01|10|15|30|16500|35.580002|35.41|35.41|35.580002|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|39|NASDAQ|2020|01|09|15|30|1000|35.599998|35.509998|35.509998|35.540001|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|40|NASDAQ|2020|01|08|15|30|4600|35.740002|35.509998|35.68|35.740002|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|41|NASDAQ|2020|01|07|15|30|3500|35.75|35.509998|35.669998|35.57|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|42|NASDAQ|2020|01|06|15|30|2100|35.700001|35.66|35.700001|35.700001|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|43|NASDAQ|2020|01|03|15|30|3200|35.779999|35.639999|35.779999|35.689999|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|44|NASDAQ|2020|01|02|15|30|2900|36.41|35.779999|35.779999|36.41|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|45|NASDAQ|2019|12|31|15|30|3800|36.040001|36|36.02|36.02|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|46|NASDAQ|2019|12|30|15|30|2200|36.169998|35.970001|35.970001|36.040001|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|47|NASDAQ|2019|12|27|15|30|1500|36.18|35.990002|35.990002|36.119999|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|48|NASDAQ|2019|12|26|15|30|1500|36.23|36.09|36.169998|36.23|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|49|NASDAQ|2019|12|24|15|30|3100|36.23|36.139999|36.169998|36.209999|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|50|NASDAQ|2019|12|23|15|30|300|36.200001|36.099998|36.200001|36.099998|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|51|NASDAQ|2019|12|20|15|30|3600|36.310001|36.200001|36.200001|36.240002|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|52|NASDAQ|2019|12|19|15|30|900|36.110001|36.02|36.080002|36.02|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|53|NASDAQ|2019|12|18|15|30|400|36.040001|35.959999|36.029999|35.959999|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|54|NASDAQ|2019|12|17|15|30|1900|35.959999|35.740002|35.91|35.799999|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|55|NASDAQ|2019|12|16|15|30|600|35.82|35.639999|35.639999|35.77|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|56|NASDAQ|2019|12|13|15|30|2200|35.709999|35.360001|35.360001|35.709999|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
FNK|57|NASDAQ|2019|12|12|15|30|1900|35.889999|35.360001|35.889999|35.360001|exchangetradedfund|-|-|-|-|2.01|-|usa|-|-|-|-|financial|-|-
