empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
FRME|0|NASDAQ|2020|03|06|15|30|270400|34.009998|32.509998|33.5|32.75|regionalmidwestbanks|0.9|-|-|10.51|3.1|1702|usa|0.08|0.08|3.23|Jan 30 BMO|financial|73.199997|1950
FRME|1|NASDAQ|2020|03|05|15|30|326400|35.220001|33.380001|33.810001|34.709999|regionalmidwestbanks|0.9|-|-|10.51|3.1|1702|usa|0.08|0.08|3.23|Jan 30 BMO|financial|73.199997|1950
FRME|2|NASDAQ|2020|03|04|15|30|363500|36.619999|35.470001|35.98|36.360001|regionalmidwestbanks|0.9|-|-|10.51|3.1|1702|usa|0.08|0.08|3.23|Jan 30 BMO|financial|73.199997|1950
FRME|3|NASDAQ|2020|03|03|15|30|223700|37.779999|35.82|35.98|37.209999|regionalmidwestbanks|0.9|-|-|10.51|3.1|1702|usa|0.08|0.08|3.23|Jan 30 BMO|financial|73.199997|1950
FRME|4|NASDAQ|2020|03|02|15|30|200100|37.27|34.939999|37.25|35.139999|regionalmidwestbanks|0.9|-|-|10.51|3.1|1702|usa|0.08|0.08|3.23|Jan 30 BMO|financial|73.199997|1950
FRME|5|NASDAQ|2020|02|28|15|30|361600|36.549999|34.400002|34.98|35.700001|regionalmidwestbanks|0.9|-|-|10.51|3.1|1702|usa|0.08|0.08|3.23|Jan 30 BMO|financial|73.199997|1950
FRME|6|NASDAQ|2020|02|27|15|30|196200|38.619999|36.84|36.860001|37.509998|regionalmidwestbanks|0.9|-|-|10.51|3.1|1702|usa|0.08|0.08|3.23|Jan 30 BMO|financial|73.199997|1950
FRME|7|NASDAQ|2020|02|26|15|30|184300|39.439999|38.259998|38.279999|39.279999|regionalmidwestbanks|0.9|-|-|10.51|3.1|1702|usa|0.08|0.08|3.23|Jan 30 BMO|financial|73.199997|1950
FRME|8|NASDAQ|2020|02|25|15|30|148600|40.790001|38.73|38.869999|40.419998|regionalmidwestbanks|0.9|-|-|10.51|3.1|1702|usa|0.08|0.08|3.23|Jan 30 BMO|financial|73.199997|1950
FRME|9|NASDAQ|2020|02|24|15|30|242900|40.59|39.799999|40.369999|40.080002|regionalmidwestbanks|0.9|-|-|10.51|3.1|1702|usa|0.08|0.08|3.23|Jan 30 BMO|financial|73.199997|1950
