empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
GLDD|0|NASDAQ|2020|03|06|15|30|528900|9.91|9.49|9.66|9.87|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|1|NASDAQ|2020|03|05|15|30|678100|10.07|9.89|10.05|9.91|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|2|NASDAQ|2020|03|04|15|30|367700|10.05|9.87|10.04|9.92|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|3|NASDAQ|2020|03|03|15|30|462200|10.35|9.82|9.86|9.94|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|4|NASDAQ|2020|03|02|15|30|506500|9.96|9.55|9.92|9.65|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|5|NASDAQ|2020|02|28|15|30|642400|9.71|9.39|9.7|9.51|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|6|NASDAQ|2020|02|27|15|30|518800|10.11|9.62|9.78|9.69|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|7|NASDAQ|2020|02|26|15|30|434600|10.16|9.71|9.78|10.09|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|8|NASDAQ|2020|02|25|15|30|441700|10.36|9.98|10.07|10.36|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|9|NASDAQ|2020|02|24|15|30|438200|10.46|9.92|10.35|9.97|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|10|NASDAQ|2020|02|21|15|30|548200|10.36|10.04|10.25|10.36|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|11|NASDAQ|2020|02|20|15|30|679800|10.97|9.97|10.32|10.9|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|12|NASDAQ|2020|02|19|15|30|1026400|10.98|10.32|10.95|10.65|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|13|NASDAQ|2020|02|18|15|30|499300|10.33|9.86|10|10.12|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|14|NASDAQ|2020|02|14|15|30|227800|10.45|10.1|10.14|10.3|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|15|NASDAQ|2020|02|13|15|30|288100|10.38|10.25|10.29|10.26|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|16|NASDAQ|2020|02|12|15|30|405800|10.44|10.22|10.26|10.23|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|17|NASDAQ|2020|02|11|15|30|251800|10.63|10.29|10.31|10.5|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|18|NASDAQ|2020|02|10|15|30|140100|10.59|10.38|10.47|10.52|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|19|NASDAQ|2020|02|07|15|30|372000|10.86|10.53|10.54|10.83|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|20|NASDAQ|2020|02|06|15|30|231500|10.97|10.7|10.85|10.85|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|21|NASDAQ|2020|02|05|15|30|285300|10.95|10.58|10.89|10.65|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|22|NASDAQ|2020|02|04|15|30|228100|10.91|10.57|10.58|10.77|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|23|NASDAQ|2020|02|03|15|30|229500|10.88|10.5|10.7|10.5|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|24|NASDAQ|2020|01|31|15|30|197400|10.81|10.44|10.47|10.76|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
GLDD|25|NASDAQ|2020|01|30|15|30|166800|10.81|10.56|10.78|10.71|heavyconstruction|1.3|1.3|1.5|11.29|-|399|usa|1.16|1.16|6.74|Feb 19 BMO|industrialgoods|92.900002|625.77002
