empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
GLUU|0|NASDAQ|2020|03|06|15|30|4168800|6.96|6.36|6.57|6.9|multimediagraphicssoftware|0.8|1.3|1.3|121.669998|-|659|usa|0|0|61.810001|Feb 05 AMC|technology|73.900002|954.48999
GLUU|1|NASDAQ|2020|03|05|15|30|1726700|7.09|6.87|7.01|6.99|multimediagraphicssoftware|0.8|1.3|1.3|121.669998|-|659|usa|0|0|61.810001|Feb 05 AMC|technology|73.900002|954.48999
GLUU|2|NASDAQ|2020|03|04|15|30|2042100|7.13|6.86|7.12|6.9|multimediagraphicssoftware|0.8|1.3|1.3|121.669998|-|659|usa|0|0|61.810001|Feb 05 AMC|technology|73.900002|954.48999
GLUU|3|NASDAQ|2020|03|03|15|30|3490100|7.14|6.75|6.81|7|multimediagraphicssoftware|0.8|1.3|1.3|121.669998|-|659|usa|0|0|61.810001|Feb 05 AMC|technology|73.900002|954.48999
GLUU|4|NASDAQ|2020|03|02|15|30|3864400|7.25|6.74|6.97|7.21|multimediagraphicssoftware|0.8|1.3|1.3|121.669998|-|659|usa|0|0|61.810001|Feb 05 AMC|technology|73.900002|954.48999
GLUU|5|NASDAQ|2020|02|28|15|30|4263500|7.31|6.78|7.12|6.78|multimediagraphicssoftware|0.8|1.3|1.3|121.669998|-|659|usa|0|0|61.810001|Feb 05 AMC|technology|73.900002|954.48999
GLUU|6|NASDAQ|2020|02|27|15|30|5252100|7.41|6.79|7.1|6.97|multimediagraphicssoftware|0.8|1.3|1.3|121.669998|-|659|usa|0|0|61.810001|Feb 05 AMC|technology|73.900002|954.48999
GLUU|7|NASDAQ|2020|02|26|15|30|2847700|7.4|6.99|7.17|7.3|multimediagraphicssoftware|0.8|1.3|1.3|121.669998|-|659|usa|0|0|61.810001|Feb 05 AMC|technology|73.900002|954.48999
GLUU|8|NASDAQ|2020|02|25|15|30|4934700|7.69|7.15|7.31|7.59|multimediagraphicssoftware|0.8|1.3|1.3|121.669998|-|659|usa|0|0|61.810001|Feb 05 AMC|technology|73.900002|954.48999
GLUU|9|NASDAQ|2020|02|24|15|30|4693800|7.75|7.15|7.53|7.3|multimediagraphicssoftware|0.8|1.3|1.3|121.669998|-|659|usa|0|0|61.810001|Feb 05 AMC|technology|73.900002|954.48999
GLUU|10|NASDAQ|2020|02|21|15|30|9014700|8.15|7.35|7.85|7.4|multimediagraphicssoftware|0.8|1.3|1.3|121.669998|-|659|usa|0|0|61.810001|Feb 05 AMC|technology|73.900002|954.48999
GLUU|11|NASDAQ|2020|02|20|15|30|4589400|7.61|7.18|7.42|7.29|multimediagraphicssoftware|0.8|1.3|1.3|121.669998|-|659|usa|0|0|61.810001|Feb 05 AMC|technology|73.900002|954.48999
GLUU|12|NASDAQ|2020|02|19|15|30|2729900|7.48|7.16|7.25|7.4|multimediagraphicssoftware|0.8|1.3|1.3|121.669998|-|659|usa|0|0|61.810001|Feb 05 AMC|technology|73.900002|954.48999
