empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
GNUS|0|NASDAQ|2020|03|06|15|30|299000|0.3|0.28|0.283|0.296|musicvideostores|5.4|0.6|0.6|-|-|24|usa|0.71|0.36|-|Mar 13 BMO|services|13.2|7.44
GNUS|1|NASDAQ|2020|03|05|15|30|245600|0.296|0.251|0.29|0.273|musicvideostores|5.4|0.6|0.6|-|-|24|usa|0.71|0.36|-|Mar 13 BMO|services|13.2|7.44
GNUS|2|NASDAQ|2020|03|04|15|30|60100|0.29|0.244|0.273|0.29|musicvideostores|5.4|0.6|0.6|-|-|24|usa|0.71|0.36|-|Mar 13 BMO|services|13.2|7.44
GNUS|3|NASDAQ|2020|03|03|15|30|237000|0.278|0.253|0.267|0.266|musicvideostores|5.4|0.6|0.6|-|-|24|usa|0.71|0.36|-|Mar 13 BMO|services|13.2|7.44
GNUS|4|NASDAQ|2020|03|02|15|30|342700|0.299|0.23|0.278|0.297|musicvideostores|5.4|0.6|0.6|-|-|24|usa|0.71|0.36|-|Mar 13 BMO|services|13.2|7.44
GNUS|5|NASDAQ|2020|02|28|15|30|325700|0.32|0.27|0.282|0.3|musicvideostores|5.4|0.6|0.6|-|-|24|usa|0.71|0.36|-|Mar 13 BMO|services|13.2|7.44
GNUS|6|NASDAQ|2020|02|27|15|30|353300|0.3|0.231|0.29|0.281|musicvideostores|5.4|0.6|0.6|-|-|24|usa|0.71|0.36|-|Mar 13 BMO|services|13.2|7.44
GNUS|7|NASDAQ|2020|02|26|15|30|203900|0.295|0.281|0.289|0.29|musicvideostores|5.4|0.6|0.6|-|-|24|usa|0.71|0.36|-|Mar 13 BMO|services|13.2|7.44
GNUS|8|NASDAQ|2020|02|25|15|30|233200|0.3|0.28|0.285|0.291|musicvideostores|5.4|0.6|0.6|-|-|24|usa|0.71|0.36|-|Mar 13 BMO|services|13.2|7.44
GNUS|9|NASDAQ|2020|02|24|15|30|447500|0.309|0.285|0.289|0.309|musicvideostores|5.4|0.6|0.6|-|-|24|usa|0.71|0.36|-|Mar 13 BMO|services|13.2|7.44
GNUS|10|NASDAQ|2020|02|21|15|30|614300|0.325|0.293|0.302|0.319|musicvideostores|5.4|0.6|0.6|-|-|24|usa|0.71|0.36|-|Mar 13 BMO|services|13.2|7.44
GNUS|11|NASDAQ|2020|02|20|15|30|249400|0.319|0.29|0.315|0.301|musicvideostores|5.4|0.6|0.6|-|-|24|usa|0.71|0.36|-|Mar 13 BMO|services|13.2|7.44
