empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
GOODN|0|NASDAQ|2020|03|06|15|30|31200|26.091|25.809999|25.879999|26.059999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|1|NASDAQ|2020|03|05|15|30|6500|26.67|26.049999|26.108999|26.67|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|2|NASDAQ|2020|03|04|15|30|10100|26.83|25.958|26.667|26.1|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|3|NASDAQ|2020|03|03|15|30|2900|26.156|26.025|26.070999|26.156|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|4|NASDAQ|2020|03|02|15|30|11200|26.531|25.870001|26.299999|26.139999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|5|NASDAQ|2020|02|28|15|30|13500|26.25|25.768|26|26.25|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|6|NASDAQ|2020|02|27|15|30|3900|26.497999|26.25|26.497999|26.375|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|7|NASDAQ|2020|02|26|15|30|6900|26.75|26.25|26.5|26.719999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|8|NASDAQ|2020|02|25|15|30|8500|27.055|26.65|26.761999|26.74|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|9|NASDAQ|2020|02|24|15|30|5500|27.209999|26.700001|26.865999|26.700001|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|10|NASDAQ|2020|02|21|15|30|4100|27.200001|26.74|27.049999|26.75|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|11|NASDAQ|2020|02|20|15|30|6800|27.49|26.754|27.246|27.066999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|12|NASDAQ|2020|02|19|15|30|8200|27.15|26.85|27.15|27|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|13|NASDAQ|2020|02|18|15|30|3200|27.15|26.940001|27|26.940001|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|14|NASDAQ|2020|02|14|15|30|10100|27.24|26.672001|26.796|27.190001|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|15|NASDAQ|2020|02|13|15|30|2700|27.190001|26.784|27.190001|26.784|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|16|NASDAQ|2020|02|12|15|30|7500|26.855|26.639999|26.750999|26.799999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|17|NASDAQ|2020|02|11|15|30|2500|27.190001|26.85|27.190001|27.041|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|18|NASDAQ|2020|02|10|15|30|3800|27.15|26.98|27|27.15|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|19|NASDAQ|2020|02|07|15|30|1400|27|26.629999|26.947001|27|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|20|NASDAQ|2020|02|06|15|30|9600|27.200001|26.700001|26.763|27.200001|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|21|NASDAQ|2020|02|05|15|30|1600|27.18|26.700001|26.700001|27.18|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|22|NASDAQ|2020|02|04|15|30|12200|27.198999|27.07|27.173|27.165001|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|23|NASDAQ|2020|02|03|15|30|2600|27.229|27.002001|27.229|27.073999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|24|NASDAQ|2020|01|31|15|30|3800|27.280001|26.93|26.981001|27.27|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|25|NASDAQ|2020|01|30|15|30|4300|27.136999|26.9|27.091|26.9|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|26|NASDAQ|2020|01|29|15|30|3400|27.073999|26.959999|27.073999|26.98|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|27|NASDAQ|2020|01|28|15|30|2800|26.969999|26.879999|26.93|26.91|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|28|NASDAQ|2020|01|27|15|30|3400|26.9|26.639999|26.9|26.860001|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|29|NASDAQ|2020|01|24|15|30|4500|26.812|26.715|26.812|26.799999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|30|NASDAQ|2020|01|23|15|30|16700|26.99|26.83|26.915001|26.99|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|31|NASDAQ|2020|01|22|15|30|2800|27.02|26.85|26.856001|27.02|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|32|NASDAQ|2020|01|21|15|30|3400|27|26.799999|26.85|26.799999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|33|NASDAQ|2020|01|17|15|30|18000|27.110001|26.698|26.913|26.84|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|34|NASDAQ|2020|01|16|15|30|3900|26.83|26.34|26.83|26.549999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|35|NASDAQ|2020|01|15|15|30|4200|26.85|26.65|26.84|26.85|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|36|NASDAQ|2020|01|14|15|30|8000|26.83|26.57|26.635|26.83|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|37|NASDAQ|2020|01|13|15|30|7600|26.82|26.65|26.82|26.780001|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|38|NASDAQ|2020|01|10|15|30|17500|26.780001|26.32|26.780001|26.448999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|39|NASDAQ|2020|01|09|15|30|1000|26.638|26.507999|26.516001|26.507999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|40|NASDAQ|2020|01|08|15|30|21000|26.75|26.41|26.65|26.459999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|41|NASDAQ|2020|01|07|15|30|7900|26.65|26.263|26.523001|26.65|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|42|NASDAQ|2020|01|06|15|30|5300|26.85|26.190001|26.190001|26.85|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|43|NASDAQ|2020|01|03|15|30|6200|26.389999|26.15|26.229|26.15|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|44|NASDAQ|2020|01|02|15|30|1300|26.358|26.181|26.358|26.35|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|45|NASDAQ|2019|12|31|15|30|2300|26.389999|26.318001|26.389999|26.318001|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|46|NASDAQ|2019|12|30|15|30|3100|26.379999|26.150999|26.150999|26.208|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|47|NASDAQ|2019|12|27|15|30|2400|26.559999|26.212999|26.306|26.299999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|48|NASDAQ|2019|12|26|15|30|25800|26.42|26.23|26.306|26.389999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|49|NASDAQ|2019|12|24|15|30|500|26.274|26.191|26.191|26.274|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|50|NASDAQ|2019|12|23|15|30|6500|26.379999|26.075001|26.379999|26.1|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|51|NASDAQ|2019|12|20|15|30|1900|26.35|26.139999|26.207001|26.139999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|52|NASDAQ|2019|12|19|15|30|1700|26.379999|26.1|26.379999|26.156|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|53|NASDAQ|2019|12|18|15|30|3000|26.379999|26.23|26.23|26.243999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|54|NASDAQ|2019|12|17|15|30|1400|26.209999|26.16|26.209999|26.200001|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|55|NASDAQ|2019|12|16|15|30|8200|26.24|26.146|26.146|26.23|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|56|NASDAQ|2019|12|13|15|30|1500|26.190001|26.15|26.16|26.177999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|57|NASDAQ|2019|12|12|15|30|35700|26.188|26|26.15|26.129999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|58|NASDAQ|2019|12|11|15|30|700|26|26|26|26|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|59|NASDAQ|2019|12|10|15|30|6200|26.054001|25.82|25.99|26.01|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|60|NASDAQ|2019|12|09|15|30|2200|26.18|26.046|26.046|26.17|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|61|NASDAQ|2019|12|06|15|30|14000|26.15|25.934|26.058001|26.02|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|62|NASDAQ|2019|12|05|15|30|25800|26.1|25.540001|26.1|26.049999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|63|NASDAQ|2019|12|04|15|30|12300|26.24|26.049999|26.049999|26.049999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|64|NASDAQ|2019|12|03|15|30|8500|26.15|26.059999|26.136999|26.15|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|65|NASDAQ|2019|12|02|15|30|1400|26.24|26.174999|26.24|26.174999|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
GOODN|66|NASDAQ|2019|11|29|15|30|1300|26.24|26.181|26.181|26.200001|reitdiversified|-|-|-|-|6.41|-|usa|-|-|-|-|financial|9.84|-
