empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
GPP|0|NASDAQ|2020|03|06|15|30|56500|13.545|13.35|13.48|13.5|oilgaspipelines|50.75|0.1|0.1|7.52|14.09|-|usa|-|-|1.86|Feb 10 AMC|basicmaterials|30.700001|309.910004
GPP|1|NASDAQ|2020|03|05|15|30|63700|14.01|13.64|13.65|13.95|oilgaspipelines|50.75|0.1|0.1|7.52|14.09|-|usa|-|-|1.86|Feb 10 AMC|basicmaterials|30.700001|309.910004
GPP|2|NASDAQ|2020|03|04|15|30|97700|14.15|13.77|13.96|14.09|oilgaspipelines|50.75|0.1|0.1|7.52|14.09|-|usa|-|-|1.86|Feb 10 AMC|basicmaterials|30.700001|309.910004
GPP|3|NASDAQ|2020|03|03|15|30|320400|14.471|13.081|14.06|13.58|oilgaspipelines|50.75|0.1|0.1|7.52|14.09|-|usa|-|-|1.86|Feb 10 AMC|basicmaterials|30.700001|309.910004
GPP|4|NASDAQ|2020|03|02|15|30|48400|13.77|13.445|13.54|13.59|oilgaspipelines|50.75|0.1|0.1|7.52|14.09|-|usa|-|-|1.86|Feb 10 AMC|basicmaterials|30.700001|309.910004
GPP|5|NASDAQ|2020|02|28|15|30|148100|13.66|13.14|13.66|13.32|oilgaspipelines|50.75|0.1|0.1|7.52|14.09|-|usa|-|-|1.86|Feb 10 AMC|basicmaterials|30.700001|309.910004
GPP|6|NASDAQ|2020|02|27|15|30|115800|13.7|13.31|13.56|13.6|oilgaspipelines|50.75|0.1|0.1|7.52|14.09|-|usa|-|-|1.86|Feb 10 AMC|basicmaterials|30.700001|309.910004
GPP|7|NASDAQ|2020|02|26|15|30|72100|13.83|13.6|13.6|13.75|oilgaspipelines|50.75|0.1|0.1|7.52|14.09|-|usa|-|-|1.86|Feb 10 AMC|basicmaterials|30.700001|309.910004
GPP|8|NASDAQ|2020|02|25|15|30|73100|13.917|13.74|13.75|13.87|oilgaspipelines|50.75|0.1|0.1|7.52|14.09|-|usa|-|-|1.86|Feb 10 AMC|basicmaterials|30.700001|309.910004
GPP|9|NASDAQ|2020|02|24|15|30|53400|14|13.883|13.89|14|oilgaspipelines|50.75|0.1|0.1|7.52|14.09|-|usa|-|-|1.86|Feb 10 AMC|basicmaterials|30.700001|309.910004
