empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
GRFS|0|NASDAQ|2020|03|06|15|30|1726100|22.18|21.65|22.059999|21.91|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|1|NASDAQ|2020|03|05|15|30|1293500|22.57|22.209999|22.35|22.48|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|2|NASDAQ|2020|03|04|15|30|1188000|23.17|22.6|23.049999|22.93|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|3|NASDAQ|2020|03|03|15|30|1409500|23.4|22.18|22.57|23.07|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|4|NASDAQ|2020|03|02|15|30|2746200|23.040001|22.139999|23.030001|22.6|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|5|NASDAQ|2020|02|28|15|30|3237800|22.549999|21.27|21.41|22.389999|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|6|NASDAQ|2020|02|27|15|30|2340400|23.799999|23.120001|23.48|23.25|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|7|NASDAQ|2020|02|26|15|30|1411400|24.58|24.299999|24.41|24.370001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|8|NASDAQ|2020|02|25|15|30|1905600|24.629999|24.389999|24.5|24.57|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|9|NASDAQ|2020|02|24|15|30|1433900|24.9|24.559999|24.74|24.709999|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|10|NASDAQ|2020|02|21|15|30|942800|25.73|25.299999|25.629999|25.379999|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|11|NASDAQ|2020|02|20|15|30|1016300|25.42|25.16|25.41|25.280001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|12|NASDAQ|2020|02|19|15|30|869700|25.309999|24.98|25.299999|24.99|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|13|NASDAQ|2020|02|18|15|30|795500|24.85|24.5|24.809999|24.620001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|14|NASDAQ|2020|02|14|15|30|914500|24.65|24.309999|24.639999|24.370001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|15|NASDAQ|2020|02|13|15|30|834000|24.360001|24.110001|24.33|24.110001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|16|NASDAQ|2020|02|12|15|30|1107900|24.02|23.82|24.01|23.959999|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|17|NASDAQ|2020|02|11|15|30|976600|24.059999|23.6|23.66|23.799999|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|18|NASDAQ|2020|02|10|15|30|421100|23.700001|23.35|23.65|23.35|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|19|NASDAQ|2020|02|07|15|30|606100|23.709999|23.219999|23.27|23.58|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|20|NASDAQ|2020|02|06|15|30|928500|23.65|23.450001|23.530001|23.559999|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|21|NASDAQ|2020|02|05|15|30|1268500|23.719999|23.450001|23.459999|23.52|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|22|NASDAQ|2020|02|04|15|30|632200|23.43|23.15|23.219999|23.25|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|23|NASDAQ|2020|02|03|15|30|715000|23.120001|22.84|22.93|22.84|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|24|NASDAQ|2020|01|31|15|30|805000|23.08|22.690001|22.73|22.889999|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|25|NASDAQ|2020|01|30|15|30|1060100|22.85|22.450001|22.639999|22.73|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|26|NASDAQ|2020|01|29|15|30|1835500|22.91|22.639999|22.860001|22.690001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|27|NASDAQ|2020|01|28|15|30|825700|23.120001|22.879999|23.049999|22.959999|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|28|NASDAQ|2020|01|27|15|30|723200|23.219999|22.84|23.059999|22.98|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|29|NASDAQ|2020|01|24|15|30|1390300|23.540001|23.040001|23.08|23.290001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|30|NASDAQ|2020|01|23|15|30|549300|23.370001|23.030001|23.219999|23.370001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|31|NASDAQ|2020|01|22|15|30|1265400|23.610001|23.280001|23.43|23.33|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|32|NASDAQ|2020|01|21|15|30|822800|23.450001|23.200001|23.309999|23.32|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|33|NASDAQ|2020|01|17|15|30|1088600|23.76|23.6|23.639999|23.74|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|34|NASDAQ|2020|01|16|15|30|1074700|23.83|23.49|23.66|23.65|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|35|NASDAQ|2020|01|15|15|30|2267000|24.299999|23.540001|23.58|24.25|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|36|NASDAQ|2020|01|14|15|30|635600|24.25|24.02|24.23|24.120001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|37|NASDAQ|2020|01|13|15|30|564300|24.700001|24.27|24.32|24.700001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|38|NASDAQ|2020|01|10|15|30|1046200|24.82|24.389999|24.76|24.52|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|39|NASDAQ|2020|01|09|15|30|1001800|24.790001|24.41|24.719999|24.41|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|40|NASDAQ|2020|01|08|15|30|1210000|24.469999|23.93|24.4|23.93|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|41|NASDAQ|2020|01|07|15|30|994700|24.219999|23.73|24.17|23.799999|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|42|NASDAQ|2020|01|06|15|30|735900|23.860001|23.379999|23.780001|23.52|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|43|NASDAQ|2020|01|03|15|30|591300|23.49|23.27|23.440001|23.27|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|44|NASDAQ|2020|01|02|15|30|621200|23.610001|23.299999|23.6|23.459999|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|45|NASDAQ|2019|12|31|15|30|379100|23.33|23.09|23.290001|23.17|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|46|NASDAQ|2019|12|30|15|30|743100|23.65|23.16|23.200001|23.58|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|47|NASDAQ|2019|12|27|15|30|491500|23.620001|23.360001|23.52|23.440001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|48|NASDAQ|2019|12|26|15|30|296800|23.43|23.190001|23.370001|23.370001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|49|NASDAQ|2019|12|24|15|30|120200|23.450001|23.25|23.33|23.450001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|50|NASDAQ|2019|12|23|15|30|701200|23.389999|23.190001|23.32|23.200001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|51|NASDAQ|2019|12|20|15|30|1714300|23.280001|22.790001|23.24|22.98|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|52|NASDAQ|2019|12|19|15|30|2507000|23.18|22.77|22.82|23.18|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|53|NASDAQ|2019|12|18|15|30|942300|23.25|22.99|23.190001|23.07|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|54|NASDAQ|2019|12|17|15|30|849900|23.35|23.02|23.24|23.02|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|55|NASDAQ|2019|12|16|15|30|1149500|23.110001|22.809999|22.93|22.950001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|56|NASDAQ|2019|12|13|15|30|491100|23.18|22.75|22.77|22.860001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|57|NASDAQ|2019|12|12|15|30|1183700|22.92|22.559999|22.73|22.690001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|58|NASDAQ|2019|12|11|15|30|2321600|23.139999|22.440001|22.68|22.93|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|59|NASDAQ|2019|12|10|15|30|803400|23|22.58|22.940001|22.67|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|60|NASDAQ|2019|12|09|15|30|1132300|23.18|22.58|22.629999|23.040001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|61|NASDAQ|2019|12|06|15|30|2467000|23.6|22.48|22.969999|22.5|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|62|NASDAQ|2019|12|05|15|30|973400|22.42|22.190001|22.379999|22.360001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|63|NASDAQ|2019|12|04|15|30|1096300|22.52|22.32|22.42|22.43|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|64|NASDAQ|2019|12|03|15|30|2092900|22.790001|22.24|22.43|22.67|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|65|NASDAQ|2019|12|02|15|30|1372800|22.799999|22.57|22.65|22.76|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|66|NASDAQ|2019|11|29|15|30|674000|23.040001|22.639999|22.879999|22.639999|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|67|NASDAQ|2019|11|27|15|30|1884000|22.870001|22.629999|22.639999|22.870001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|68|NASDAQ|2019|11|26|15|30|2385900|23.1|22.52|22.950001|22.610001|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
GRFS|69|NASDAQ|2019|11|25|15|30|1078900|22.780001|22.41|22.59|22.52|drugmanufacturersmajor|-|-|-|36.799999|1.99|22000|spain|-|-|13.7|Mar 05|healthcare|53.029999|15090
