empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
GSUM|0|NASDAQ|2020|03|06|15|30|21200|1|0.902|0.981|0.99|applicationsoftware|9.05|0.7|0.7|-|-|1192|china|-|-|-|Mar 23 AMC|technology|30.200001|35.049999
GSUM|1|NASDAQ|2020|03|05|15|30|8300|1|0.976|0.988|0.998|applicationsoftware|9.05|0.7|0.7|-|-|1192|china|-|-|-|Mar 23 AMC|technology|30.200001|35.049999
GSUM|2|NASDAQ|2020|03|04|15|30|133300|1.02|0.944|1.01|0.959|applicationsoftware|9.05|0.7|0.7|-|-|1192|china|-|-|-|Mar 23 AMC|technology|30.200001|35.049999
GSUM|3|NASDAQ|2020|03|03|15|30|14700|1.02|0.96|0.96|1.02|applicationsoftware|9.05|0.7|0.7|-|-|1192|china|-|-|-|Mar 23 AMC|technology|30.200001|35.049999
GSUM|4|NASDAQ|2020|03|02|15|30|5500|1|0.96|0.974|0.96|applicationsoftware|9.05|0.7|0.7|-|-|1192|china|-|-|-|Mar 23 AMC|technology|30.200001|35.049999
GSUM|5|NASDAQ|2020|02|28|15|30|42100|1.014|0.95|0.96|1|applicationsoftware|9.05|0.7|0.7|-|-|1192|china|-|-|-|Mar 23 AMC|technology|30.200001|35.049999
GSUM|6|NASDAQ|2020|02|27|15|30|99200|1.01|0.9|0.993|0.984|applicationsoftware|9.05|0.7|0.7|-|-|1192|china|-|-|-|Mar 23 AMC|technology|30.200001|35.049999
GSUM|7|NASDAQ|2020|02|26|15|30|130500|1|0.91|1|0.97|applicationsoftware|9.05|0.7|0.7|-|-|1192|china|-|-|-|Mar 23 AMC|technology|30.200001|35.049999
GSUM|8|NASDAQ|2020|02|25|15|30|160500|1.02|0.953|0.97|0.975|applicationsoftware|9.05|0.7|0.7|-|-|1192|china|-|-|-|Mar 23 AMC|technology|30.200001|35.049999
GSUM|9|NASDAQ|2020|02|24|15|30|15300|1|0.94|0.95|1|applicationsoftware|9.05|0.7|0.7|-|-|1192|china|-|-|-|Mar 23 AMC|technology|30.200001|35.049999
