empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
GTLS|0|NASDAQ|2020|03|06|15|30|569900|54.099998|50.299999|50.439999|52.98|metalfabrication|0.5|1.2|1.8|38.889999|-|5743|usa|0.63|0.62|16.059999|Feb 13 BMO|industrialgoods|-|1810
GTLS|1|NASDAQ|2020|03|05|15|30|429200|56.41|54.290001|55.080002|55.209999|metalfabrication|0.5|1.2|1.8|38.889999|-|5743|usa|0.63|0.62|16.059999|Feb 13 BMO|industrialgoods|-|1810
GTLS|2|NASDAQ|2020|03|04|15|30|373300|57.18|54|57.119999|55.439999|metalfabrication|0.5|1.2|1.8|38.889999|-|5743|usa|0.63|0.62|16.059999|Feb 13 BMO|industrialgoods|-|1810
GTLS|3|NASDAQ|2020|03|03|15|30|470100|58.57|53.040001|54.279999|56.830002|metalfabrication|0.5|1.2|1.8|38.889999|-|5743|usa|0.63|0.62|16.059999|Feb 13 BMO|industrialgoods|-|1810
GTLS|4|NASDAQ|2020|03|02|15|30|466900|57.59|54.759998|56.84|57.59|metalfabrication|0.5|1.2|1.8|38.889999|-|5743|usa|0.63|0.62|16.059999|Feb 13 BMO|industrialgoods|-|1810
GTLS|5|NASDAQ|2020|02|28|15|30|576900|57.330002|54.619999|56.919998|54.619999|metalfabrication|0.5|1.2|1.8|38.889999|-|5743|usa|0.63|0.62|16.059999|Feb 13 BMO|industrialgoods|-|1810
GTLS|6|NASDAQ|2020|02|27|15|30|844400|57.759998|53.209999|56.830002|55.299999|metalfabrication|0.5|1.2|1.8|38.889999|-|5743|usa|0.63|0.62|16.059999|Feb 13 BMO|industrialgoods|-|1810
GTLS|7|NASDAQ|2020|02|26|15|30|738400|63.419998|56.84|56.919998|62.889999|metalfabrication|0.5|1.2|1.8|38.889999|-|5743|usa|0.63|0.62|16.059999|Feb 13 BMO|industrialgoods|-|1810
GTLS|8|NASDAQ|2020|02|25|15|30|537600|67.160004|61.279999|62.34|66.980003|metalfabrication|0.5|1.2|1.8|38.889999|-|5743|usa|0.63|0.62|16.059999|Feb 13 BMO|industrialgoods|-|1810
GTLS|9|NASDAQ|2020|02|24|15|30|433200|67.599998|65.669998|66.870003|66|metalfabrication|0.5|1.2|1.8|38.889999|-|5743|usa|0.63|0.62|16.059999|Feb 13 BMO|industrialgoods|-|1810
GTLS|10|NASDAQ|2020|02|21|15|30|383600|69.300003|66.349998|68.230003|67.129997|metalfabrication|0.5|1.2|1.8|38.889999|-|5743|usa|0.63|0.62|16.059999|Feb 13 BMO|industrialgoods|-|1810
GTLS|11|NASDAQ|2020|02|20|15|30|501800|69.449997|66.93|67.389999|68.230003|metalfabrication|0.5|1.2|1.8|38.889999|-|5743|usa|0.63|0.62|16.059999|Feb 13 BMO|industrialgoods|-|1810
GTLS|12|NASDAQ|2020|02|19|15|30|561600|72.120003|68.349998|68.43|72.120003|metalfabrication|0.5|1.2|1.8|38.889999|-|5743|usa|0.63|0.62|16.059999|Feb 13 BMO|industrialgoods|-|1810
GTLS|13|NASDAQ|2020|02|18|15|30|742900|73.779999|70.440002|71.309998|73.339996|metalfabrication|0.5|1.2|1.8|38.889999|-|5743|usa|0.63|0.62|16.059999|Feb 13 BMO|industrialgoods|-|1810
