empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
HCSG|0|NASDAQ|2020|03|06|15|30|614200|27.440001|26|26.809999|26.26|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|1|NASDAQ|2020|03|05|15|30|842200|27.33|26.32|26.889999|27.25|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|2|NASDAQ|2020|03|04|15|30|579200|28.02|27.07|27.66|27.74|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|3|NASDAQ|2020|03|03|15|30|747100|28.4|27.040001|27.34|27.52|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|4|NASDAQ|2020|03|02|15|30|885700|27.959999|27.059999|27.57|27.74|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|5|NASDAQ|2020|02|28|15|30|1385200|29.73|27.1|27.540001|29.02|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|6|NASDAQ|2020|02|27|15|30|826500|30.940001|29.049999|29.93|29.4|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|7|NASDAQ|2020|02|26|15|30|655100|31.290001|29.84|30.02|30.309999|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|8|NASDAQ|2020|02|25|15|30|593700|31.299999|29.870001|29.959999|31.190001|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|9|NASDAQ|2020|02|24|15|30|786300|31.27|29.58|31.01|29.610001|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|10|NASDAQ|2020|02|21|15|30|892100|31.110001|30.049999|30.450001|30.26|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|11|NASDAQ|2020|02|20|15|30|707700|31.02|29.860001|30.299999|30.51|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|12|NASDAQ|2020|02|19|15|30|836300|30.709999|29.52|30.6|29.66|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|13|NASDAQ|2020|02|18|15|30|614700|29.76|28.969999|29.629999|29.139999|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|14|NASDAQ|2020|02|14|15|30|582300|29.360001|28.08|29.32|28.299999|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|15|NASDAQ|2020|02|13|15|30|493800|29.26|28.129999|28.18|28.76|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
HCSG|16|NASDAQ|2020|02|12|15|30|2157200|30.690001|26.91|28.879999|27.5|businessservices|0.4|3.2|3.5|30.959999|3.02|51000|usa|0.02|0|13.68|Feb 11 AMC|services|-|2170.000244
