empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
HHT|0|NASDAQ|2020|03|06|15|30|23100|0.83|0.78|0.81|0.81|generalbuildingmaterials|39.220001|1|1|-|-|233|china|58.599998|0|-|-|industrialgoods|0.6|5.99
HHT|1|NASDAQ|2020|03|05|15|30|9800|0.87|0.81|0.84|0.83|generalbuildingmaterials|39.220001|1|1|-|-|233|china|58.599998|0|-|-|industrialgoods|0.6|5.99
HHT|2|NASDAQ|2020|03|04|15|30|90400|0.89|0.78|0.85|0.82|generalbuildingmaterials|39.220001|1|1|-|-|233|china|58.599998|0|-|-|industrialgoods|0.6|5.99
HHT|3|NASDAQ|2020|03|03|15|30|40900|0.91|0.81|0.81|0.86|generalbuildingmaterials|39.220001|1|1|-|-|233|china|58.599998|0|-|-|industrialgoods|0.6|5.99
HHT|4|NASDAQ|2020|03|02|15|30|39200|0.89|0.83|0.86|0.89|generalbuildingmaterials|39.220001|1|1|-|-|233|china|58.599998|0|-|-|industrialgoods|0.6|5.99
HHT|5|NASDAQ|2020|02|28|15|30|75000|0.93|0.78|0.84|0.93|generalbuildingmaterials|39.220001|1|1|-|-|233|china|58.599998|0|-|-|industrialgoods|0.6|5.99
HHT|6|NASDAQ|2020|02|27|15|30|428800|1.05|0.74|0.89|0.74|generalbuildingmaterials|39.220001|1|1|-|-|233|china|58.599998|0|-|-|industrialgoods|0.6|5.99
HHT|7|NASDAQ|2020|02|26|15|30|23200|0.83|0.73|0.8|0.73|generalbuildingmaterials|39.220001|1|1|-|-|233|china|58.599998|0|-|-|industrialgoods|0.6|5.99
HHT|8|NASDAQ|2020|02|25|15|30|32300|0.8|0.73|0.74|0.79|generalbuildingmaterials|39.220001|1|1|-|-|233|china|58.599998|0|-|-|industrialgoods|0.6|5.99
HHT|9|NASDAQ|2020|02|24|15|30|13100|0.83|0.78|0.78|0.78|generalbuildingmaterials|39.220001|1|1|-|-|233|china|58.599998|0|-|-|industrialgoods|0.6|5.99
HHT|10|NASDAQ|2020|02|21|15|30|31300|0.86|0.8|0.84|0.83|generalbuildingmaterials|39.220001|1|1|-|-|233|china|58.599998|0|-|-|industrialgoods|0.6|5.99
HHT|11|NASDAQ|2020|02|20|15|30|27900|0.86|0.8|0.86|0.8|generalbuildingmaterials|39.220001|1|1|-|-|233|china|58.599998|0|-|-|industrialgoods|0.6|5.99
HHT|12|NASDAQ|2020|02|19|15|30|81700|0.84|0.78|0.84|0.78|generalbuildingmaterials|39.220001|1|1|-|-|233|china|58.599998|0|-|-|industrialgoods|0.6|5.99
HHT|13|NASDAQ|2020|02|18|15|30|169100|0.93|0.79|0.88|0.85|generalbuildingmaterials|39.220001|1|1|-|-|233|china|58.599998|0|-|-|industrialgoods|0.6|5.99
HHT|14|NASDAQ|2020|02|14|15|30|2171000|1.45|0.83|0.95|1.15|generalbuildingmaterials|39.220001|1|1|-|-|233|china|58.599998|0|-|-|industrialgoods|0.6|5.99
