empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
HLIO|0|NASDAQ|2020|03|06|15|30|102800|41.279999|38.810001|41.119999|39.310001|diversifiedmachinery|0.9|1.4|2.5|21.84|0.88|1960|usa|0.52|0.51|14.3|Feb 24 AMC|industrialgoods|86.699997|1320
HLIO|1|NASDAQ|2020|03|05|15|30|84200|43.139999|40.950001|41.189999|42.240002|diversifiedmachinery|0.9|1.4|2.5|21.84|0.88|1960|usa|0.52|0.51|14.3|Feb 24 AMC|industrialgoods|86.699997|1320
HLIO|2|NASDAQ|2020|03|04|15|30|107000|44.110001|41.139999|43.799999|41.950001|diversifiedmachinery|0.9|1.4|2.5|21.84|0.88|1960|usa|0.52|0.51|14.3|Feb 24 AMC|industrialgoods|86.699997|1320
HLIO|3|NASDAQ|2020|03|03|15|30|145900|42.779999|40.099998|41.240002|41.52|diversifiedmachinery|0.9|1.4|2.5|21.84|0.88|1960|usa|0.52|0.51|14.3|Feb 24 AMC|industrialgoods|86.699997|1320
HLIO|4|NASDAQ|2020|03|02|15|30|82900|42.139999|39.240002|41.799999|40.099998|diversifiedmachinery|0.9|1.4|2.5|21.84|0.88|1960|usa|0.52|0.51|14.3|Feb 24 AMC|industrialgoods|86.699997|1320
HLIO|5|NASDAQ|2020|02|28|15|30|149300|39.939999|38.029999|39.75|39.5|diversifiedmachinery|0.9|1.4|2.5|21.84|0.88|1960|usa|0.52|0.51|14.3|Feb 24 AMC|industrialgoods|86.699997|1320
HLIO|6|NASDAQ|2020|02|27|15|30|145100|41.040001|38.560001|39.759998|39.549999|diversifiedmachinery|0.9|1.4|2.5|21.84|0.88|1960|usa|0.52|0.51|14.3|Feb 24 AMC|industrialgoods|86.699997|1320
HLIO|7|NASDAQ|2020|02|26|15|30|130700|43.16|39.700001|40.849998|41.790001|diversifiedmachinery|0.9|1.4|2.5|21.84|0.88|1960|usa|0.52|0.51|14.3|Feb 24 AMC|industrialgoods|86.699997|1320
HLIO|8|NASDAQ|2020|02|25|15|30|354700|49.490002|40.93|41.75|43.540001|diversifiedmachinery|0.9|1.4|2.5|21.84|0.88|1960|usa|0.52|0.51|14.3|Feb 24 AMC|industrialgoods|86.699997|1320
HLIO|9|NASDAQ|2020|02|24|15|30|69500|41.200001|39.080002|39.580002|40.099998|diversifiedmachinery|0.9|1.4|2.5|21.84|0.88|1960|usa|0.52|0.51|14.3|Feb 24 AMC|industrialgoods|86.699997|1320
HLIO|10|NASDAQ|2020|02|21|15|30|59800|43.779999|41.66|41.82|43.779999|diversifiedmachinery|0.9|1.4|2.5|21.84|0.88|1960|usa|0.52|0.51|14.3|Feb 24 AMC|industrialgoods|86.699997|1320
