empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
HOVNP|0|NASDAQ|2020|03|06|15|30|16500|5.3|4.95|5.3|5|residentialconstruction|-|-|-|-|-|1905|usa|-|-|-|-|industrialgoods|6.74|781.039978
HOVNP|1|NASDAQ|2020|03|05|15|30|2900|5.74|5.35|5.74|5.35|residentialconstruction|-|-|-|-|-|1905|usa|-|-|-|-|industrialgoods|6.74|781.039978
HOVNP|2|NASDAQ|2020|03|04|15|30|4900|6|5.54|5.85|5.54|residentialconstruction|-|-|-|-|-|1905|usa|-|-|-|-|industrialgoods|6.74|781.039978
HOVNP|3|NASDAQ|2020|03|03|15|30|1600|5.97|5.68|5.68|5.75|residentialconstruction|-|-|-|-|-|1905|usa|-|-|-|-|industrialgoods|6.74|781.039978
HOVNP|4|NASDAQ|2020|03|02|15|30|0|5.57|5.57|5.57|5.57|residentialconstruction|-|-|-|-|-|1905|usa|-|-|-|-|industrialgoods|6.74|781.039978
HOVNP|5|NASDAQ|2020|02|28|15|30|6900|5.57|4.55|5.57|4.91|residentialconstruction|-|-|-|-|-|1905|usa|-|-|-|-|industrialgoods|6.74|781.039978
HOVNP|6|NASDAQ|2020|02|27|15|30|0|5.7|5.7|5.7|5.7|residentialconstruction|-|-|-|-|-|1905|usa|-|-|-|-|industrialgoods|6.74|781.039978
HOVNP|7|NASDAQ|2020|02|26|15|30|1500|5.7|5.13|5.7|5.26|residentialconstruction|-|-|-|-|-|1905|usa|-|-|-|-|industrialgoods|6.74|781.039978
HOVNP|8|NASDAQ|2020|02|25|15|30|3000|5.74|5.5|5.5|5.74|residentialconstruction|-|-|-|-|-|1905|usa|-|-|-|-|industrialgoods|6.74|781.039978
HOVNP|9|NASDAQ|2020|02|24|15|30|0|5.9|5.9|5.9|5.9|residentialconstruction|-|-|-|-|-|1905|usa|-|-|-|-|industrialgoods|6.74|781.039978
