empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
HQI|0|NASDAQ|2020|03|06|15|30|2500|6.82|6.61|6.61|6.82|staffingoutsourcingservices|63.200001|1.9|1.9|-|-|30|usa|0.24|0|-|-|services|4.8|89.959999
HQI|1|NASDAQ|2020|03|05|15|30|15000|6.98|6.59|6.9|6.65|staffingoutsourcingservices|63.200001|1.9|1.9|-|-|30|usa|0.24|0|-|-|services|4.8|89.959999
HQI|2|NASDAQ|2020|03|04|15|30|7400|6.8|6.7|6.75|6.7|staffingoutsourcingservices|63.200001|1.9|1.9|-|-|30|usa|0.24|0|-|-|services|4.8|89.959999
HQI|3|NASDAQ|2020|03|03|15|30|5900|6.8|6.68|6.73|6.68|staffingoutsourcingservices|63.200001|1.9|1.9|-|-|30|usa|0.24|0|-|-|services|4.8|89.959999
HQI|4|NASDAQ|2020|03|02|15|30|11000|6.76|6.58|6.59|6.76|staffingoutsourcingservices|63.200001|1.9|1.9|-|-|30|usa|0.24|0|-|-|services|4.8|89.959999
HQI|5|NASDAQ|2020|02|28|15|30|38300|6.76|6.2|6.69|6.65|staffingoutsourcingservices|63.200001|1.9|1.9|-|-|30|usa|0.24|0|-|-|services|4.8|89.959999
HQI|6|NASDAQ|2020|02|27|15|30|9300|6.78|6.69|6.75|6.77|staffingoutsourcingservices|63.200001|1.9|1.9|-|-|30|usa|0.24|0|-|-|services|4.8|89.959999
HQI|7|NASDAQ|2020|02|26|15|30|3900|6.8|6.75|6.79|6.76|staffingoutsourcingservices|63.200001|1.9|1.9|-|-|30|usa|0.24|0|-|-|services|4.8|89.959999
HQI|8|NASDAQ|2020|02|25|15|30|6700|6.94|6.62|6.62|6.94|staffingoutsourcingservices|63.200001|1.9|1.9|-|-|30|usa|0.24|0|-|-|services|4.8|89.959999
HQI|9|NASDAQ|2020|02|24|15|30|2400|6.98|6.88|6.88|6.98|staffingoutsourcingservices|63.200001|1.9|1.9|-|-|30|usa|0.24|0|-|-|services|4.8|89.959999
HQI|10|NASDAQ|2020|02|21|15|30|2100|6.78|6.78|6.78|6.78|staffingoutsourcingservices|63.200001|1.9|1.9|-|-|30|usa|0.24|0|-|-|services|4.8|89.959999
HQI|11|NASDAQ|2020|02|20|15|30|1300|6.78|6.76|6.76|6.78|staffingoutsourcingservices|63.200001|1.9|1.9|-|-|30|usa|0.24|0|-|-|services|4.8|89.959999
HQI|12|NASDAQ|2020|02|19|15|30|16600|6.85|6.65|6.65|6.85|staffingoutsourcingservices|63.200001|1.9|1.9|-|-|30|usa|0.24|0|-|-|services|4.8|89.959999
