empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
HTLD|0|NASDAQ|2020|03|06|15|30|293000|18.17|17.48|18.16|17.540001|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|1|NASDAQ|2020|03|05|15|30|286800|18.219999|17.84|18|17.91|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|2|NASDAQ|2020|03|04|15|30|282200|18.379999|17.790001|18.299999|18.15|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|3|NASDAQ|2020|03|03|15|30|276100|18.42|17.799999|17.969999|18.110001|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|4|NASDAQ|2020|03|02|15|30|348700|18.15|17.629999|18.110001|17.99|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|5|NASDAQ|2020|02|28|15|30|504700|18.17|17.5|17.91|17.709999|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|6|NASDAQ|2020|02|27|15|30|402900|18.52|17.67|18.16|17.92|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|7|NASDAQ|2020|02|26|15|30|128400|19.07|18.290001|18.290001|18.9|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|8|NASDAQ|2020|02|25|15|30|297900|19.35|18.65|18.780001|19.34|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|9|NASDAQ|2020|02|24|15|30|150100|19.42|19.1|19.34|19.389999|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|10|NASDAQ|2020|02|21|15|30|173000|20.129999|19.790001|19.969999|20.030001|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|11|NASDAQ|2020|02|20|15|30|202900|20.129999|19.76|20.08|19.959999|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|12|NASDAQ|2020|02|19|15|30|149300|20.139999|19.629999|20.030001|19.83|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|13|NASDAQ|2020|02|18|15|30|165100|20.09|19.610001|19.76|19.76|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|14|NASDAQ|2020|02|14|15|30|145100|20.280001|19.75|19.84|20.280001|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|15|NASDAQ|2020|02|13|15|30|194500|20.26|19.879999|20.26|19.879999|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|16|NASDAQ|2020|02|12|15|30|212500|20.1|19.65|20.030001|19.780001|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|17|NASDAQ|2020|02|11|15|30|255100|19.93|19.530001|19.68|19.639999|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|18|NASDAQ|2020|02|10|15|30|191100|19.77|19.450001|19.6|19.67|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|19|NASDAQ|2020|02|07|15|30|293700|20.16|19.41|19.73|19.629999|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|20|NASDAQ|2020|02|06|15|30|206200|19.83|19.440001|19.48|19.67|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|21|NASDAQ|2020|02|05|15|30|214000|19.68|19.200001|19.57|19.370001|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|22|NASDAQ|2020|02|04|15|30|204500|19.379999|19.02|19.209999|19.200001|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|23|NASDAQ|2020|02|03|15|30|1029400|19.129999|18.83|19.049999|18.889999|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|24|NASDAQ|2020|01|31|15|30|255600|19.07|18.620001|18.690001|18.98|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|25|NASDAQ|2020|01|30|15|30|202800|19.129999|18.75|19.1|18.83|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|26|NASDAQ|2020|01|29|15|30|259100|19.43|19.01|19.02|19.040001|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|27|NASDAQ|2020|01|28|15|30|278100|19.290001|18.969999|18.98|19.15|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|28|NASDAQ|2020|01|27|15|30|295100|19.299999|18.99|19.15|19.24|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|29|NASDAQ|2020|01|24|15|30|598300|20.219999|19.4|19.530001|20.219999|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|30|NASDAQ|2020|01|23|15|30|496100|20.559999|19.67|20.26|20.190001|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|31|NASDAQ|2020|01|22|15|30|210200|20.889999|20.24|20.360001|20.889999|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
HTLD|32|NASDAQ|2020|01|21|15|30|179900|21.1|20.719999|20.76|21|trucking|1.3|2.4|2.4|20.4|0.44|4050|usa|0|0|31.18|Jan 28 BMO|services|56.200001|1510
