empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
INCY|0|NASDAQ|2020|03|06|15|30|1800100|76.900002|74.82|76.040001|75.18|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|1|NASDAQ|2020|03|05|15|30|1430200|80.150002|78|78.610001|78.349998|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|2|NASDAQ|2020|03|04|15|30|2043800|80.239998|77.849998|80.160004|79.150002|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|3|NASDAQ|2020|03|03|15|30|1939400|79.769997|76.629997|77.800003|78.550003|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|4|NASDAQ|2020|03|02|15|30|2261300|79.099998|75.349998|79.059998|75.730003|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|5|NASDAQ|2020|02|28|15|30|2525500|76.440002|73.5|75.410004|73.690002|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|6|NASDAQ|2020|02|27|15|30|1641700|78.379997|75.639999|75.839996|76.949997|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|7|NASDAQ|2020|02|26|15|30|1442300|79.220001|76.970001|77.970001|78.059998|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|8|NASDAQ|2020|02|25|15|30|2174600|79.690002|76.769997|77.32|79.059998|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|9|NASDAQ|2020|02|24|15|30|1366400|80.309998|77.419998|78.870003|79.879997|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|10|NASDAQ|2020|02|21|15|30|1414000|82.739998|80.379997|80.889999|82.279999|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|11|NASDAQ|2020|02|20|15|30|2653300|83.120003|80.93|82.769997|82|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|12|NASDAQ|2020|02|19|15|30|1895400|82.589996|79.639999|82.419998|79.690002|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|13|NASDAQ|2020|02|18|15|30|1209900|79.330002|78.129997|79.300003|79|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|14|NASDAQ|2020|02|14|15|30|1370200|78.459999|77.449997|78.449997|78.010002|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|15|NASDAQ|2020|02|13|15|30|2227400|78.440002|75.010002|78.050003|77.599998|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|16|NASDAQ|2020|02|12|15|30|2120000|77.160004|75.25|75.830002|76.400002|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|17|NASDAQ|2020|02|11|15|30|985500|76.779999|75.160004|76.139999|75.279999|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|18|NASDAQ|2020|02|10|15|30|849700|75.260002|73.510002|75.110001|73.660004|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|19|NASDAQ|2020|02|07|15|30|843100|75.739998|74.080002|74.139999|75.660004|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|20|NASDAQ|2020|02|06|15|30|906800|76.190002|74.660004|75.809998|76.190002|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|21|NASDAQ|2020|02|05|15|30|1384700|77.330002|74.5|76|74.559998|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|22|NASDAQ|2020|02|04|15|30|1066800|74.519997|73|73.879997|73.730003|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|23|NASDAQ|2020|02|03|15|30|1258200|74.099998|72.57|72.940002|73.949997|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|24|NASDAQ|2020|01|31|15|30|1480100|73.599998|71.839996|73.07|72.550003|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|25|NASDAQ|2020|01|30|15|30|1482000|74.550003|72.970001|73.139999|74.550003|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|26|NASDAQ|2020|01|29|15|30|1270200|76.349998|74.82|74.989998|76.089996|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|27|NASDAQ|2020|01|28|15|30|2016300|79.059998|75.370003|76.459999|79|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|28|NASDAQ|2020|01|27|15|30|1097500|76.43|75.239998|76.07|75.68|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|29|NASDAQ|2020|01|24|15|30|1299000|78.760002|75.830002|76.739998|78.150002|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|30|NASDAQ|2020|01|23|15|30|1167100|78.93|77.449997|78.239998|78.57|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|31|NASDAQ|2020|01|22|15|30|845400|79.529999|78.220001|78.480003|78.830002|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|32|NASDAQ|2020|01|21|15|30|1228500|80.260002|78.459999|78.650002|80.169998|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|33|NASDAQ|2020|01|17|15|30|1418500|81.110001|80.050003|80.5|80.980003|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|34|NASDAQ|2020|01|16|15|30|1343500|81.57|80.290001|80.620003|81.080002|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|35|NASDAQ|2020|01|15|15|30|1105100|82.379997|80.290001|80.540001|81.120003|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
INCY|36|NASDAQ|2020|01|14|15|30|2830600|81.639999|77.099998|81.470001|77.379997|biotechnology|0.4|4.8|4.8|37.040001|-|1456|usa|0.02|0.01|25.639999|Feb 13 BMO|healthcare|93.5|16580
