empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|Earnings|sector|Inst Own|Market Cap
INOD|0|NASDAQ|2020|03|06|15|30|54700|1.21|1.11|1.15|1.11|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|1|NASDAQ|2020|03|05|15|30|13700|1.17|1.12|1.12|1.12|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|2|NASDAQ|2020|03|04|15|30|16400|1.2|1.18|1.18|1.18|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|3|NASDAQ|2020|03|03|15|30|7200|1.18|1.15|1.18|1.15|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|4|NASDAQ|2020|03|02|15|30|41200|1.16|1.12|1.15|1.14|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|5|NASDAQ|2020|02|28|15|30|2300|1.16|1.15|1.15|1.16|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|6|NASDAQ|2020|02|27|15|30|34600|1.18|1.15|1.17|1.17|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|7|NASDAQ|2020|02|26|15|30|7900|1.18|1.13|1.15|1.13|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|8|NASDAQ|2020|02|25|15|30|2500|1.19|1.12|1.18|1.12|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|9|NASDAQ|2020|02|24|15|30|61100|1.19|1.11|1.19|1.14|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|10|NASDAQ|2020|02|21|15|30|12400|1.18|1.14|1.14|1.18|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|11|NASDAQ|2020|02|20|15|30|8000|1.21|1.16|1.2|1.16|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|12|NASDAQ|2020|02|19|15|30|5300|1.2|1.16|1.18|1.16|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|13|NASDAQ|2020|02|18|15|30|31800|1.17|1.1|1.17|1.1|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|14|NASDAQ|2020|02|14|15|30|28000|1.17|1.12|1.13|1.17|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|15|NASDAQ|2020|02|13|15|30|10200|1.18|1.15|1.15|1.15|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|16|NASDAQ|2020|02|12|15|30|12600|1.21|1.15|1.15|1.2|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|17|NASDAQ|2020|02|11|15|30|8500|1.21|1.2|1.21|1.2|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
INOD|18|NASDAQ|2020|02|10|15|30|29600|1.22|1.18|1.21|1.2|informationtechnologyservices|11.3|1.7|1.7|-|-|4750|usa|0.13|0.11|-|Mar 12 BMO|technology|13.5|29.9
