empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
MOR|9|NASDAQ|2020|01|08|15|30|36700|36.09|35.490002|35.77|35.619999|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|99|NASDAQ|2019|08|29|15|30|24300|30.15|29.780001|30.09|30.09|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|98|NASDAQ|2019|08|30|15|30|25900|29.969999|29.299999|29.48|29.889999|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|97|NASDAQ|2019|09|03|15|30|40100|29.27|28.83|28.9|29.120001|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|96|NASDAQ|2019|09|04|15|30|37000|29.245001|28.799999|29.09|28.950001|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|95|NASDAQ|2019|09|05|15|30|26300|29.33|28.905001|29.059999|29.290001|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|94|NASDAQ|2019|09|06|15|30|13800|29.620001|29.27|29.42|29.4|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|93|NASDAQ|2019|09|09|15|30|28500|29.43|28.98|29.01|29.43|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|92|NASDAQ|2019|09|10|15|30|27500|28.860001|27.91|28.84|28.030001|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|91|NASDAQ|2019|09|11|15|30|57000|29.379999|28.969999|29.24|28.969999|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|90|NASDAQ|2019|09|12|15|30|35500|29.58|29.16|29.25|29.299999|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|8|NASDAQ|2020|01|09|15|30|65900|37.740002|37.349998|37.360001|37.580002|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|89|NASDAQ|2019|09|13|15|30|271900|29.559999|28.889999|29.51|28.969999|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|88|NASDAQ|2019|09|16|15|30|110400|29.120001|28.719999|29.07|28.74|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|87|NASDAQ|2019|09|17|15|30|18800|29.24|28.85|29.200001|28.85|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|86|NASDAQ|2019|09|18|15|30|128800|29.34|28.950001|29.209999|29.165001|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
MOR|85|NASDAQ|2019|09|19|15|30|71200|29.459999|29.139999|29.299999|29.25|biotechnology|-|-|-|-|-|405|germany|-|-|-213.800003|Jan 28 AMC|healthcare|7.46
