empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
OLLI|9|NASDAQ|2020|01|08|15|30|682800|61.810001|60.419998|60.790001|61.07|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|99|NASDAQ|2019|08|29|15|30|15778900|59.900002|54.27|56.360001|57.900002|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|98|NASDAQ|2019|08|30|15|30|4146000|58.900002|54.810001|55.450001|56.700001|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|97|NASDAQ|2019|09|03|15|30|2196900|55.400002|54.311001|54.599998|54.75|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|96|NASDAQ|2019|09|04|15|30|2008000|57.459999|54.599998|56.810001|54.720001|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|95|NASDAQ|2019|09|05|15|30|2349100|59.5|57.040001|59.200001|57.650002|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|94|NASDAQ|2019|09|06|15|30|2429900|61.650002|59.07|61.419998|59.07|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|93|NASDAQ|2019|09|09|15|30|2146700|62.740002|61.305|62.66|61.66|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|92|NASDAQ|2019|09|10|15|30|1599700|64.68|62.029999|64.190002|62.52|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|91|NASDAQ|2019|09|11|15|30|1236900|65.699997|63.93|64.120003|65.260002|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|90|NASDAQ|2019|09|12|15|30|1577500|64.040001|61.824001|63.139999|63.950001|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|8|NASDAQ|2020|01|09|15|30|1315400|60.549999|58.57|58.82|60.310001|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|89|NASDAQ|2019|09|13|15|30|921100|64.25|62.360001|63.73|63.02|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|88|NASDAQ|2019|09|16|15|30|1271900|64.470001|61.459999|62.139999|64.470001|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|87|NASDAQ|2019|09|17|15|30|1026500|62.68|61.16|62.580002|61.790001|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|86|NASDAQ|2019|09|18|15|30|1023800|62.650002|60.380001|61.43|62.200001|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|85|NASDAQ|2019|09|19|15|30|839600|62.099998|60.77|61.700001|61.369999|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|84|NASDAQ|2019|09|20|15|30|1511400|63.084999|61.029999|62.540001|62.009998|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|83|NASDAQ|2019|09|23|15|30|1078700|64.290001|62.84|63.43|63.110001|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|82|NASDAQ|2019|09|24|15|30|1278000|64.099998|61.110001|61.400002|63.25|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|81|NASDAQ|2019|09|25|15|30|1071600|61.400002|59.400002|60.869999|61.130001|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|80|NASDAQ|2019|09|26|15|30|1118900|61.150002|59.669998|60.93|61.150002|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|7|NASDAQ|2020|01|10|15|30|1077500|59.27|57.700001|57.77|58.82|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|79|NASDAQ|2019|09|27|15|30|988700|61.259998|59.209999|59.860001|60.990002|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|78|NASDAQ|2019|09|30|15|30|1648500|59.860001|58|58.639999|59.669998|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|77|NASDAQ|2019|10|01|15|30|1419400|58.889999|57.290001|58.400002|58.880001|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|76|NASDAQ|2019|10|02|15|30|1811800|57.799999|54.110001|55.02|57.799999|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
OLLI|75|NASDAQ|2019|10|03|15|30|1033300|56.459999|54.650002|56.43|55.060001|discountvarietystores|0.2|0.1|2.1|24.889999|-|3400|usa|0|0|16.620001|Dec 10 AMC|services|-
