empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
OXLCM|9|NASDAQ|2020|01|08|15|30|1600|25.700001|25.68|25.700001|25.68|assetmanagement|-|-|-|-|6.57|-|usa|-|-|-|-|financial|0.02
OXLCM|99|NASDAQ|2019|08|29|15|30|1500|25.629999|25.549999|25.551001|25.549999|assetmanagement|-|-|-|-|6.57|-|usa|-|-|-|-|financial|0.02
OXLCM|98|NASDAQ|2019|08|30|15|30|700|25.629999|25.43|25.629999|25.43|assetmanagement|-|-|-|-|6.57|-|usa|-|-|-|-|financial|0.02
OXLCM|97|NASDAQ|2019|09|03|15|30|2100|25.83|25.618|25.618|25.629999|assetmanagement|-|-|-|-|6.57|-|usa|-|-|-|-|financial|0.02
OXLCM|96|NASDAQ|2019|09|04|15|30|1600|25.83|25.450001|25.691999|25.83|assetmanagement|-|-|-|-|6.57|-|usa|-|-|-|-|financial|0.02
OXLCM|95|NASDAQ|2019|09|05|15|30|1600|25.92|25.83|25.892|25.83|assetmanagement|-|-|-|-|6.57|-|usa|-|-|-|-|financial|0.02
OXLCM|94|NASDAQ|2019|09|06|15|30|0|25.892|25.892|25.892|25.892|assetmanagement|-|-|-|-|6.57|-|usa|-|-|-|-|financial|0.02
OXLCM|93|NASDAQ|2019|09|09|15|30|0|25.892|25.892|25.892|25.892|assetmanagement|-|-|-|-|6.57|-|usa|-|-|-|-|financial|0.02
OXLCM|92|NASDAQ|2019|09|10|15|30|0|25.892|25.892|25.892|25.892|assetmanagement|-|-|-|-|6.57|-|usa|-|-|-|-|financial|0.02
OXLCM|91|NASDAQ|2019|09|11|15|30|0|25.892|25.892|25.892|25.892|assetmanagement|-|-|-|-|6.57|-|usa|-|-|-|-|financial|0.02
OXLCM|90|NASDAQ|2019|09|12|15|30|1900|25.6|25.545|25.6|25.6|assetmanagement|-|-|-|-|6.57|-|usa|-|-|-|-|financial|0.02
OXLCM|8|NASDAQ|2020|01|09|15|30|400|25.870001|25.870001|25.870001|25.870001|assetmanagement|-|-|-|-|6.57|-|usa|-|-|-|-|financial|0.02
OXLCM|89|NASDAQ|2019|09|13|15|30|2500|25.6|25.530001|25.58|25.6|assetmanagement|-|-|-|-|6.57|-|usa|-|-|-|-|financial|0.02
OXLCM|88|NASDAQ|2019|09|16|15|30|1400|25.559999|25.52|25.556|25.52|assetmanagement|-|-|-|-|6.57|-|usa|-|-|-|-|financial|0.02
OXLCM|87|NASDAQ|2019|09|17|15|30|1800|25.559999|25.540001|25.548|25.559999|assetmanagement|-|-|-|-|6.57|-|usa|-|-|-|-|financial|0.02
