empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
PRSC|9|NASDAQ|2020|01|08|15|30|57400|60.93|59.599998|60.330002|60.09|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|99|NASDAQ|2019|08|29|15|30|44300|57.130001|55.75|56.299999|55.91|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|98|NASDAQ|2019|08|30|15|30|85100|57.52|55.990002|56.209999|56.299999|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|97|NASDAQ|2019|09|03|15|30|74100|56.200001|55.419998|55.75|55.91|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|96|NASDAQ|2019|09|04|15|30|86300|56.580002|55.75|55.849998|55.75|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|95|NASDAQ|2019|09|05|15|30|63200|57.720001|55.709999|57.139999|56.099998|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|94|NASDAQ|2019|09|06|15|30|72100|58.139999|56.25|57.380001|57.18|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|93|NASDAQ|2019|09|09|15|30|36900|59.369999|57.27|58.790001|57.389999|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|92|NASDAQ|2019|09|10|15|30|82600|60.259998|58.049999|60.119999|58.279999|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|91|NASDAQ|2019|09|11|15|30|54300|61.709999|59.990002|61.439999|60.18|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|90|NASDAQ|2019|09|12|15|30|49600|61.779999|60.23|61.330002|61.5|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|8|NASDAQ|2020|01|09|15|30|92500|62.869999|60.509998|62.41|60.560001|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|89|NASDAQ|2019|09|13|15|30|46500|62.32|60.52|60.849998|61.43|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|88|NASDAQ|2019|09|16|15|30|54000|61.639999|60.540001|61.299999|60.580002|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|87|NASDAQ|2019|09|17|15|30|46700|62.119999|60.27|61.709999|61.009998|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|86|NASDAQ|2019|09|18|15|30|61700|61.91|59.290001|59.990002|61.639999|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|85|NASDAQ|2019|09|19|15|30|67500|60.529999|59|59.139999|60.02|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
PRSC|84|NASDAQ|2019|09|20|15|30|114000|60.049999|58.48|58.84|59.09|specializedhealthservices|0.7|1.5|1.5|49.849998|-|4000|usa|0|0|84.029999|Feb 05 AMC|healthcare|99.800003
