empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
SORL|9|NASDAQ|2020|01|08|15|30|98300|4.59|4.49|4.54|4.55|automanufacturersmajor|5.9|0.7|1.1|4|-|6459|china|1.21|0.02|-12.39|Feb 13 AMC|consumergoods|4.6
SORL|99|NASDAQ|2019|08|29|15|30|3900|3.27|3.24|3.25|3.24|automanufacturersmajor|5.9|0.7|1.1|4|-|6459|china|1.21|0.02|-12.39|Feb 13 AMC|consumergoods|4.6
SORL|98|NASDAQ|2019|08|30|15|30|4500|3.24|3.14|3.18|3.24|automanufacturersmajor|5.9|0.7|1.1|4|-|6459|china|1.21|0.02|-12.39|Feb 13 AMC|consumergoods|4.6
SORL|97|NASDAQ|2019|09|03|15|30|9200|3.26|3.15|3.26|3.19|automanufacturersmajor|5.9|0.7|1.1|4|-|6459|china|1.21|0.02|-12.39|Feb 13 AMC|consumergoods|4.6
SORL|96|NASDAQ|2019|09|04|15|30|17300|3.26|3.15|3.15|3.22|automanufacturersmajor|5.9|0.7|1.1|4|-|6459|china|1.21|0.02|-12.39|Feb 13 AMC|consumergoods|4.6
SORL|95|NASDAQ|2019|09|05|15|30|32100|3.28|3.2|3.27|3.22|automanufacturersmajor|5.9|0.7|1.1|4|-|6459|china|1.21|0.02|-12.39|Feb 13 AMC|consumergoods|4.6
SORL|94|NASDAQ|2019|09|06|15|30|22200|3.27|3.15|3.26|3.27|automanufacturersmajor|5.9|0.7|1.1|4|-|6459|china|1.21|0.02|-12.39|Feb 13 AMC|consumergoods|4.6
SORL|93|NASDAQ|2019|09|09|15|30|14700|3.26|3.2|3.23|3.22|automanufacturersmajor|5.9|0.7|1.1|4|-|6459|china|1.21|0.02|-12.39|Feb 13 AMC|consumergoods|4.6
SORL|92|NASDAQ|2019|09|10|15|30|3500|3.25|3.15|3.21|3.15|automanufacturersmajor|5.9|0.7|1.1|4|-|6459|china|1.21|0.02|-12.39|Feb 13 AMC|consumergoods|4.6
SORL|91|NASDAQ|2019|09|11|15|30|33800|3.27|3.21|3.26|3.22|automanufacturersmajor|5.9|0.7|1.1|4|-|6459|china|1.21|0.02|-12.39|Feb 13 AMC|consumergoods|4.6
