empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
TCBK|9|NASDAQ|2020|01|08|15|30|76900|40.18|39.669998|40.029999|39.689999|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|99|NASDAQ|2019|08|29|15|30|52700|35.5|35.02|35.150002|35.02|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|98|NASDAQ|2019|08|30|15|30|54700|35.450001|35|35.360001|35.450001|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|97|NASDAQ|2019|09|03|15|30|90600|35.23|34.639999|34.919998|35.119999|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|96|NASDAQ|2019|09|04|15|30|51800|35.25|34.91|35.009998|35.240002|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|95|NASDAQ|2019|09|05|15|30|80300|35.950001|35|35.34|35.400002|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|94|NASDAQ|2019|09|06|15|30|29600|35.459999|34.77|34.970001|35.459999|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|93|NASDAQ|2019|09|09|15|30|94000|35.700001|35.02|35.669998|35.080002|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|92|NASDAQ|2019|09|10|15|30|56900|36.169998|35.610001|36.060001|35.73|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|91|NASDAQ|2019|09|11|15|30|66000|36.75|35.959999|36.700001|36.32|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|90|NASDAQ|2019|09|12|15|30|157700|36.799999|36.099998|36.52|36.450001|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|8|NASDAQ|2020|01|09|15|30|40000|40.32|39.77|39.779999|40.130001|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|89|NASDAQ|2019|09|13|15|30|64900|37.310001|36.43|37.18|36.740002|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|88|NASDAQ|2019|09|16|15|30|46900|37.330002|36.75|37.080002|36.950001|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|87|NASDAQ|2019|09|17|15|30|37400|36.91|36.369999|36.810001|36.91|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|86|NASDAQ|2019|09|18|15|30|63900|36.810001|36.349998|36.599998|36.790001|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|85|NASDAQ|2019|09|19|15|30|56800|37.209999|36.470001|36.560001|36.669998|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|84|NASDAQ|2019|09|20|15|30|159700|37.029999|36.459999|36.959999|36.470001|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|83|NASDAQ|2019|09|23|15|30|50300|37.02|36.490002|36.869999|36.849998|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|82|NASDAQ|2019|09|24|15|30|80000|37.040001|36.48|36.639999|36.869999|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|81|NASDAQ|2019|09|25|15|30|47600|37.18|36.669998|37.060001|36.810001|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|80|NASDAQ|2019|09|26|15|30|41300|37.02|36.139999|36.299999|36.900002|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|7|NASDAQ|2020|01|10|15|30|52300|39.84|39.5|39.59|39.669998|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|79|NASDAQ|2019|09|27|15|30|45400|36.799999|36.310001|36.41|36.639999|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|78|NASDAQ|2019|09|30|15|30|80600|36.619999|36.119999|36.299999|36.470001|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|77|NASDAQ|2019|10|01|15|30|48700|36.700001|35.290001|35.389999|36.450001|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|76|NASDAQ|2019|10|02|15|30|49200|35.41|34.849998|35.25|35.130001|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|75|NASDAQ|2019|10|03|15|30|67100|35.349998|34.91|35.220001|35.169998|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|74|NASDAQ|2019|10|04|15|30|42200|35.709999|35.049999|35.669998|35.330002|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|73|NASDAQ|2019|10|07|15|30|38600|35.73|35.389999|35.619999|35.509998|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|72|NASDAQ|2019|10|08|15|30|36600|35.490002|34.98|35.049999|35.200001|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|71|NASDAQ|2019|10|09|15|30|41400|35.25|34.939999|35.049999|35.169998|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|70|NASDAQ|2019|10|10|15|30|42800|35.380001|34.990002|35.09|35.029999|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|6|NASDAQ|2020|01|13|15|30|49500|39.849998|39.52|39.759998|39.599998|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|69|NASDAQ|2019|10|11|15|30|56100|36.07|35.369999|35.639999|35.470001|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|68|NASDAQ|2019|10|14|15|30|39000|35.580002|35.25|35.419998|35.509998|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|67|NASDAQ|2019|10|15|15|30|48700|35.82|35.330002|35.57|35.560001|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|66|NASDAQ|2019|10|16|15|30|53300|35.939999|35.43|35.84|35.43|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
TCBK|65|NASDAQ|2019|10|17|15|30|68400|36.18|35.75|36.150002|35.93|regionalpacificbanks|5.1|-|-|12.08|2.42|1174|usa|0.06|0.06|-3.21|Jan 28 AMC|financial|63.099998
