empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
TLT|9|NASDAQ|2020|01|08|15|30|10621700|138.309998|136.320007|136.740005|137.929993|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|99|NASDAQ|2019|08|29|15|30|8884900|147.339996|146.130005|147.240005|147.25|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|98|NASDAQ|2019|08|30|15|30|13550800|147.479996|146.360001|147.279999|146.610001|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|97|NASDAQ|2019|09|03|15|30|15660800|148.669998|146.570007|147.210007|147.089996|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|96|NASDAQ|2019|09|04|15|30|7962200|147.619995|146.479996|147.429993|146.529999|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|95|NASDAQ|2019|09|05|15|30|19382900|145.800003|143.889999|144.759995|145.660004|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|94|NASDAQ|2019|09|06|15|30|9466400|146.029999|145.080002|145.789993|145.259995|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|93|NASDAQ|2019|09|09|15|30|15862700|144|143.190002|143.199997|143.830002|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|92|NASDAQ|2019|09|10|15|30|13851400|143.289993|140.660004|140.690002|142.839996|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|91|NASDAQ|2019|09|11|15|30|10941700|141.149994|140.389999|140.440002|140.399994|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|90|NASDAQ|2019|09|12|15|30|19163300|141.800003|139.059998|139.520004|141.5|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|8|NASDAQ|2020|01|09|15|30|7411500|137.440002|135.910004|137.220001|136|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|89|NASDAQ|2019|09|13|15|30|18922200|138.710007|136.539993|136.539993|138.279999|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|88|NASDAQ|2019|09|16|15|30|10971600|138.570007|137.25|138.279999|137.880005|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|87|NASDAQ|2019|09|17|15|30|9081200|139.600006|138.020004|139.029999|138.360001|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|86|NASDAQ|2019|09|18|15|30|10984600|140.660004|139.529999|139.619995|139.929993|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|85|NASDAQ|2019|09|19|15|30|13176200|140.990005|139.970001|140.039993|140.759995|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|84|NASDAQ|2019|09|20|15|30|11519800|141.979996|140.440002|141.889999|140.770004|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|83|NASDAQ|2019|09|23|15|30|15246700|143.160004|141.699997|141.860001|142.240005|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|82|NASDAQ|2019|09|24|15|30|12421600|143.850006|142.410004|143.570007|142.419998|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|81|NASDAQ|2019|09|25|15|30|14147100|143.550003|141.139999|141.470001|143.259995|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|80|NASDAQ|2019|09|26|15|30|9636500|142.990005|141.899994|142.380005|142.270004|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|7|NASDAQ|2020|01|10|15|30|8776000|138.470001|137.630005|138.440002|137.669998|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|79|NASDAQ|2019|09|27|15|30|10386900|142.979996|142.139999|142.729996|142.320007|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|78|NASDAQ|2019|09|30|15|30|8006900|143.089996|141.839996|143.080002|141.880005|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|77|NASDAQ|2019|10|01|15|30|16613700|143.910004|141.139999|143.259995|141.259995|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|76|NASDAQ|2019|10|02|15|30|12891500|144.270004|143.240005|143.610001|143.460007|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|75|NASDAQ|2019|10|03|15|30|13470500|145.669998|143.919998|144.919998|143.979996|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|74|NASDAQ|2019|10|04|15|30|11516200|146.029999|145.199997|145.990005|145.350006|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|73|NASDAQ|2019|10|07|15|30|11013900|145.529999|144.710007|144.779999|145.160004|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|72|NASDAQ|2019|10|08|15|30|14529700|145.929993|144.619995|145.169998|145.820007|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|71|NASDAQ|2019|10|09|15|30|8608800|144.610001|143.800003|144.350006|144.600006|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|70|NASDAQ|2019|10|10|15|30|15054200|143.179993|141.729996|142.199997|143.119995|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|6|NASDAQ|2020|01|13|15|30|5966900|138.089996|137.389999|138.020004|137.880005|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|69|NASDAQ|2019|10|11|15|30|26294000|141.100006|139.710007|140.440002|140.979996|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|68|NASDAQ|2019|10|14|15|30|5936900|141.509995|141.080002|141.460007|141.479996|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|67|NASDAQ|2019|10|15|15|30|11832300|140.949997|139.550003|139.75|140.669998|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|66|NASDAQ|2019|10|16|15|30|7729500|140.059998|139.350006|139.919998|139.639999|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|65|NASDAQ|2019|10|17|15|30|6219300|140.380005|139.300003|139.580002|139.520004|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|64|NASDAQ|2019|10|18|15|30|6456100|140.229996|139.449997|139.580002|139.809998|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|63|NASDAQ|2019|10|21|15|30|8038000|138.990005|138.229996|138.529999|138.570007|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|62|NASDAQ|2019|10|22|15|30|6683300|139.529999|138.639999|139.339996|139.380005|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|61|NASDAQ|2019|10|23|15|30|5995400|140.309998|139.360001|139.479996|140.029999|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|60|NASDAQ|2019|10|24|15|30|6161700|140.240005|139.029999|139.199997|139.679993|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|5|NASDAQ|2020|01|14|15|30|13920300|138.820007|138.139999|138.729996|138.179993|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|59|NASDAQ|2019|10|25|15|30|5669800|139.550003|138.309998|138.520004|139.529999|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|58|NASDAQ|2019|10|28|14|30|11402100|137.580002|136.990005|137.259995|137.580002|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|57|NASDAQ|2019|10|29|14|30|5296600|137.740005|137.169998|137.350006|137.619995|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|56|NASDAQ|2019|10|30|14|30|10914100|139.449997|137.770004|139.360001|137.770004|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|55|NASDAQ|2019|10|31|14|30|15834100|141.679993|140.429993|141.240005|140.479996|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|54|NASDAQ|2019|11|01|14|30|11425500|141.270004|139.789993|140.559998|140.729996|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|53|NASDAQ|2019|11|04|15|30|11124300|139.139999|138.529999|138.710007|138.970001|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|52|NASDAQ|2019|11|05|15|30|13493000|137.440002|136.729996|137.149994|137.220001|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|51|NASDAQ|2019|11|06|15|30|9351900|138.410004|137.339996|137.979996|138.020004|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|50|NASDAQ|2019|11|07|15|30|19209800|136.360001|134.449997|135.479996|136.350006|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
TLT|4|NASDAQ|2020|01|15|15|30|6290500|139.759995|139.020004|139.649994|139.520004|exchangetradedfund|-|-|-|-|2.14|-|usa|-|-|-|-|financial|-
