empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
MEDP|9|NASDAQ|2020|01|15|15|30|279800|89.489998|86.269997|89.129997|86.269997|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|99|NASDAQ|2019|09|06|15|30|271400|83.949997|82.269997|82.989998|83.050003|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|98|NASDAQ|2019|09|09|15|30|271600|83.730003|80.894997|81.110001|83.540001|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|97|NASDAQ|2019|09|10|15|30|525400|81.900002|78.5|80.489998|81|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|96|NASDAQ|2019|09|11|15|30|303400|82.490997|79.599998|81.360001|80.389999|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|95|NASDAQ|2019|09|12|15|30|319100|83.300003|81.080002|81.919998|81.410004|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|94|NASDAQ|2019|09|13|15|30|474400|85.989998|81.959999|85.650002|82.110001|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|93|NASDAQ|2019|09|16|15|30|528900|86.498001|83.5|84.440002|85.989998|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|92|NASDAQ|2019|09|17|15|30|350800|86.160004|84.419998|85.889999|84.620003|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|91|NASDAQ|2019|09|18|15|30|193200|86.209999|84.120003|84.730003|85.900002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|90|NASDAQ|2019|09|19|15|30|423900|86.709999|84.760002|84.830002|85.019997|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|8|NASDAQ|2020|01|16|15|30|178700|91.150002|88.980003|91.040001|89.099998|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|89|NASDAQ|2019|09|20|15|30|598000|85.877998|84.260002|85|84.720001|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|88|NASDAQ|2019|09|23|15|30|232900|85.309998|84.459999|84.879997|84.699997|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|87|NASDAQ|2019|09|24|15|30|273600|86.459999|84.540001|84.639999|85.650002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|86|NASDAQ|2019|09|25|15|30|212700|85.199997|83.080002|85.019997|84.459999|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|85|NASDAQ|2019|09|26|15|30|231600|85.360001|83.57|83.839996|84.870003|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|84|NASDAQ|2019|09|27|15|30|299700|84.620003|82.769997|83.129997|84.290001|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|83|NASDAQ|2019|09|30|15|30|328100|85.014999|82.540001|84.040001|83.150002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|82|NASDAQ|2019|10|01|15|30|292800|84.940002|81.879997|82.400002|84.639999|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|81|NASDAQ|2019|10|02|15|30|454300|82.900002|79.470001|80.110001|82.400002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|80|NASDAQ|2019|10|03|15|30|604000|80.529999|76.169998|78.650002|79.900002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|7|NASDAQ|2020|01|17|15|30|167900|92.07|90.050003|90.949997|91.550003|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|79|NASDAQ|2019|10|04|15|30|245600|80.779999|78.514999|80.690002|78.669998|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|78|NASDAQ|2019|10|07|15|30|268600|81.639999|80.029999|80.290001|80.349998|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|77|NASDAQ|2019|10|08|15|30|633600|79.790001|76.650002|77.139999|79.779999|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|76|NASDAQ|2019|10|09|15|30|366900|79.639999|77.57|78.889999|78.029999|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|75|NASDAQ|2019|10|10|15|30|225200|79.5|77.730003|78.239998|78.580002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|74|NASDAQ|2019|10|11|15|30|252100|80.529999|78.629997|78.739998|79.139999|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|73|NASDAQ|2019|10|14|15|30|527200|79.315002|77.410004|78.040001|78.959999|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|72|NASDAQ|2019|10|15|15|30|255400|81.084999|78.550003|80.32|78.550003|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|71|NASDAQ|2019|10|16|15|30|479300|80.470001|77.978996|78.010002|79.690002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|70|NASDAQ|2019|10|17|15|30|479200|79.239998|77.199997|77.940002|78.080002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|6|NASDAQ|2020|01|21|15|30|111000|91.809998|90.18|91.080002|90.629997|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|69|NASDAQ|2019|10|18|15|30|324300|77.870003|75.669998|77.260002|77.470001|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|68|NASDAQ|2019|10|21|15|30|371300|77.620003|75.900002|75.989998|77.349998|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|67|NASDAQ|2019|10|22|15|30|297400|77.370003|74.82|74.970001|76.279999|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|66|NASDAQ|2019|10|23|15|30|225000|75.410004|74.190002|74.690002|74.860001|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|65|NASDAQ|2019|10|24|15|30|227500|76.260002|74.364998|75.629997|74.900002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|64|NASDAQ|2019|10|25|15|30|201700|76.190002|74.900002|75.370003|75.160004|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|63|NASDAQ|2019|10|28|14|30|669500|77.220001|75.150002|77.010002|75.739998|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|62|NASDAQ|2019|10|29|14|30|809900|77.82|70|75.959999|71.269997|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|61|NASDAQ|2019|10|30|14|30|269400|76.5|74.279999|74.940002|76.260002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|60|NASDAQ|2019|10|31|14|30|315200|75.120003|71.629997|73.629997|75.120003|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|5|NASDAQ|2020|01|22|15|30|103100|92.309998|90.724998|91.75|91.339996|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|59|NASDAQ|2019|11|01|14|30|384200|75.074997|72.93|75|73.5|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|58|NASDAQ|2019|11|04|15|30|377700|76.300003|74.790001|75.129997|75.800003|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|57|NASDAQ|2019|11|05|15|30|369200|75.900002|74.449997|75.400002|75.150002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|56|NASDAQ|2019|11|06|15|30|434400|75.480003|70.959999|71.190002|75.290001|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|55|NASDAQ|2019|11|07|15|30|263400|72.400002|69.93|70.43|71.75|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|54|NASDAQ|2019|11|08|15|30|349400|70.68|69.169998|70.154999|70.099998|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|53|NASDAQ|2019|11|11|15|30|244600|70.394997|69.43|70.080002|69.730003|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|52|NASDAQ|2019|11|12|15|30|200100|71.699997|69.099998|70.870003|70|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|51|NASDAQ|2019|11|13|15|30|227700|71.230003|70.080002|70.669998|70.669998|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|50|NASDAQ|2019|11|14|15|30|281900|72.459999|69.75|72.139999|70.5|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|4|NASDAQ|2020|01|23|15|30|169900|91.730003|89.970001|91.169998|91.620003|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|49|NASDAQ|2019|11|15|15|30|259900|72.870003|71.910004|72.699997|72.760002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|48|NASDAQ|2019|11|18|15|30|210400|72.68|71.139999|71.230003|72.419998|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|47|NASDAQ|2019|11|19|15|30|207700|72.919998|70.849998|72.489998|71.269997|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|46|NASDAQ|2019|11|20|15|30|392700|74.75|72.570999|74.360001|72.580002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|45|NASDAQ|2019|11|21|15|30|374700|75.25|73.260002|74.739998|74.580002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|44|NASDAQ|2019|11|22|15|30|258100|75.190002|73.529999|74.919998|75.029999|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|43|NASDAQ|2019|11|25|15|30|240400|76.769997|75.279999|76.260002|75.279999|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|42|NASDAQ|2019|11|26|15|30|336400|77.919998|75.830002|76.620003|76.400002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|41|NASDAQ|2019|11|27|15|30|276900|78.82|75.779999|78.260002|76.989998|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|40|NASDAQ|2019|11|29|15|30|84300|78.330002|76.559998|76.669998|78.07|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|3|NASDAQ|2020|01|24|15|30|220400|91.654999|87.290001|88.07|91.400002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|39|NASDAQ|2019|12|02|15|30|209500|77.290001|75.68|76.550003|76.82|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|38|NASDAQ|2019|12|03|15|30|197100|76.915001|75.120003|76.559998|75.760002|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|37|NASDAQ|2019|12|04|15|30|186100|77.480003|76.300003|77.230003|76.739998|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
MEDP|36|NASDAQ|2019|12|05|15|30|211500|77.714996|76.75|77.25|77.470001|medicallaboratoriesresearch|23.299999|0.8|0.8|34.450001|-|3400|usa|0|0|12.34|Feb 24 AMC|healthcare|80.300003
