empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
MU|9|NASDAQ|2020|01|15|15|30|21638600|57.119999|55.84|56.169998|57.029999|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
MU|99|NASDAQ|2019|09|06|15|30|19565700|49.5|48.700001|48.970001|48.860001|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
MU|98|NASDAQ|2019|09|09|15|30|19474400|50|48.860001|49.130001|49.540001|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
MU|97|NASDAQ|2019|09|10|15|30|23111300|49.939999|48.5|49.389999|49.369999|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
MU|96|NASDAQ|2019|09|11|15|30|31012900|51.389999|49.84|50.48|50.02|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
MU|95|NASDAQ|2019|09|12|15|30|19671300|51.119999|50.099998|50.439999|50.799999|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
MU|94|NASDAQ|2019|09|13|15|30|14733000|50.950001|50.060001|50.5|50.509998|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
MU|93|NASDAQ|2019|09|16|15|30|17495300|50.240002|49.02|50.150002|49.529999|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
MU|92|NASDAQ|2019|09|17|15|30|13776500|50.91|49.93|50.84|50.18|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
MU|91|NASDAQ|2019|09|18|15|30|15247100|51.169998|49.689999|50.48|51|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
MU|90|NASDAQ|2019|09|19|15|30|16633600|51.299999|49.75|49.82|51.169998|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
MU|8|NASDAQ|2020|01|16|15|30|22732700|57.84|56.759998|57.68|56.799999|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
MU|89|NASDAQ|2019|09|20|15|30|23195000|50.450001|48.77|49.16|50.34|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
MU|88|NASDAQ|2019|09|23|15|30|16198500|50.189999|49.48|49.599998|49.540001|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
MU|87|NASDAQ|2019|09|24|15|30|24959000|49.900002|48.049999|48.509998|49.740002|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
MU|86|NASDAQ|2019|09|25|15|30|23571800|49.700001|47.860001|49.470001|48.470001|semiconductormemorychips|0.2|1.8|2.6|17.440001|-|37000|usa|0.15|0.14|137.949997|Dec 18 AMC|technology|80.599998
