empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
NTGN|9|NASDAQ|2020|01|15|15|30|118900|1.29|1.19|1.23|1.19|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|99|NASDAQ|2019|09|06|15|30|20357100|4.25|3.14|3.33|3.58|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|98|NASDAQ|2019|09|09|15|30|1020700|3.26|2.9|3.24|3.23|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|97|NASDAQ|2019|09|10|15|30|233900|3.32|3.05|3.18|3.2|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|96|NASDAQ|2019|09|11|15|30|455000|3.2|2.97|2.97|3.17|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|95|NASDAQ|2019|09|12|15|30|513400|2.97|2.64|2.7|2.95|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|94|NASDAQ|2019|09|13|15|30|249600|2.77|2.55|2.62|2.72|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|93|NASDAQ|2019|09|16|15|30|986300|2.81|2.62|2.71|2.62|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|92|NASDAQ|2019|09|17|15|30|854600|2.74|2.53|2.65|2.7|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|91|NASDAQ|2019|09|18|15|30|383900|2.69|2.51|2.54|2.67|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|90|NASDAQ|2019|09|19|15|30|1566200|2.575|2.35|2.42|2.54|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|8|NASDAQ|2020|01|16|15|30|5688800|1.98|1.64|1.7|1.98|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|89|NASDAQ|2019|09|20|15|30|578100|2.47|2.3|2.3|2.42|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|88|NASDAQ|2019|09|23|15|30|227300|2.35|2.21|2.24|2.35|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|87|NASDAQ|2019|09|24|15|30|353200|2.263|2.01|2.07|2.25|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|86|NASDAQ|2019|09|25|15|30|243700|2.1|1.92|1.98|2.07|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|85|NASDAQ|2019|09|26|15|30|444000|2.1|1.79|1.825|2.03|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|84|NASDAQ|2019|09|27|15|30|227400|1.91|1.77|1.84|1.84|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|83|NASDAQ|2019|09|30|15|30|296900|1.85|1.69|1.72|1.85|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|82|NASDAQ|2019|10|01|15|30|225300|1.93|1.7|1.71|1.74|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|81|NASDAQ|2019|10|02|15|30|380300|2.05|1.72|1.9|1.8|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
NTGN|80|NASDAQ|2019|10|03|15|30|210100|1.95|1.81|1.89|1.91|biotechnology|4.9|4.6|4.6|-|-|102|usa|0|0|48.400002|Feb 11 BMO|healthcare|58.599998
