empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
PRQR|9|NASDAQ|2020|01|15|15|30|187900|8.8|8.28|8.32|8.53|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|99|NASDAQ|2019|09|06|15|30|241500|7.59|6.874|7.32|6.88|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|98|NASDAQ|2019|09|09|15|30|220200|8.361|7.295|7.38|7.75|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|97|NASDAQ|2019|09|10|15|30|304600|7.76|7.27|7.54|7.34|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|96|NASDAQ|2019|09|11|15|30|153500|7.69|7.22|7.31|7.63|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|95|NASDAQ|2019|09|12|15|30|120700|7.25|6.871|6.95|7.25|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|94|NASDAQ|2019|09|13|15|30|148400|7.15|6.87|7.11|6.95|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|93|NASDAQ|2019|09|16|15|30|62500|7.33|6.75|7.2|7.08|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|92|NASDAQ|2019|09|17|15|30|52500|7.5|6.98|7.13|7.2|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|91|NASDAQ|2019|09|18|15|30|75100|7.254|7|7.1|7.11|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|90|NASDAQ|2019|09|19|15|30|54500|7.11|6.925|7.03|7.11|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|8|NASDAQ|2020|01|16|15|30|164800|8.57|8.15|8.39|8.53|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|89|NASDAQ|2019|09|20|15|30|132400|7.22|6.78|7.04|7.03|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|88|NASDAQ|2019|09|23|15|30|99100|7.04|6.38|6.4|7.04|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|87|NASDAQ|2019|09|24|15|30|111800|6.488|6.03|6.14|6.4|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|86|NASDAQ|2019|09|25|15|30|97700|6.27|6.03|6.14|6.2|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|85|NASDAQ|2019|09|26|15|30|88300|6.24|6.01|6.15|6.17|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|84|NASDAQ|2019|09|27|15|30|96700|6.41|6.04|6.2|6.2|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|83|NASDAQ|2019|09|30|15|30|104700|6.2|5.62|5.76|6.2|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|82|NASDAQ|2019|10|01|15|30|107600|6.17|5.75|5.84|5.77|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|81|NASDAQ|2019|10|02|15|30|107400|6.22|5.7|6.18|5.8|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|80|NASDAQ|2019|10|03|15|30|65500|6.25|5.88|6.02|6.19|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|7|NASDAQ|2020|01|17|15|30|144600|8.49|8|8.04|8.38|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|79|NASDAQ|2019|10|04|15|30|100800|6.18|5.84|6.18|6.16|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
PRQR|78|NASDAQ|2019|10|07|15|30|139600|6.54|6.13|6.17|6.17|biotechnology|8.87|7|7|-|-|119|netherlands|0.18|0.18|-10|Feb 05 BMO|healthcare|66.599998
