empresa|antiguedad|mercado|anio|mes|dia|hora|minuto|volumen|high|low|close|open|industria|Insider Own|Quick Ratio|Current Ratio|P/E|Dividend %|Employees|geo|Debt/Eq|LT Debt/Eq|EPS next Y|sector|Inst Own|Market Cap
PTE|9|NASDAQ|2020|01|15|15|30|208100|3.28|3.01|3.11|3.12|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|99|NASDAQ|2019|09|06|15|30|188500|4.01|3.73|3.86|3.8|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|98|NASDAQ|2019|09|09|15|30|341100|4.12|3.78|4.07|3.91|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|97|NASDAQ|2019|09|10|15|30|566900|4.64|4.1|4.6|4.1|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|96|NASDAQ|2019|09|11|15|30|336100|4.75|4.39|4.63|4.64|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|95|NASDAQ|2019|09|12|15|30|142000|4.66|4.31|4.35|4.62|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|94|NASDAQ|2019|09|13|15|30|269600|4.62|4.25|4.56|4.35|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|93|NASDAQ|2019|09|16|15|30|664300|5.08|4.16|4.38|4.56|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|92|NASDAQ|2019|09|17|15|30|170200|4.43|4.2|4.23|4.41|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|91|NASDAQ|2019|09|18|15|30|204400|4.37|4.06|4.17|4.26|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|90|NASDAQ|2019|09|19|15|30|139500|4.21|4.03|4.05|4.2|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|8|NASDAQ|2020|01|16|15|30|2750900|4.6|3.28|4.37|3.3|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|89|NASDAQ|2019|09|20|15|30|245100|4.21|3.92|4.15|4.05|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|88|NASDAQ|2019|09|23|15|30|1000700|4.8|4.3|4.39|4.3|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|87|NASDAQ|2019|09|24|15|30|330600|4.48|3.86|3.97|4.36|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|86|NASDAQ|2019|09|25|15|30|183800|4.08|3.85|4.01|3.86|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|85|NASDAQ|2019|09|26|15|30|303100|3.97|3.6|3.65|3.95|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|84|NASDAQ|2019|09|27|15|30|198500|3.8|3.52|3.52|3.56|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|83|NASDAQ|2019|09|30|15|30|388300|3.52|3.14|3.23|3.52|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|82|NASDAQ|2019|10|01|15|30|179900|3.37|3.16|3.25|3.23|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|81|NASDAQ|2019|10|02|15|30|298700|3.4|3.01|3.07|3.18|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|80|NASDAQ|2019|10|03|15|30|556500|3.18|2.91|2.93|3.18|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|7|NASDAQ|2020|01|17|15|30|967600|4.54|3.81|3.98|4.3|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|79|NASDAQ|2019|10|04|15|30|386800|3.13|2.85|3.06|3.13|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|78|NASDAQ|2019|10|07|15|30|235500|3.12|2.85|2.99|3.1|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|77|NASDAQ|2019|10|08|15|30|210200|3.01|2.81|2.84|3.01|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|76|NASDAQ|2019|10|09|15|30|280400|3.03|2.83|2.91|2.83|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|75|NASDAQ|2019|10|10|15|30|226200|3.05|2.73|2.84|2.93|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|74|NASDAQ|2019|10|11|15|30|215500|3.1|2.85|3.06|2.85|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|73|NASDAQ|2019|10|14|15|30|350900|3.31|2.83|2.95|3.25|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|72|NASDAQ|2019|10|15|15|30|173200|3.23|2.95|3.15|2.95|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|71|NASDAQ|2019|10|16|15|30|115700|3.25|3.02|3.11|3.13|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|70|NASDAQ|2019|10|17|15|30|112300|3.2|3.01|3.07|3.17|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|6|NASDAQ|2020|01|21|15|30|432300|4.07|3.65|3.95|4.05|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|69|NASDAQ|2019|10|18|15|30|271300|3.09|2.72|2.82|3.05|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|68|NASDAQ|2019|10|21|15|30|84300|2.92|2.8|2.81|2.88|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|67|NASDAQ|2019|10|22|15|30|247500|2.87|2.51|2.86|2.8|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|66|NASDAQ|2019|10|23|15|30|188100|2.97|2.79|2.9|2.79|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|65|NASDAQ|2019|10|24|15|30|181000|2.95|2.61|2.67|2.95|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
PTE|64|NASDAQ|2019|10|25|15|30|116200|2.93|2.64|2.65|2.71|biotechnology|33.299999|3.6|3.6|-|-|156|usa|0.05|0.03|26.9|Feb 11 AMC|healthcare|34.599998
